settlementPeriod,PN_to_B1610_L1_MW
1,4139.9473333333335
2,3905.0600000000004
3,3293.053333333333
4,2978.2920000000004
5,3395.5399999999995
6,3597.612
7,3292.7620000000006
8,3123.7026666666666
9,3817.7873333333328
10,4143.923333333333
11,4447.364666666666
12,4921.241333333333
13,5245.919333333333
14,5444.9
15,5122.311333333333
16,4578.264666666667
17,4291.492
18,3827.5086666666666
19,4161.752666666667
20,3411.924
21,3144.636666666667
22,3406.974666666667
23,2860.275333333333
24,2574.311333333333
25,3086.1406666666667
26,3220.5626666666667
27,3196.9373333333333
28,2984.1793333333335
29,3048.324
30,2769.6426666666666
31,2872.870666666667
32,3050.3613333333333
33,2964.7533333333336
34,2767.268666666667
35,3030.676666666667
36,2714.95
37,2620.968666666667
38,3270.7999999999993
39,3077.1546666666663
40,3096.9313333333334
41,2989.3106666666663
42,2893.952
43,2796.506666666667
44,3466.08
45,3390.4733333333334
46,3837.4013333333337
47,3355.655333333333
48,2518.8946666666666
