group_id,members,pooled_target_mean_MW,pooled_target_energy_MWh
G001,101_CT_1;101_CT_2,0.6667834473162051,112.01961914912246
G002,101_STEAM_3;101_STEAM_4,65.50573505357137,11004.963488999989
G003,102_CT_1;102_CT_2,1.0465409378132986,175.81887755263412
G004,102_STEAM_3;102_STEAM_4,141.80901076190267,23823.91380799965
G005,107_CC_1,97.00555846997676,16296.933822956096
G006,113_CT_1;113_CT_2;113_CT_3;113_CT_4,2.825701089547053,474.7177830439049
G007,115_STEAM_1;115_STEAM_2,0.19949032294277438,33.5143742543861
G008,115_STEAM_3,151.01190800595228,25370.000544999984
G009,116_STEAM_1,101.54521542261794,17059.596190999815
G010,118_CC_1,47.38541519668979,7960.749753043885
G011,123_STEAM_2,154.77947209523717,26002.951311999845
G012,123_STEAM_3,309.732149339289,52035.00108900055
G013,123_CT_1;123_CT_4;123_CT_5,1.2246324345238149,205.7382490000009
G014,121_NUCLEAR_1,399.92857142857144,67188.0
G015,122_HYDRO_1;122_HYDRO_2;122_HYDRO_3;122_HYDRO_4;122_HYDRO_5;122_HYDRO_6,186.5357142857143,31337.999999999996
G016,113_PV_1,26.705357142857142,4486.5
G017,102_PV_1,7.887499999999999,1325.1
G018,101_PV_1,7.7160714285714285,1296.3
G019,102_PV_2,7.671428571428571,1288.8
G020,104_PV_1,7.891071428571429,1325.7
G021,101_PV_2,7.3619047619047615,1236.8
G022,101_PV_3,7.736309523809524,1299.7
G023,101_PV_4,7.658928571428571,1286.6999999999998
G024,103_PV_1,14.838690476190473,2492.8999999999996
G025,119_PV_1,14.674999999999997,2465.3999999999996
G026,122_WIND_1,62.54448557738206,10507.473577000186
