new_hour_0based,source_hour_0based,source_native_row
0,0,4368
1,1,4369
2,2,4370
3,3,4371
4,4,4372
5,5,4373
6,6,4374
7,7,4375
8,8,4376
9,9,4377
10,10,4378
11,11,4379
12,12,4380
13,13,4381
14,14,4382
15,15,4383
16,16,4384
17,17,4385
18,18,4386
19,19,4387
20,20,4388
21,21,4389
22,22,4390
23,23,4391
24,24,4392
25,25,4393
26,26,4394
27,27,4395
28,28,4396
29,29,4397
30,30,4398
31,31,4399
32,32,4400
33,33,4401
34,34,4402
35,35,4403
36,36,4404
37,37,4405
38,38,4406
39,39,4407
40,40,4408
41,41,4409
42,42,4410
43,43,4411
44,44,4412
45,45,4413
46,46,4414
47,47,4415
48,90,4458
49,65,4433
50,54,4422
51,111,4479
52,70,4438
53,79,4447
54,102,4470
55,107,4475
56,64,4432
57,73,4441
58,88,4456
59,59,4427
60,69,4437
61,68,4436
62,87,4455
63,94,4462
64,109,4477
65,80,4448
66,61,4429
67,98,4466
68,92,4460
69,119,4487
70,76,4444
71,116,4484
72,84,4452
73,97,4465
74,77,4445
75,72,4440
76,93,4461
77,95,4463
78,56,4424
79,78,4446
80,110,4478
81,118,4486
82,115,4483
83,112,4480
84,66,4434
85,82,4450
86,117,4485
87,58,4426
88,106,4474
89,89,4457
90,75,4443
91,52,4420
92,60,4428
93,114,4482
94,49,4417
95,74,4442
96,100,4468
97,62,4430
98,113,4481
99,71,4439
100,108,4476
101,104,4472
102,103,4471
103,50,4418
104,105,4473
105,81,4449
106,51,4419
107,53,4421
108,86,4454
109,55,4423
110,63,4431
111,96,4464
112,83,4451
113,67,4435
114,57,4425
115,85,4453
116,91,4459
117,101,4469
118,48,4416
119,99,4467
120,120,4488
121,121,4489
122,122,4490
123,123,4491
124,124,4492
125,125,4493
126,126,4494
127,127,4495
128,128,4496
129,129,4497
130,130,4498
131,131,4499
132,132,4500
133,133,4501
134,134,4502
135,135,4503
136,136,4504
137,137,4505
138,138,4506
139,139,4507
140,140,4508
141,141,4509
142,142,4510
143,143,4511
144,144,4512
145,145,4513
146,146,4514
147,147,4515
148,148,4516
149,149,4517
150,150,4518
151,151,4519
152,152,4520
153,153,4521
154,154,4522
155,155,4523
156,156,4524
157,157,4525
158,158,4526
159,159,4527
160,160,4528
161,161,4529
162,162,4530
163,163,4531
164,164,4532
165,165,4533
166,166,4534
167,167,4535
