path,bytes,sha256
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\src\temporal_equivalence_audit.py,18706,feccebfb34439fbfb9e11998fec12e7517ef316da3bda7ba7d22d57dc84a26d2
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\docs\TEMPORAL_EQUIVALENCE_PROTOCOL.md,5421,b484ac351170baeb568ba71221dd92f3d78f3d59816bc81dc8b07a39a6fc0995
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\results\v8r1\rts_seasonal\results.json,8322,b19a1538d31af26b4cb58527a78aab55424c57c2c39d316aec800c5d8799504b
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\code\dscgrid_model.py,5694,01d3e67440b1380b62ed68da07e61ac6895b930ada583ffa8af09a370850be78
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\branch.csv,7142,e92d16d13b1c5d2899f7871c0c99c3eb94605528beef157bf9e1ccbcffe5ef4e
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\bus.csv,7003,cec3f776222812d43eaeaf7ac85b577719dc565f354a04e120c12a647ddb710e
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\gen.csv,32451,988466f29132b73739de60c9204dd4a2a9ceb0adf572e5966c086611272f4068
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\timeseries_data_files\Hydro\DAY_AHEAD_hydro.csv,934239,4030660920df850138472c5561322c71e5037813c8e3232d3f9bde512a40606d
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\timeseries_data_files\Load\DAY_AHEAD_regional_Load.csv,423702,7a9470d32d49068a91334cb36db54cceb2feb5cb1f702b0fa0847af8bac6cf21
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\timeseries_data_files\PV\DAY_AHEAD_pv.csv,842651,bfede6e558df5ea0f244b6326940a4ee0b95138643aa8a062897c67134c9c185
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\timeseries_data_files\RTPV\DAY_AHEAD_rtpv.csv,935828,13a6933c2e0a513e1a453143876dadef6977e6add7701a21f56fe6a753afce42
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\timeseries_data_files\WIND\DAY_AHEAD_wind.csv,279519,6a1a8dc7d10a518523b3b319902ecc1ca1c400223832b26c6edb3a6e69d01dbc
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\reproducibility\data\processed\rts\month_01_first_week_dispatch.csv,62349,f5d9f2b20a52b7f93463963a55cff7cbf49eed9347c8ca94cecd72af442b2317
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\reproducibility\data\processed\rts\month_02_first_week_dispatch.csv,63084,1676a4eba451ce0c535f92d346e9e40da385d6ff0eb55079865f6ba8baecfd63
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\reproducibility\data\processed\rts\month_03_first_week_dispatch.csv,62551,aaa0a82e82c512a54ec6f89afa4e00656aa7cf660d9f9929ad9c0493479f5dc8
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\reproducibility\data\processed\rts\month_04_first_week_dispatch.csv,63099,360bd259f073b0d4a3bd7439875e2cb7cbf727fabe3576de7c9c8e3e4ef7b748
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\reproducibility\data\processed\rts\month_05_first_week_dispatch.csv,63438,864cd1ec8eb9fd8bada370a70d1d1d0357aeee8fde76a92078d0a2fa4a557b16
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\reproducibility\data\processed\rts\month_06_first_week_dispatch.csv,63041,aa60706b354904fa04b5563bb85ffcf000c40a1a8a10b1fe84c2f2b66e6ae348
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\reproducibility\data\processed\rts\month_07_first_week_dispatch.csv,61483,5b16ff77d70404dc131402ec7ee0fabae32f7ab8c560b9557188f65a480ed42e
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\reproducibility\data\processed\rts\month_10_first_week_dispatch.csv,62934,cbd2aaecafad94e93303cee3eb29cbdf4f416775575a89a55e11a4c650e5ff15
