new_hour_0based,source_hour_0based,source_native_row
0,0,4368
1,1,4369
2,2,4370
3,3,4371
4,4,4372
5,5,4373
6,6,4374
7,7,4375
8,8,4376
9,9,4377
10,10,4378
11,11,4379
12,12,4380
13,13,4381
14,14,4382
15,15,4383
16,16,4384
17,17,4385
18,18,4386
19,19,4387
20,20,4388
21,21,4389
22,22,4390
23,23,4391
24,24,4392
25,25,4393
26,26,4394
27,27,4395
28,28,4396
29,29,4397
30,30,4398
31,31,4399
32,32,4400
33,33,4401
34,34,4402
35,35,4403
36,36,4404
37,37,4405
38,38,4406
39,39,4407
40,40,4408
41,41,4409
42,42,4410
43,43,4411
44,44,4412
45,45,4413
46,46,4414
47,47,4415
48,84,4452
49,117,4485
50,95,4463
51,52,4420
52,118,4486
53,86,4454
54,51,4419
55,73,4441
56,50,4418
57,114,4482
58,65,4433
59,94,4462
60,76,4444
61,113,4481
62,89,4457
63,74,4442
64,96,4464
65,103,4471
66,82,4450
67,97,4465
68,54,4422
69,107,4475
70,101,4469
71,106,4474
72,81,4449
73,78,4446
74,92,4460
75,98,4466
76,104,4472
77,105,4473
78,77,4445
79,62,4430
80,100,4468
81,109,4477
82,87,4455
83,56,4424
84,69,4437
85,57,4425
86,112,4480
87,71,4439
88,70,4438
89,115,4483
90,108,4476
91,79,4447
92,80,4448
93,72,4440
94,119,4487
95,75,4443
96,59,4427
97,91,4459
98,53,4421
99,55,4423
100,111,4479
101,110,4478
102,58,4426
103,116,4484
104,61,4429
105,68,4436
106,83,4451
107,85,4453
108,99,4467
109,88,4456
110,102,4470
111,49,4417
112,64,4432
113,48,4416
114,66,4434
115,67,4435
116,63,4431
117,60,4428
118,93,4461
119,90,4458
120,120,4488
121,121,4489
122,122,4490
123,123,4491
124,124,4492
125,125,4493
126,126,4494
127,127,4495
128,128,4496
129,129,4497
130,130,4498
131,131,4499
132,132,4500
133,133,4501
134,134,4502
135,135,4503
136,136,4504
137,137,4505
138,138,4506
139,139,4507
140,140,4508
141,141,4509
142,142,4510
143,143,4511
144,144,4512
145,145,4513
146,146,4514
147,147,4515
148,148,4516
149,149,4517
150,150,4518
151,151,4519
152,152,4520
153,153,4521
154,154,4522
155,155,4523
156,156,4524
157,157,4525
158,158,4526
159,159,4527
160,160,4528
161,161,4529
162,162,4530
163,163,4531
164,164,4532
165,165,4533
166,166,4534
167,167,4535
