path,sha256,bytes
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\src\temporal_lp_certificate.py,6191c5760811cab0ec22b2fb1376a5be3aa47cb548e1260c4a17e2563d9802e4,20041
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\docs\TEMPORAL_LP_CERTIFICATE.md,47f9b4abeefadde049cb2378c186636c457ff145d4c21041adf1961c4ce2c900,3487
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\results\v8\network_repair\network_repair_dispatch.csv,a58ffcaa470cdc01d574ebd34fd2ab4953cb9a73087e1103407bf7b945be65da,34837
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\results\v8\network_repair\network_fixed_commitment.csv,d0baca56221f249076e11dbf26d49c8418ff189b27e44ef4fe5a5ad805cfa449,8484
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\processed\month_07_first_week_dispatch.csv,5b16ff77d70404dc131402ec7ee0fabae32f7ab8c560b9557188f65a480ed42e,61483
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\processed\month_07_first_week_hourly_summary.csv,1b8ecce0d833d812c4c34fec97a43f118aba99aae3189058a833f633a9bf6b2f,4214
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\reproducibility\data\processed\rts\month_07_first_week_dispatch.csv,5b16ff77d70404dc131402ec7ee0fabae32f7ab8c560b9557188f65a480ed42e,61483
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\code\dscgrid_model.py,01d3e67440b1380b62ed68da07e61ac6895b930ada583ffa8af09a370850be78,5694
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\branch.csv,e92d16d13b1c5d2899f7871c0c99c3eb94605528beef157bf9e1ccbcffe5ef4e,7142
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\bus.csv,cec3f776222812d43eaeaf7ac85b577719dc565f354a04e120c12a647ddb710e,7003
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\gen.csv,988466f29132b73739de60c9204dd4a2a9ceb0adf572e5966c086611272f4068,32451
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\timeseries_data_files\Hydro\DAY_AHEAD_hydro.csv,4030660920df850138472c5561322c71e5037813c8e3232d3f9bde512a40606d,934239
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\timeseries_data_files\Load\DAY_AHEAD_regional_Load.csv,7a9470d32d49068a91334cb36db54cceb2feb5cb1f702b0fa0847af8bac6cf21,423702
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\timeseries_data_files\PV\DAY_AHEAD_pv.csv,bfede6e558df5ea0f244b6326940a4ee0b95138643aa8a062897c67134c9c185,842651
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\timeseries_data_files\RTPV\DAY_AHEAD_rtpv.csv,13a6933c2e0a513e1a453143876dadef6977e6add7701a21f56fe6a753afce42,935828
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\timeseries_data_files\WIND\DAY_AHEAD_wind.csv,6a1a8dc7d10a518523b3b319902ecc1ca1c400223832b26c6edb3a6e69d01dbc,279519
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\results\temporal_information\twins\identity\permutation.csv,6b61f356c251521648f478fd43b713020ef107fc993c346e4cce5ab43a0bd9ac,2186
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\results\temporal_information\twins\seed_26092600\permutation.csv,afb4e692078a97dafd26a587c50d10f7024233261f4b6cf98aef5727fddfde0e,2186
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\results\temporal_information\twins\seed_26092601\permutation.csv,54f78cec35c8fa87179ddf218ac32bd850fa1401635e133bfd6d6f38dd27aae0,2186
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\results\temporal_information\twins\seed_26092602\permutation.csv,beafec6240f97c1d8d27e5ce773c9287b5ad44f3471e213979e5865e3910ff12,2186
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\results\temporal_information\twins\seed_26092603\permutation.csv,eddb7bfca28cd0b9bca7f0233888bdcb9aad59f3cccff0900cb402905c8f1cf5,2186
