uid,target_mean_MW,target_energy_MWh
101_CT_1,0.4763072568400147,80.01961914912246
101_CT_2,0.19047619047619047,32.0
101_STEAM_3,38.17380630357112,6413.199458999949
101_STEAM_4,27.33192875000024,4591.76403000004
102_CT_1,0.6799979711779528,114.23965915789607
102_CT_2,0.36654296663534547,61.57921839473804
102_STEAM_3,71.55981686309526,12022.049233000003
102_STEAM_4,70.2491938988074,11801.864574999645
107_CC_1,97.00555846997676,16296.933822956096
113_CT_1,0.6411699504490385,107.71655167543847
113_CT_2,1.1098000438599147,186.44640736846566
113_CT_3,0.5892857142857143,99.0
113_CT_4,0.4854453809523855,81.55482400000076
115_STEAM_1,0.19949032294277438,33.5143742543861
115_STEAM_2,0.0,0.0
115_STEAM_3,151.01190800595228,25370.000544999984
116_STEAM_1,101.54521542261794,17059.596190999815
118_CC_1,47.38541519668979,7960.749753043885
123_STEAM_2,154.77947209523717,26002.951311999845
123_STEAM_3,309.732149339289,52035.00108900055
123_CT_1,0.0,0.0
123_CT_4,0.8108709761904774,136.2263240000002
123_CT_5,0.4137614583333375,69.5119250000007
121_NUCLEAR_1,399.92857142857144,67188.0
122_HYDRO_1,31.089285714285708,5222.999999999999
122_HYDRO_2,31.089285714285708,5222.999999999999
122_HYDRO_3,31.089285714285708,5222.999999999999
122_HYDRO_4,31.089285714285708,5222.999999999999
122_HYDRO_5,31.089285714285708,5222.999999999999
122_HYDRO_6,31.089285714285708,5222.999999999999
113_PV_1,26.705357142857142,4486.5
102_PV_1,7.887499999999999,1325.1
101_PV_1,7.7160714285714285,1296.3
102_PV_2,7.671428571428571,1288.8
104_PV_1,7.891071428571429,1325.7
101_PV_2,7.3619047619047615,1236.8
101_PV_3,7.736309523809524,1299.7
101_PV_4,7.658928571428571,1286.6999999999998
103_PV_1,14.838690476190473,2492.8999999999996
119_PV_1,14.674999999999997,2465.3999999999996
122_WIND_1,62.54448557738206,10507.473577000186
