generator,target_mean_MW,repaired_mean_MW,delta_MW,abs_delta_MW
101_CT_1,-4.4774186132642195e-11,0.4763072568400123,0.4763072568847865,0.4763072568847865
101_CT_2,0.0,0.19047619047619063,0.19047619047619063,0.19047619047619063
101_STEAM_3,38.17380630357125,38.17380630357112,-1.2789769243681803e-13,1.2789769243681803e-13
101_STEAM_4,27.33192875000012,27.33192875000024,1.2079226507921703e-13,1.2079226507921703e-13
102_CT_1,4.6497365812134396e-11,0.6799979711779545,0.6799979711314571,0.6799979711314571
102_CT_2,0.0,0.3665429666353462,0.3665429666353462,0.3665429666353462
102_STEAM_3,72.53002402976189,71.55981686309526,-0.9702071666666257,0.9702071666666257
102_STEAM_4,72.38066816071428,70.2491938988074,-2.131474261906874,2.131474261906874
107_CC_1,97.00555846997679,97.00555846997675,-4.263256414560601e-14,4.263256414560601e-14
113_CT_1,1.4606446013016542e-13,0.6411699504484419,0.6411699504482958,0.6411699504482958
113_CT_2,0.0,1.1098000438597213,1.1098000438597213,1.1098000438597213
113_CT_3,0.0,0.589285714285613,0.589285714285613,0.589285714285613
113_CT_4,0.0,0.4854453809523688,0.4854453809523688,0.4854453809523688
115_STEAM_1,-5.015758972181147e-12,0.1994903229428002,0.19949032294781596,0.19949032294781596
115_STEAM_2,0.0,9.283579196389404e-15,9.283579196389404e-15,9.283579196389404e-15
115_STEAM_3,151.0119080059524,151.01190800595228,-1.1368683772161603e-13,1.1368683772161603e-13
116_STEAM_1,101.54521542261816,101.54521542261793,-2.2737367544323206e-13,2.2737367544323206e-13
118_CC_1,47.385415196689394,47.38541519668978,3.836930773104541e-13,3.836930773104541e-13
123_STEAM_2,154.7794720952372,154.77947209523717,-2.842170943040401e-14,2.842170943040401e-14
123_STEAM_3,309.7321493392893,309.73214933928904,-2.8421709430404007e-13,2.8421709430404007e-13
123_CT_1,0.0,3.8529695307281434e-14,3.8529695307281434e-14,3.8529695307281434e-14
123_CT_4,0.0,0.8108709761904784,0.8108709761904784,0.8108709761904784
123_CT_5,0.0,0.4137614583333492,0.4137614583333492,0.4137614583333492
121_NUCLEAR_1,399.99999999999983,399.9285714285716,-0.07142857142821413,0.07142857142821413
122_HYDRO_1,31.089285714285708,31.089285714285666,-4.263256414560601e-14,4.263256414560601e-14
122_HYDRO_2,31.089285714285708,31.089285714285666,-4.263256414560601e-14,4.263256414560601e-14
122_HYDRO_3,31.089285714285708,31.089285714285666,-4.263256414560601e-14,4.263256414560601e-14
122_HYDRO_4,31.089285714285708,31.089285714285666,-4.263256414560601e-14,4.263256414560601e-14
122_HYDRO_5,31.089285714285708,31.089285714285666,-4.263256414560601e-14,4.263256414560601e-14
122_HYDRO_6,31.089285714285708,31.089285714285666,-4.263256414560601e-14,4.263256414560601e-14
113_PV_1,26.705357142857142,26.70535714285715,7.105427357601002e-15,7.105427357601002e-15
102_PV_1,7.981547619047619,7.887500000000001,-0.09404761904761827,0.09404761904761827
101_PV_1,7.7160714285714285,7.716071428571432,3.552713678800501e-15,3.552713678800501e-15
102_PV_2,7.766666666666667,7.671428571428571,-0.09523809523809579,0.09523809523809579
104_PV_1,7.891071428571429,7.891071428571429,0.0,0.0
101_PV_2,7.3619047619047615,7.361904761904766,4.440892098500626e-15,4.440892098500626e-15
101_PV_3,7.736309523809524,7.736309523809522,-1.7763568394002505e-15,1.7763568394002505e-15
101_PV_4,7.658928571428571,7.658928571428573,2.6645352591003757e-15,2.6645352591003757e-15
103_PV_1,14.838690476190473,14.838690476190477,3.552713678800501e-15,3.552713678800501e-15
119_PV_1,14.674999999999997,14.675000000000008,1.0658141036401503e-14,1.0658141036401503e-14
122_WIND_1,65.1452380952381,62.54448557738205,-2.6007525178560513,2.6007525178560513
