generator,target_mean_MW,repaired_mean_MW,delta_MW,abs_delta_MW
122_WIND_1,65.1452380952381,63.48354186309522,-1.66169623214288,1.66169623214288
118_CC_1,47.385415196689394,48.346646065735236,0.961230869045842,0.961230869045842
102_CT_2,0.0,0.892466011904758,0.892466011904758,0.892466011904758
102_CT_1,4.6497365812134396e-11,0.8097523690476083,0.8097523690011109,0.8097523690011109
102_STEAM_4,72.38066816071428,71.6547619047619,-0.7259062559523812,0.7259062559523812
115_STEAM_3,151.0119080059524,150.57142857142858,-0.4404794345238088,0.4404794345238088
101_CT_1,-4.4774186132642195e-11,0.42049404166666815,0.42049404171144233,0.42049404171144233
113_PV_1,26.705357142857142,26.28999905952381,-0.4153580833333308,0.4153580833333308
123_STEAM_2,154.7794720952372,154.3651975654762,-0.414274529761002,0.414274529761002
101_CT_2,0.0,0.39507139285714254,0.39507139285714254,0.39507139285714254
115_STEAM_2,0.0,0.3191568928571378,0.3191568928571378,0.3191568928571378
115_STEAM_1,-5.015758972181147e-12,0.21208265476190036,0.21208265476691612,0.21208265476691612
102_STEAM_3,72.53002402976189,72.38095238095238,-0.1490716488095103,0.1490716488095103
121_NUCLEAR_1,399.99999999999983,399.8809523809524,-0.11904761904742145,0.11904761904742145
102_PV_1,7.981547619047619,7.9262938571428565,-0.05525376190476283,0.05525376190476283
104_PV_1,7.891071428571429,7.875,-0.01607142857142918,0.01607142857142918
101_PV_1,7.7160714285714285,7.702976190476194,-0.013095238095234052,0.013095238095234052
116_STEAM_1,101.54521542261816,101.54521542261797,-1.8474111129762605e-13,1.8474111129762605e-13
113_CT_1,1.4606446013016542e-13,-1.0150610510858574e-15,-1.4707952118125128e-13,1.4707952118125128e-13
123_STEAM_3,309.7321493392893,309.7321493392892,-1.1368683772161603e-13,1.1368683772161603e-13
122_HYDRO_5,31.089285714285708,31.089285714285666,-4.263256414560601e-14,4.263256414560601e-14
122_HYDRO_6,31.089285714285708,31.089285714285666,-4.263256414560601e-14,4.263256414560601e-14
122_HYDRO_3,31.089285714285708,31.089285714285666,-4.263256414560601e-14,4.263256414560601e-14
122_HYDRO_4,31.089285714285708,31.089285714285666,-4.263256414560601e-14,4.263256414560601e-14
122_HYDRO_1,31.089285714285708,31.089285714285666,-4.263256414560601e-14,4.263256414560601e-14
122_HYDRO_2,31.089285714285708,31.089285714285666,-4.263256414560601e-14,4.263256414560601e-14
107_CC_1,97.00555846997679,97.0055584699768,1.4210854715202004e-14,1.4210854715202004e-14
119_PV_1,14.674999999999997,14.675000000000008,1.0658141036401503e-14,1.0658141036401503e-14
101_STEAM_4,27.33192875000012,27.331928750000127,7.105427357601002e-15,7.105427357601002e-15
101_PV_2,7.3619047619047615,7.361904761904766,4.440892098500626e-15,4.440892098500626e-15
103_PV_1,14.838690476190473,14.838690476190477,3.552713678800501e-15,3.552713678800501e-15
101_PV_4,7.658928571428571,7.658928571428573,2.6645352591003757e-15,2.6645352591003757e-15
123_CT_5,0.0,2.5376526277146436e-15,2.5376526277146436e-15,2.5376526277146436e-15
101_PV_3,7.736309523809524,7.736309523809522,-1.7763568394002505e-15,1.7763568394002505e-15
123_CT_1,0.0,7.61295788314393e-16,7.61295788314393e-16,7.61295788314393e-16
113_CT_2,0.0,-6.767073673905716e-16,-6.767073673905716e-16,6.767073673905716e-16
113_CT_3,0.0,5.498247360048394e-16,5.498247360048394e-16,5.498247360048394e-16
113_CT_4,0.0,1.3745618400120986e-16,1.3745618400120986e-16,1.3745618400120986e-16
123_CT_4,0.0,-1.2688263138573217e-16,-1.2688263138573217e-16,1.2688263138573217e-16
101_STEAM_3,38.17380630357125,38.17380630357125,0.0,0.0
102_PV_2,7.766666666666667,7.766666666666667,0.0,0.0
