settlementPeriod,T_ABRBO-1,T_ACHRW-1,T_AFTOW-1,T_AKGLW-2,T_AKGLW-3,T_ANSUW-1,T_ARCHW-1,T_BDCHW-1,T_BEATO-1,T_BEATO-2,T_BEATO-3,T_BEATO-4,T_BEINW-1,T_BHLAW-1,T_BLKWW-1,T_BLLA-1,T_BLLA-2,T_BOWLW-1,T_BPGRD-1,T_BRBEO-1,T_CARR-1,T_CARR-2,T_CASKD-1,T_CDCL-1,T_CGTHW-1,T_CLDCW-1,T_CLDNW-1,T_CLDSW-1,T_CNQPS-1,T_CNQPS-2,T_CNQPS-3,T_CNQPS-4,T_COSO-1,T_COUWW-1,T_CREAW-1,T_CRGHD-1,T_CRGHW-1,T_CRYRW-2,T_CRYRW-3,T_DALQW-1,T_DAMC-1,T_DBAWO-1,T_DBAWO-2,T_DBAWO-3,T_DBAWO-4,T_DBAWO-5,T_DDGNO-1,T_DDGNO-2,T_DDGNO-3,T_DDGNO-4,T_DIDCB5,T_DIDCB6,T_DINO-1,T_DINO-2,T_DINO-3,T_DINO-4,T_DINO-5,T_DINO-6,T_DNLWW-1,T_DOREW-1,T_DOREW-2,T_DOUGW-1,T_DRAXX-1,T_DRAXX-10G,T_DRAXX-12G,T_DRAXX-2,T_DRAXX-3,T_DRAXX-4,T_DRAXX-5,T_DRAXX-6,T_DRAXX-9G,T_DRSLW-1,T_DUNGW-1,T_EAAO-1,T_EAAO-2,T_EDINW-1,T_EECL-1,T_ERRO-1,T_ERRO-2,T_ERRO-3,T_EWHLW-1,T_FALGW-1,T_FASN-1,T_FASN-2,T_FERGD-1,T_FERGD-2,T_FFES-1,T_FFES-2,T_FFES-3,T_FFES-4,T_FINL-1,T_FOYE-1,T_FOYE-2,T_FOYED-1,T_FSDLW-1,T_GANW-11,T_GANW-13,T_GANW-22,T_GANW-24,T_GLNDO-1,T_GLWSW-1,T_GNAPW-1,T_GNFSW-1,T_GNFSW-2,T_GORDW-1,T_GORDW-2,T_GRAI-6,T_GRAI-7,T_GRAI-8,T_GRAI1G,T_GRAI4G,T_GRGBW-1,T_GRGBW-2,T_GRGBW-3,T_GRIFW-1,T_GRIFW-2,T_GYMR-15,T_GYMR-17,T_GYMR-26,T_GYMR-28,T_GYMRD-16,T_GYMRD-2,T_GYMRD-E10,T_GYMRD-E11,T_GYMRD-W10,T_GYMRD-W11,T_HADHW-1,T_HALSW-1,T_HEYM11,T_HEYM12,T_HEYM2-D,T_HEYM27,T_HEYM28,T_HMGTO-1,T_HMGTO-2,T_HOWAO-1,T_HOWAO-2,T_HOWAO-3,T_HOWBO-1,T_HOWBO-2,T_HOWBO-3,T_HRSTW-1,T_HRTL-1,T_HRTL-2,T_HUMR-1,T_HUMRD-1,T_INDQ-1,T_JGPR-1,T_KEAD-1,T_KEAD-2,T_KEADGT-3,T_KENNW-1,T_KILBW-1,T_KILLPG-1,T_KILLPG-2,T_KLGLW-1,T_KPMRW-1,T_KTHLW-1,T_KYPEW-1,T_LAGA-1,T_LARKS-1,T_LARYW-1,T_LARYW-2,T_LARYW-3,T_LARYW-4,T_LBAR-1,T_LBAR-1G,T_LNCSW-1,T_LNCSW-2,T_MEDP-1,T_MIDMW-1,T_MILWW-1,T_MKHLW-1,T_MOWEO-1,T_MOWEO-2,T_MOWEO-3,T_MRWD-1,T_MYGPW-1,T_NANT-1,T_NNGAO-1,T_OMNDW-1,T_PEHE-1,T_PEMB-11,T_PEMB-21,T_PEMB-31,T_PEMB-41,T_PEMB-51,T_PNYCB-1,T_PNYCW-1,T_RCBKO-1,T_RCBKO-2,T_RMPNO-1,T_RMPNO-2,T_ROCK-1,T_RREW-1,T_RRWW-1,T_RYHPS-1,T_SAKNW-1,T_SANQW-1,T_SCCL-1,T_SCCL-2,T_SCCL-3,T_SCCL-4,T_SEAB-1,T_SEAB-2,T_SEEL-1,T_SGRWO-1,T_SGRWO-2,T_SGRWO-3,T_SGRWO-4,T_SGRWO-5,T_SGRWO-6,T_SHBA-1,T_SHBA-2,T_SHRSW-1,T_SHRSW-2,T_SIZB-1,T_SIZB-2,T_SLOY-2,T_SLOY-3,T_SOKYW-1,T_SPLN-1,T_STAY-1,T_STAY-2,T_STAY-3,T_STAY-4,T_STLGW-1,T_STLGW-2,T_STLGW-3,T_STRNW-1,T_SUTB-1,T_SVRP-10,T_SVRP-20,T_TDBNW-1,T_THNTO-1,T_THNTO-2,T_TKNEW-1,T_TKNWW-1,T_TORN-1,T_TORN-2,T_TORN-D,T_TSREP-1,T_TWSHW-1,T_USKM-13,T_WBUGT-1,T_WBUGT-4,T_WBUPS-1,T_WBUPS-2,T_WBUPS-3,T_WBUPS-4,T_WBURB-1,T_WBURB-2,T_WBURB-3,T_WBURB-41,T_WBURB-43,T_WDNSO-1,T_WDNSO-2,T_WDRGW-1,T_WHIHW-1,T_WHILW-1,T_WHILW-2,T_WILCT-1,T_WISTW-2,T_WLNYO-2,T_WLNYO-3,T_WLNYO-4,T_WLNYW-1,T_WTMSO-1
1,2.7,5.09,-0.374,-0.264,-0.28,0.686,1.982,2.182,1.836,2.904,6.264,7.27,-0.052,3.438,2.57,-0.464,-0.03,6.862,-54.068,-1.768,433,417.4,0,404.64,0.44,0,0,-1.22,-2.52,0,-4.914,-3.528,-1.824,1.974,4.694,-0.006,2.226,0,-0.184,0.418,-3.89,0,0,0,0,0,-0.272,0.214,0.012,-0.25,0,-1.4,0,0,-1.3,0,-1.4,0,-0.188,0.548,-0.03,-0.108,0,0,0,550.1,507.8,599.9,0,0,0,-0.54,0.914,4.238,6.414,0.238,407.232,0,0,0,-0.182,0,-0.006,-0.002,-0.488,-1.67,-1.606,-0.026,-0.04,-1.94,16.318,36,30.6,-1.07,-0.048,14.366,17.48,21.68,24.5,51.062,0.984,-0.12,19.44,11,0.188,-0.17,0,-0.6,403.6,0,0,27.596,24.616,25.426,-1.132,-1.076,-0.8,-0.94,-0.74,-0.46,-0.002,0,-0.002,-0.006,0,-0.012,-0.458,2.004,494.496,514.12,-42.44,517.736,-17.208,3.488,1.336,14.214,6.186,8.862,11.02,10.942,7.72,-0.638,576.728,-3.272,723.4,-50.22,-2.32,4.194,-1.84,719.78,-0.16,3.15,4.856,-0.756,-0.544,8.972,2.016,-0.018,2.384,-1,-0.09,61.96,58.06,56.94,57.5,723.24,-0.04,1.5,2.006,656.34,0.108,0.64,-0.07,-0.004,1.806,4.778,-0.6,-0.096,9.012,0,3.73,0,423.4,433.4,0,420,422,-0.03,61.84,-2.402,-2.424,67.65,51.988,-3,-0.496,-0.514,0,1.146,1.3,301.8,333.4,0,-48.38,679.4,361.66,-0.348,0,0,-1.12,-0.984,-1.82,-3.01,752.4,-0.514,-1.054,-0.926,595.14,589.96,0,0,-0.02,798.2,423,421.2,423.8,0,-0.56,-0.454,-0.586,12.45,-1,-0.5,-0.4,-0.096,35.682,35.422,-5.228,-0.004,627.584,511.784,-48.8,-2.192,1.086,0,0,0,0,0,0,0,414.71,0,421.366,0.15,0.114,16.988,15.328,1.068,0.932,-1.21,-0.558,28.04,-0.14,7.062,-0.776,13.112,8.72,7.582
2,6,4.694,-0.418,0.042,-0.028,1.146,2.96,3.842,5.272,5.144,10.928,11.304,-0.298,0.934,4.38,-0.45,-0.196,4.684,-53.908,-1.8,412.2,410,-0.12,405.9,0.58,0,0,-0.624,-1.89,0,-4.914,-3.528,-2.048,0.984,5.512,-0.004,3.234,0,-0.198,0.232,-3.93,0,0,0,0,0,-0.994,-0.718,-0.78,-0.85,0,-1.4,0,0,-1.3,0,-1.4,0,-0.114,3.38,1.248,-0.296,0,0,0,591.5,507.94,600.24,0,0,0,-0.654,2.234,8.47,11.282,0.52,409.392,0,0,0,-0.182,1.86,-0.006,-0.002,-0.782,-0.976,-73.254,-63.244,-0.02,-73.22,16.322,50.8,0,-1.058,-0.048,15.006,16.54,14.2,12.52,-0.042,0.732,-0.12,3.22,3.22,0.038,-0.166,0,-0.6,409.9,0,0,15.226,24.352,15.632,-1.128,-1.066,-0.82,-0.92,-0.8,0.32,-0.002,0,-0.002,-0.004,0,-0.012,-0.456,3.916,493.952,513.616,-42.472,520.472,-17.152,0.806,0.092,2.244,-2.498,-2.954,0.932,1.648,0.04,-0.652,577.048,-3.28,672,-52.3,-2.33,-3,-1.84,719.62,-0.16,3.28,3.722,-0.756,-0.544,10.818,1.982,-0.018,2.786,-1,-0.1,69.48,64.42,52.62,51.8,724.62,-0.02,2.074,3.04,665.98,-0.168,0.68,0.024,-0.004,19.318,9.918,-0.6,0.064,0,0,0.37,0,423.6,433,0,419.6,422.8,-0.02,62.29,-2.362,-2.35,66.646,44.482,-3.2,-0.478,-0.514,0,0.99,1.498,301.8,301.1,0,-48.44,649.4,361.34,-0.342,0,0,-1.154,-0.986,-1.822,-2.984,750.4,-0.502,-0.836,-0.788,595.2,589.4,0,0,0.472,798.3,422.6,421.2,424.7,0,-0.632,-0.646,-0.59,13.15,-1,-0.6,-0.4,0.112,36.738,36.858,-4.534,-0.004,627.784,511.392,-48.744,-2.246,2.404,0,0,0,0,0,0,0,411.754,0,427.28,0.186,0.16,17.428,13.268,2.224,1.468,-1.45,-0.702,27.8,-0.016,3.274,-0.712,5.818,6,4.028
3,10.54,2.624,-0.196,-0.03,-0.17,1.05,4.62,5.184,12.89,16.274,20.232,20.55,-0.174,0.65,4.298,-0.46,-0.128,3.494,-54.042,-1.872,412,408.2,0.22,373.68,0.68,0,0,0.16,-2.016,0,-4.914,-3.528,-1.896,1.186,8.828,-0.006,3.596,0.06,-0.194,0.66,-3.91,0,0,0,0,0,-1.29,-1.166,-1.1,-1.242,0,-1.5,0,0,-1.4,0,-1.4,0,-0.02,3.12,1.08,0.138,0,0,0,600.02,571.8,599.72,0,0,0,-0.694,-0.124,2.456,2.288,0.2,409.534,0,0,0,-0.184,1.92,-0.006,-0.002,-0.306,-1.012,-73.154,-73.132,-0.04,-73.88,16.318,-0.9,-43.9,-1.864,-0.048,12.146,14.2,10.58,3.6,-0.042,0.806,-0.12,-0.458,-0.05,-0.046,-0.168,0,-0.5,383.9,0,0,6.664,30.986,8.716,-1.142,-1.082,-0.88,-0.98,-0.14,4.04,-0.002,0,-0.002,-0.004,0,-0.012,-0.454,4.52,493.528,514.84,-42.128,519.264,-16.664,0.954,-0.488,-4.666,-5.006,-4.928,-3.952,-2.962,-1.892,-0.636,576.856,-3.264,672,-53.04,-2.33,3.266,-1.84,719.78,-0.16,3.73,3.416,-0.754,-0.544,14.444,1.954,-0.018,2.466,-0.8,-0.1,54.68,50.74,41.78,41.84,723.82,-0.02,-0.654,0.434,665.54,-0.066,1.16,-0.2,-0.004,38.238,15.558,-0.8,1.348,0,0,0.01,0,424.2,432.2,0,419.4,422,-0.02,68.89,-2.358,-2.254,67.172,39.31,-3,-0.478,-0.504,0,2.004,1.574,301.8,301,0,-48.54,686.8,360.44,-0.386,0,0,-1.156,-0.982,-1.822,-2.992,750.6,-0.48,-0.796,-0.756,595.26,589.74,0,0,0.594,810,423,420.2,423.7,0,-0.626,-0.672,-0.584,11.69,-0.8,-0.5,-0.4,0.474,34.07,33.742,-4.188,-0.004,627.768,511.176,-48.84,-2.206,4.062,0,0,0,0,0,0,0,359.924,0,272.7,0.076,0.022,10.228,4.788,3.432,2.006,0.16,-0.688,27.71,0.516,2.986,7.832,3.412,2.4,-2.046
4,17.58,0.956,-0.204,0.56,0.152,0.65,5.14,2.936,24.578,23.852,28.868,35.016,-0.418,1.596,3.284,-0.498,-0.166,2.626,-54.104,-1.774,412.2,408.4,1.1,407.52,0.066,0,0,-0.498,-1.89,0,-4.788,-3.528,-2.074,0.534,10.286,-0.006,2.688,0.08,-0.196,0.704,-3.94,0,0,0,0,0,-1.274,-1.088,-1.078,-1.232,0,-1.5,0,0,-1.3,0,-1.3,0,0.09,6.96,4.814,0.194,0,0,0,600.26,582.48,600.32,0,0,0,-0.628,-0.342,-1.318,-0.79,0.36,409.39,0,0,0,-0.176,2.16,-0.006,-0.002,-0.272,-1.064,-73.116,-73.054,-0.02,-73.78,16.314,-2,-154.9,-1.034,-0.054,13.246,12.44,12.36,1.72,-0.042,0.958,-0.12,-0.754,-0.344,-0.126,-0.046,0,-0.6,351.5,0,0,4.456,34.342,4.916,-0.246,-0.516,0.58,0.64,4.96,2.32,-0.002,0,-0.002,-0.004,0,-0.012,-0.454,3.792,494.512,514.84,-29.36,522.192,-6.424,-0.108,-0.906,-5.04,-5.114,-4.692,-4.16,-4.058,-0.596,-0.626,576.624,-3.264,672,-52.6,-2.33,4.904,-1.84,719.74,-0.16,3.2,3.436,-0.756,-0.542,13.434,1.196,-0.016,1.7,-1,-0.09,31.94,31,28.82,28.72,723.62,-0.02,-1.124,-1.1,665.76,0.152,0.1,-0.364,-0.004,78.598,31.198,-0.6,2.504,0,0,0.3,0,422.8,432,0,419.8,423.4,-0.02,56.33,-2.356,-2.174,72.796,42.282,-3.2,-0.226,-0.41,0,1.822,1.492,301.8,301.1,0,-48.5,720.8,361.92,-0.35,0,0,-1.162,-0.986,-1.788,-2.978,750.4,-0.486,-0.78,-0.744,595.1,589.96,0,0,0.53,793.5,422.6,420.6,423.6,0,-0.626,-0.656,-0.596,9.65,-1,-0.5,-0.4,0.642,29.73,28.252,-4.67,-0.004,627.736,511.36,-48.832,-2.25,4.238,0,0,0,0,0,0,0,400.092,0,184.988,0.028,-0.048,8.428,5.228,2.498,2.066,0.38,-0.656,28.03,0.236,7.876,22.198,12.51,2.96,-3.144
5,25.76,1.912,0.106,1.08,0.508,0.626,3.96,2.16,21.016,27.116,34.59,44.396,-0.186,4.064,3.406,-0.534,-0.118,3.268,-54.364,4.584,420,411.8,0.98,408.06,0.054,0,0,0.746,-2.016,0,-4.914,-3.654,-2.048,0.37,3.652,-0.006,1.492,0.558,-0.154,0.674,-3.93,0,0,0,0,0,-1.284,-1.104,-1.078,-1.24,0,-1.4,0,0,-1.3,0,-1.5,0,0.102,8.64,5.314,-0.14,0,0,0,599.9,612.08,599.92,0,0,0,0.74,-0.006,0.162,4.798,0.24,405.502,0,0,0,-0.184,1.88,-0.006,-0.002,-0.002,-0.992,-72.856,-72.834,-0.04,-73.52,16.318,-1.9,-154.5,-1.046,-0.054,9.448,10.38,8.26,3.42,-0.042,1.028,-0.114,-0.786,-0.246,1.012,1.006,0,-0.5,352.8,0,0,4.834,23.49,3.642,0.282,0.614,11.04,9.24,11.98,9.26,-0.002,0,0,-0.004,0,-0.012,-0.456,4.412,493.776,515.064,-27.616,516.512,-2.232,-0.222,-0.726,-5.026,-5.104,-4.83,-4.08,-3.422,-0.23,-0.63,577.064,-3.28,677.4,-50.96,-2.33,4.918,-1.73,720.04,-0.17,3.18,2.52,-0.756,-0.542,13.252,0.92,-0.016,1.282,-1,-0.1,28.88,26.68,27.78,28.62,725.84,-0.04,-0.48,-0.696,665.96,0.21,0.04,0.224,-0.004,106.798,49.958,-0.6,3.082,0,0,1.01,0,424.2,433.4,0,420.4,423.6,-0.03,50.46,-2.368,-2.212,88.622,57.588,-3,0.478,0.144,0,2.006,1.594,301.8,333.2,0,-48.54,720.8,361.36,-0.348,0,0,-1.168,-0.978,-1.798,-3.012,731.4,-0.488,-0.782,-0.742,595.06,589.38,0,0,1.812,799.3,422.6,420.6,423.9,0,-0.6,-0.59,-0.606,12.03,-1,-0.6,-0.4,0.41,22.314,22.988,-5.948,-0.004,627.152,511.776,-48.8,-2.208,3.856,0,0,0,0,0,0,0,369.05,0,99.986,0.09,0.034,10.608,5.328,2.792,1.94,-0.18,-0.62,27.9,0.842,15.446,36.258,23.712,3.36,-3.128
6,18.3,2.834,0.494,0.42,0.13,0.756,2.42,4.04,26.7,28.172,36.352,41.584,1.826,2.09,1.998,-0.478,-0.098,3.402,-55.338,21.59,415,411.6,0.44,407.16,0.22,0,0,1.48,-1.89,0,-4.914,-3.528,-1.892,1.006,3.758,-0.006,1.776,0.496,-0.188,0.554,-3.92,0,0,0,0,0,-1.296,-1.114,-1.076,-1.25,0,-1.4,0,0,-1.3,0,-1.4,0,0.036,9.24,6.932,0.068,0,0,0,600.04,610.62,600.04,0,0,0,1.12,1.094,9.968,14.468,0.3,312.912,0,0,0,-0.182,1.74,-0.006,-0.002,-0.002,-0.968,-72.556,-72.492,-0.02,-73.22,16.496,-1.9,-154.1,-0.944,-0.056,4.604,6.74,5.66,9.26,-0.042,1.01,-0.112,-0.552,0.018,7.45,1.112,0,-0.6,358.7,0,0,8.78,4.594,7.802,0.178,0.878,12.7,13.06,14.96,11,-0.002,0,0,-0.004,0,-0.01,-0.462,7.072,494.664,514.56,-27.52,511.008,-2.28,0.518,-0.952,-4.124,-4.796,-4.214,-1.724,-2.572,0.434,-0.632,576.792,-3.28,677.8,-49.88,-2.32,2.438,-1.84,720.04,-0.16,3.61,1.85,-0.75,-0.54,13.51,1.366,-0.006,1.404,-1,-0.1,30.06,28.08,31.36,29.76,725.02,-0.02,3.694,3.89,665.68,-0.078,1.74,-0.186,-0.004,114.558,61.798,-0.6,2.768,0,0,7.41,0,424.6,434,0,420.6,424,-0.02,30.58,-2.336,-2.192,74.088,61.496,-3.2,0.218,-0.084,0,2.724,2.134,301.7,310.5,0,-48.34,723.4,362.54,-0.364,0,0,-1.164,-0.974,-1.844,-3.05,734.4,-0.494,-0.772,-0.736,595.32,589.62,0,0,3.704,775.6,422.4,420.6,423.8,0,-0.296,0.05,-0.54,16.23,-0.8,-0.6,-0.4,0.708,14.21,15.34,-5.306,-0.004,628.96,511.008,-48.76,-2.276,4.002,0,0,0,0,0,0,0,377.336,0,-4.246,0.244,0.246,9.348,8.588,3.56,1.714,-1.64,-0.678,29.52,0.792,26.228,44.458,42.31,12.18,-3.114
7,29.42,2.624,0.658,1.1,0.642,0.596,1.33,6.384,28.686,26.826,27.182,35.612,0.848,1.22,1.91,-0.356,-0.164,6.912,-55.834,43.29,412,408.2,-0.12,375.48,0.42,0,0,0.772,-2.016,0,-4.914,-3.528,-1.984,1.218,3.244,-0.006,1.108,2.488,0.332,0.54,-3.92,0,0,0,0,0,-1.31,-1.128,-1.11,-1.264,0,-1.4,0,0,-1.3,0,-1.3,0,0.214,9.46,7.032,0.204,0,0,0,599.76,628.46,599.88,0,0,0,1.56,1.014,10.728,11.814,0.2,359.28,0,0,0,-0.184,4.04,-0.006,-0.002,0,-1.018,-72.516,-72.474,-0.04,-73.18,16.324,-1.9,-154.3,-0.884,0.136,5.366,6.68,5.14,13.72,-0.042,0.902,-0.116,-0.76,-0.43,5.036,0.926,0,-0.5,355.2,0,0,8.128,0.778,7.648,1.618,2.104,32.04,26.74,20.66,19.12,-0.002,0,0,-0.004,0,-0.01,-0.458,6.798,493.624,513.944,-27.592,510.784,-2.28,1.788,-1.06,-4.946,-5.04,-4.08,-3.254,-2.016,-0.092,-0.632,578.12,-3.28,673.6,-48.9,-2.32,5.152,-1.84,719.58,-0.16,4.11,5.244,-0.752,-0.54,18.622,2.028,0.042,2.048,-1,-0.1,22.24,21.66,22.38,23.82,726.62,-0.02,13.922,10.592,665.98,-0.204,1.66,-0.282,-0.004,105.658,58.018,-0.6,2.29,0,0,18.91,0,425.8,434.6,0,421.8,423.8,-0.02,29.83,-2.246,-2.194,59.608,43.436,-3,0.208,0.1,0,4.088,2.706,301.8,301,0,-48.74,679.2,362.24,-0.36,0,0,-1.162,-0.972,-1.82,-2.966,735.2,-0.492,-0.768,-0.728,594.4,589,0,0,3.282,806.9,422.4,420.4,423.5,0,1.32,1.13,-0.072,13.19,-0.8,-0.5,-0.4,1.306,15.326,15.456,-3.084,-0.004,629.88,511,-48.832,-2.212,4.672,0,0,0,0,0,0,0,374.182,0,-3.826,0.158,0.126,11.588,22.648,2.86,2.278,0.14,-0.654,30.32,0.374,29.836,42.858,48.332,26.22,-3.052
8,34.52,3.622,0.522,3.6,2.452,1,2.68,10.65,29.954,24.002,33.794,50.852,0.252,1.052,2.272,-0.164,0.148,14.392,-55.216,77.89,412.2,408,0.78,259.92,0.3,0,0,1.42,-1.89,0,-4.914,-3.528,-1.946,0.608,6.4,-0.006,3.098,4.962,0.598,0.356,-3.92,0,0,0,0,0,-1.306,-1.13,-1.118,-1.282,0,-1.4,0,0,-1.3,0,-1.4,0,0.358,13.18,6.132,0.324,0,0,0,599.88,644.76,600.1,0,0,0,0.46,1.414,1.06,0.622,0.38,409.536,0,0,0,-0.186,6.22,-0.006,-0.002,-0.002,-1.014,-72.376,-72.372,-0.02,-73.04,16.324,-1.9,-154.3,-0.878,-0.012,2.208,3.1,2.06,5.36,-0.042,0.96,-0.114,-0.098,-0.192,3.592,1.272,0,-0.6,354.6,0,0,4.216,0.848,4.012,0.854,4.032,22.46,20.04,23.66,19.52,-0.002,0,0,-0.004,0,-0.01,-0.47,8.794,492.616,513.08,-27.544,513.016,-2.248,0.798,-1.156,-4.93,-5.042,-3.848,-3.842,-1.962,-0.4,-0.632,577.848,-3.28,649.8,-50.96,-2.31,5.334,-1.84,720.26,-0.16,4.11,6.124,-0.754,-0.54,23.032,1.438,0.092,1.768,-1,-0.1,7.92,9.1,11.64,12.44,726.02,-0.02,13.734,18.106,665.48,-0.17,0.48,-0.184,-0.004,130.278,70.298,-0.8,1.546,0,0,15.16,0,414.8,435.4,0,422.8,424.6,-0.02,25.98,-0.36,-2.206,65.332,41.872,-3.2,-0.464,-0.504,0,3.254,2.498,301.8,301,0,-49.14,638.8,362.14,-0.344,0,0,-1.162,-0.972,-1.786,-2.976,733.2,-0.49,-0.77,-0.73,594.16,588.98,0,0,2.116,809.2,422.8,420.2,423.4,0,1.18,0.94,-0.23,9.99,-1,-0.6,-0.4,1.286,19.066,20.84,-5.138,-0.004,630.072,510.584,-48.84,-2.138,5.244,0,0,0,0,0,0,0,372.62,0,-2.97,0.12,0.07,26.348,33.868,2.272,2.58,3.89,-0.536,29.79,0.218,29.34,49.098,51.55,29.48,-3.074
9,22.62,2.094,0.952,5.66,4.49,0.702,3.36,10.09,37.862,32.668,39.314,56.066,1.338,2.094,2.052,-0.408,-0.186,11.624,-54.954,94.55,412,408.2,0.54,336.42,0.12,0,0,1.56,-2.016,0,-4.914,-3.528,-1.91,0.442,13.374,-0.004,2.264,5.024,0.756,0.03,-3.9,0,0,0,0,0,-1.296,-1.132,-1.126,-1.28,0,-1.4,0,0,-1.3,0,-1.4,0,0.4,15.16,5.756,-0.202,0,0,0,600.22,644.88,599.78,0,0,0,0.54,0.204,-1.342,-2,0.88,409.392,0,0,0,-0.184,6.48,-0.006,-0.002,-0.002,-1.028,-72.136,-72.114,-0.04,-72.8,16.328,-1.9,-153.9,-0.878,-0.054,1.286,1.4,1.72,2.26,-0.042,0.364,-0.114,3.58,1.5,3.31,2.758,0,-0.6,407.4,0,0,1.998,2.164,2.136,2.078,3.738,32.1,28.92,26.06,20.24,-0.002,0,0,-0.004,0,-0.01,-0.462,11.584,492.368,512.936,-27.416,507.688,-2.24,1.92,-1.058,-4.94,-5.056,-4.042,-4.264,-4.036,-1.476,-0.628,577.312,-3.272,577.6,-51,-2.31,4.626,-1.84,719.86,-0.16,3.97,8.75,-0.754,-0.544,22.418,0.838,0.072,1.47,-1,-0.09,14.98,15.06,15.68,15.66,726.22,-0.02,9.158,19.116,666.1,-0.108,0.66,-0.126,-0.004,147.478,68.078,-0.6,0.97,0,0,10.34,0,426,436.8,0,423.2,425,-0.03,26.66,0.584,-1.244,56.07,39.226,-3,-0.474,-0.492,0,3.59,3.198,301.8,301,0,-49.22,652.2,363.26,-0.342,0,0,-1.17,-0.98,-1.792,-2.986,733.6,-0.494,-0.722,-0.65,594.76,589.58,0,0,1.924,810,423.4,420.6,423.6,0,0.572,0.74,-0.36,18.41,-0.8,-0.5,-0.4,1.904,20.42,21.524,-5.53,-0.004,629.72,511.408,-48.88,-2.236,5.722,0,0,0,0,0,0,0,377.586,0,-2.356,0.254,0.256,27.988,27.988,1.716,2.56,6.12,0.17,30.66,0.01,26.38,47.578,48.772,27.62,-3.092
10,27.14,2.472,1.244,4.98,4.086,0.764,4.1,8.358,36.162,33.516,47.5,61.068,2.828,2.336,2.894,-0.514,-0.2,10.858,-53.2,56.77,412,408,0.86,334.44,0.22,0,0,1.5,-1.89,0,-4.788,-3.528,-1.928,1.204,10.152,-0.006,2.798,5.014,0.846,-0.132,-3.9,0,0,0,0,0,-1.29,-1.13,-1.132,-1.298,0,-1.4,0,0,-1.3,0,-1.4,0,0.254,12.16,5.062,-0.376,0,0,0,599.76,644.42,600.18,0,0,0,1.6,0.09,-1.632,-2.55,0.94,409.392,0,0,0,-0.184,8.56,-0.006,-0.002,-0.002,-1.42,-71.976,-71.954,-0.02,-72.64,16.332,-1.9,-153.9,-0.88,0.518,0.346,0.94,0.54,1.14,-0.042,0.322,-0.11,4.9,2.44,2.124,2.316,0,-0.5,412.6,0,0,-1.688,1.262,-1.63,4.464,3.244,22.38,24.54,26.92,23.3,-0.002,0,0,-0.004,0,-0.012,-0.426,9.502,491.928,513.464,-27.392,506.136,-2.256,1.79,-0.886,-4.938,-5.03,-4.152,-4.586,-4.294,-2.496,-0.622,577.992,-3.256,586.2,-50.42,-2.32,4.908,-1.84,719.86,-0.16,2.81,9.454,-0.754,-0.542,16.702,0.136,0.012,0.632,-1,-0.1,12.82,11.12,16.4,16.18,727.02,-0.02,4.526,11.516,665.54,-0.172,2.68,0.5,-0.004,164.038,87.058,-0.6,0.482,0,0,9.21,0,416,436.8,0,413,424.6,-0.02,29.29,20.634,21.39,51.258,37.596,-3,-0.418,-0.316,0,3.944,3.794,301.7,305,0,-48.98,688.4,362.68,-0.374,0,0,-1.154,-0.974,-1.782,-2.974,732.4,-0.488,2.924,1.506,594.8,589.98,0,0,4.588,810.7,412.4,420.2,423.7,0,0.968,1.408,-0.242,22.01,-0.8,-0.6,-0.4,2.09,20.312,22.53,-4.052,-0.004,630.296,512.776,-48.904,-2.228,6.182,0,0,0,0,0,0,0,378.384,0,-3.126,0.276,0.126,23.828,20.608,2.396,2.522,3.07,-0.222,48.06,1.118,28.86,47.478,43.25,23.64,-3.062
