settlementPeriod,T_ABRBO-1,T_ACHRW-1,T_AFTOW-1,T_AKGLW-2,T_AKGLW-3,T_ANSUW-1,T_ARCHW-1,T_BDCHW-1,T_BEATO-1,T_BEATO-2,T_BEATO-3,T_BEATO-4,T_BEINW-1,T_BHLAW-1,T_BLKWW-1,T_BLLA-1,T_BLLA-2,T_BOWLW-1,T_BPGRD-1,T_BRBEO-1,T_CARR-1,T_CARR-2,T_CASKD-1,T_CDCL-1,T_CGTHW-1,T_CLDCW-1,T_CLDNW-1,T_CLDSW-1,T_CNQPS-1,T_CNQPS-2,T_CNQPS-3,T_CNQPS-4,T_COSO-1,T_COUWW-1,T_CREAW-1,T_CRGHD-1,T_CRGHW-1,T_CRYRW-2,T_CRYRW-3,T_DALQW-1,T_DAMC-1,T_DBAWO-1,T_DBAWO-2,T_DBAWO-3,T_DBAWO-4,T_DBAWO-5,T_DDGNO-1,T_DDGNO-2,T_DDGNO-3,T_DDGNO-4,T_DIDCB5,T_DIDCB6,T_DINO-1,T_DINO-2,T_DINO-3,T_DINO-4,T_DINO-5,T_DINO-6,T_DNLWW-1,T_DOREW-1,T_DOREW-2,T_DOUGW-1,T_DRAXX-1,T_DRAXX-10G,T_DRAXX-12G,T_DRAXX-2,T_DRAXX-3,T_DRAXX-4,T_DRAXX-5,T_DRAXX-6,T_DRAXX-9G,T_DRSLW-1,T_DUNGW-1,T_EAAO-1,T_EAAO-2,T_EDINW-1,T_EECL-1,T_ERRO-1,T_ERRO-2,T_ERRO-3,T_EWHLW-1,T_FALGW-1,T_FASN-1,T_FASN-2,T_FERGD-1,T_FERGD-2,T_FFES-1,T_FFES-2,T_FFES-3,T_FFES-4,T_FINL-1,T_FOYE-1,T_FOYE-2,T_FOYED-1,T_FSDLW-1,T_GANW-11,T_GANW-13,T_GANW-22,T_GANW-24,T_GLNDO-1,T_GLWSW-1,T_GNAPW-1,T_GNFSW-1,T_GNFSW-2,T_GORDW-1,T_GORDW-2,T_GRAI-6,T_GRAI-7,T_GRAI-8,T_GRAI1G,T_GRAI4G,T_GRGBW-1,T_GRGBW-2,T_GRGBW-3,T_GRIFW-1,T_GRIFW-2,T_GYMR-15,T_GYMR-17,T_GYMR-26,T_GYMR-28,T_GYMRD-16,T_GYMRD-2,T_GYMRD-E10,T_GYMRD-E11,T_GYMRD-W10,T_GYMRD-W11,T_HADHW-1,T_HALSW-1,T_HEYM11,T_HEYM12,T_HEYM2-D,T_HEYM27,T_HEYM28,T_HMGTO-1,T_HMGTO-2,T_HOWAO-1,T_HOWAO-2,T_HOWAO-3,T_HOWBO-1,T_HOWBO-2,T_HOWBO-3,T_HRSTW-1,T_HRTL-1,T_HRTL-2,T_HUMR-1,T_HUMRD-1,T_INDQ-1,T_JGPR-1,T_KEAD-1,T_KEAD-2,T_KEADGT-3,T_KENNW-1,T_KILBW-1,T_KILLPG-1,T_KILLPG-2,T_KLGLW-1,T_KPMRW-1,T_KTHLW-1,T_KYPEW-1,T_LAGA-1,T_LARKS-1,T_LARYW-1,T_LARYW-2,T_LARYW-3,T_LARYW-4,T_LBAR-1,T_LBAR-1G,T_LNCSW-1,T_LNCSW-2,T_MEDP-1,T_MIDMW-1,T_MILWW-1,T_MKHLW-1,T_MOWEO-1,T_MOWEO-2,T_MOWEO-3,T_MRWD-1,T_MYGPW-1,T_NANT-1,T_NNGAO-1,T_OMNDW-1,T_PEHE-1,T_PEMB-11,T_PEMB-21,T_PEMB-31,T_PEMB-41,T_PEMB-51,T_PNYCB-1,T_PNYCW-1,T_RCBKO-1,T_RCBKO-2,T_RMPNO-1,T_RMPNO-2,T_ROCK-1,T_RREW-1,T_RRWW-1,T_RYHPS-1,T_SAKNW-1,T_SANQW-1,T_SCCL-1,T_SCCL-2,T_SCCL-3,T_SCCL-4,T_SEAB-1,T_SEAB-2,T_SEEL-1,T_SGRWO-1,T_SGRWO-2,T_SGRWO-3,T_SGRWO-4,T_SGRWO-5,T_SGRWO-6,T_SHBA-1,T_SHBA-2,T_SHRSW-1,T_SHRSW-2,T_SIZB-1,T_SIZB-2,T_SLOY-2,T_SLOY-3,T_SOKYW-1,T_SPLN-1,T_STAY-1,T_STAY-2,T_STAY-3,T_STAY-4,T_STLGW-1,T_STLGW-2,T_STLGW-3,T_STRNW-1,T_SUTB-1,T_SVRP-10,T_SVRP-20,T_TDBNW-1,T_THNTO-1,T_THNTO-2,T_TKNEW-1,T_TKNWW-1,T_TORN-1,T_TORN-2,T_TORN-D,T_TSREP-1,T_TWSHW-1,T_USKM-13,T_WBUGT-1,T_WBUGT-4,T_WBUPS-1,T_WBUPS-2,T_WBUPS-3,T_WBUPS-4,T_WBURB-1,T_WBURB-2,T_WBURB-3,T_WBURB-41,T_WBURB-43,T_WDNSO-1,T_WDNSO-2,T_WDRGW-1,T_WHIHW-1,T_WHILW-1,T_WHILW-2,T_WILCT-1,T_WISTW-2,T_WLNYO-2,T_WLNYO-3,T_WLNYO-4,T_WLNYW-1,T_WTMSO-1
1,0.426,0.046,4.918,12.18,12.62,0.198,1.316,-0.202,5.07,5.362,5.338,5.532,2.698,1.034,4.072,7.988,7.048,13.004,-54.686,36.49,417.6,416.4,15.2,346.68,1.22,11.1,11.12,0,271.026,0,258.174,-4.41,159.54,1.916,-0.288,-0.006,-0.276,19.26,1.34,3.716,474.47,0,0,0,0,0,42.258,34.75,34.252,39,0,-2.8,0,0,-1.3,0,-1.4,0,4.158,-0.1,-0.544,2.694,0,0,0,625.12,603.1,589.86,0,0,0,2.1,2.434,29.228,34.288,-0.088,396.864,21.16,0,21.19,0.364,23.52,7.208,-0.002,-0.534,-1.55,-1.222,-1.22,-0.02,-1.58,11.428,-1.9,0.1,-0.978,3.536,2.226,2.74,5.36,6.58,-0.042,4.686,-0.1,8.66,6.48,0.236,-0.074,-0.2,-0.6,387.8,0,0,25.88,7.07,25.516,2.704,5.768,24.54,20.06,51.18,50.46,-0.002,0,0,-0.004,0,-0.012,0.538,0.056,479.944,0,-29.016,-4.792,-16.184,20.084,16.756,43.714,52.036,59.734,48.602,74.042,53.76,-0.71,0,-20.392,316.152,-50.34,-2.36,5.366,-3.13,-0.79,-0.17,11.59,0,-0.738,-0.574,-0.972,6.778,0.384,4.746,-1.2,-0.1,23.16,17.62,17.92,17.46,730.82,-0.02,2.512,3.612,638.02,1.9,0.32,-0.1,-0.004,23.098,12.198,-0.6,3.67,0,0,17.5,0,414,434.4,0,422.6,426,-0.02,-0.1,16.498,13.166,3.894,-0.106,-2.4,12.686,16.092,0,0,6.594,339.6,-4.1,0,-44.04,476,-3.054,-0.342,0,0,-1.434,-1.086,-1.788,-3.346,598.6,-0.508,36.902,32.244,594.66,591.7,0,0,7.596,803.6,424.6,423,425.9,0,2.646,4.666,1.168,-0.368,-1,-0.5,-0.4,6.256,12.612,12.56,77.272,87.216,626.416,-2.176,-31.208,-3.29,4.456,0,0,0,0,0,0,0,385.87,0,366.392,-0.05,-1.012,48.128,43.408,7.176,5.98,0.404,1.286,47.53,3.36,35.358,74.658,104.012,28.02,78.422
2,1.33,-0.068,3.934,14.12,12.77,0.166,2.932,-0.208,3.222,4.874,5.15,5.12,1.172,0.302,4.538,8.544,6.784,11.476,-53.212,30.61,417.6,416.4,16.94,398.7,2.7,18.98,18.216,0,257.292,0,264.852,-4.536,-2.06,3.282,-0.068,-0.004,-0.27,16.92,1.06,4.352,465.4,0,0,0,0,0,28.806,22.678,24.626,26.73,0,-2.6,0,0,-1.3,0,-1.5,0,2.994,-0.596,-0.506,2.336,0,0,0,624.9,603.78,590.2,0,0,0,1.6,5.534,27.524,37.228,-0.08,328.75,0.556,0,1.066,2.566,17.58,7.204,-0.002,-0.806,-0.986,-1.222,-1.24,-0.04,-1.58,9.782,-1.9,-1.9,-0.88,4.146,14.466,17.84,19.22,21.96,-0.042,6.706,-0.096,8.78,5.14,-0.258,-0.156,-0.2,-0.6,353.4,0,0,37.354,36.242,34.462,1.4,5.51,22.12,17.94,55.24,40.54,-0.002,0,0,-0.004,0,-0.01,3.192,0.112,479.848,0,-29.096,-4.784,-15.712,26.294,23.776,51.434,51.636,65.234,48.494,114.94,103.16,-0.672,0,-20.192,316.156,-51.8,-2.37,5.556,-3.04,-0.798,-0.16,17.33,0,-0.734,-0.568,4.704,8.448,0.254,7.378,-1,-0.09,26.68,20.7,14.48,13.98,731.02,-0.02,10.142,12.932,585.94,1.436,0.46,-0.482,-0.004,20.678,13.158,-0.6,4.57,0,0,16.79,0,413.8,434,0,422.2,426,-0.02,1.22,35.338,27.824,-0.83,-1.164,-2.2,8.014,9.078,0,0,7.35,339.5,-4.1,0,-44.3,475.8,-1.904,-0.34,0,0,-1.43,-1.078,-1.79,-3.372,575.2,-0.51,6.392,7.21,594.94,591.48,0,0,5.676,810,423.8,422.8,425.7,0,3.048,4.742,1.284,-0.354,-0.8,-0.6,-0.5,4.15,12.142,11.092,79.992,121.436,625.92,-2.192,-31.288,-3.282,4.862,0,0,0,0,0,0,0,344.67,0,125.052,-0.19,-0.492,47.188,38.768,5.374,7.1,0.792,7.06,45.89,2.646,33.058,53.478,89.37,22.42,101.602
3,0.576,-0.162,2.836,14.08,12.922,-0.002,5.06,-0.172,3.49,4.78,3.738,2.93,0.358,-0.724,4.044,5.794,5.658,8.926,-53.028,39.31,418.2,416.6,17.82,397.8,2.44,16.86,17.236,0,263.466,0,284.76,-4.536,-2.038,3.64,-0.304,-0.004,-0.266,16.676,0.884,4.306,468.72,0,0,0,0,0,33.718,27.804,29.718,29.318,0,-2.7,0,0,-1.4,0,-1.4,0,2.87,0.02,-0.544,1.87,0,0,0,625.2,587.24,589.8,0,0,0,0.76,6.134,29.384,24.588,-0.094,325.728,19.564,0,17.966,2.38,29.98,7.186,-0.002,-0.182,-0.894,-3.034,-0.088,-0.02,-0.34,0.02,-1.9,-0.1,-1.336,5.948,17.826,22.04,23.5,26.2,-0.042,7.068,-0.094,16.56,7.72,-0.22,-0.156,-0.2,-0.6,353.4,0,0,38.19,31.446,36.112,0.466,3.384,14.7,14.8,52.56,34.8,-0.002,0,0,-0.004,0,-0.012,4.604,0.144,479.92,0,-29.008,-4.768,-15.624,30.406,29.596,86.114,62.456,72.554,77.868,148.106,138.4,-0.664,0,-19.864,291.574,-50.6,-2.36,5.61,-3.24,-0.794,-0.16,14.7,0,-0.736,-0.568,8.33,10.264,0.222,8.318,-1,-0.1,18.42,13.3,12.86,11.9,730.04,-0.04,18.568,21.118,553.04,2.442,0,-0.468,-0.004,25.538,13.698,-0.6,3.482,0,0,10.42,0,414.6,434.4,0,422,425.8,-0.02,1.47,60.118,49.586,-1.624,-1.538,-2.2,6.938,7.144,0,0,6.326,339.6,-4.1,0,-44.78,476.2,-1.9,-0.34,0,0,-1.428,-1.094,-1.784,-3.406,587.6,-0.506,14.554,9.234,595.32,591.1,0,0,4.928,812.1,419.6,423.4,413.9,0,2.142,3.844,0.406,-0.33,-1,-0.5,-0.4,5.488,11.834,12.032,117.272,111.756,626.376,-2.184,-31.2,-3.26,3.5,0,0,0,0,0,0,0,321.148,0,-4.312,-0.288,-0.288,43.468,33.488,4.338,3.89,0.614,15.26,48.35,2.518,31.224,35.678,77.332,18.66,145.922
4,1.272,2.296,2.85,14.98,13.886,-0.002,6.86,0.026,2.274,2.828,3.322,2.282,0.08,-0.886,6.93,6.254,5.252,8.074,-53.12,39.85,418.4,417,16.28,404.46,1.38,15.48,15.856,0,320.292,0,317.268,-4.41,-2.03,1.74,-0.24,-0.006,-0.266,16.826,1.054,6.66,238.21,0,0,0,0,0,43.044,35.362,37.012,39.23,0,-2.6,0,0,-1.3,0,-1.5,0,3.67,-0.442,-0.542,2.704,0,0,0,625.08,588.02,590.14,0,0,0,1.48,4.034,17.586,17.628,-0.054,318.096,2.7,0,3.146,2.864,22.74,7.208,-0.002,-0.238,-1.006,-72.712,-62.524,-0.04,-0.02,0,-0.1,-147.2,-0.706,6.414,20.646,23.24,22.74,21.2,-0.042,10.202,-0.094,19.8,9.32,-0.18,-0.158,-0.2,-0.6,308,0,0,30.928,36.81,30.942,-0.128,2.6,16.68,14.86,68.16,48.14,-0.002,0,0,-0.004,0,-0.012,4.736,0.17,480.304,0,-29.08,-4.144,-15.696,34.272,32.236,107.414,79.796,79.054,97.806,160.128,141.42,-0.658,0,-19.6,285.166,-48.98,-2.37,5.82,-3.04,-0.792,-0.16,13.42,0,-0.74,-0.572,9.06,14.376,0.286,10.67,-1,-0.1,38.72,30.1,22.76,21.62,730.62,-0.02,32.604,41.29,608.54,3.912,0,-0.496,-0.004,26.818,16.778,-0.6,5.218,0,0,9.75,0,415,433.6,0,422.2,426.2,-0.03,2.31,81.838,77.026,-1.602,-1.632,-2.4,7.854,10.106,0,0,6.684,339.5,-4.1,0,-45.14,475.8,-1.908,-0.376,0,0,-1.43,-1.084,-1.776,-3.356,619,-0.508,37.128,26.466,594.9,591.68,0,0,3.834,812.9,422.2,423.2,425.8,0,1.384,2.394,-0.188,0.412,-1,-0.6,-0.4,5.838,12.834,12.566,117.012,135.496,626.152,-2.176,-31.248,-3.25,1.33,0,0,0,0,0,0,0,309.766,0,-3.35,-0.166,-0.45,42.388,31.968,4.624,3.522,0.788,18.44,47.64,2.976,24.344,28.538,64.37,21.62,125.822
5,3.9,6.3,4.204,15.2,14.094,0.324,6.34,-0.154,3.362,4.118,3.974,2.142,-0.476,-0.716,7.936,8.318,6.734,9.43,-53.02,40.93,403.6,417.2,18.04,323.64,0.82,14.76,18.254,0,300.762,0,330.12,-4.536,-1.848,1.774,0.242,-0.006,-0.266,16.302,0.978,9.422,-6.04,0,0,0,0,0,52.102,42.982,44.358,46.076,0,-2.6,0,0,-1.3,0,-1.4,0,3.96,-0.186,-0.308,3.636,0,0,0,625.08,601.04,589.9,0,0,0,2.26,1.474,40.306,48.528,0.018,314.064,0,0,0,3.866,31.16,7.214,-0.002,-0.002,-0.918,-72.194,-72.192,-0.02,-0.04,0,-1.2,-155,-1.634,5.426,18.386,20.52,20.36,16.22,-0.042,12.714,-0.096,14.72,7.5,-0.17,-0.154,-0.1,-0.6,260.1,0,0,26.358,31.834,26.49,-0.584,1.486,17.46,17.96,73.26,46.82,-0.002,0,0,-0.004,0,-0.012,3.318,0.272,480.072,0,-29.144,-2.528,-15.68,34.258,37.156,110.394,100.336,79.154,113.716,195.828,181.7,-0.656,0,-20.456,293.974,-49.24,-2.38,4.806,-3.14,-0.788,-0.16,17.12,0,-0.744,-0.58,2.592,20.454,0.386,14.238,-1.2,-0.09,50.76,40.18,35.84,34.52,729.42,-0.02,30.896,36.488,575.96,5.384,0,-0.422,-0.004,25.198,20.778,-0.6,3.534,0,0,5.83,0,414.4,434,0,421.8,426,-0.02,2.41,100.718,92.666,-1.598,-1.594,-2.4,7.636,8.792,0,0,10.524,339.6,-4.1,0,-44.82,476,-1.9,-0.352,0,0,-1.414,-1.082,-1.776,-3.334,546.2,-0.506,51.19,40.95,595.36,591.34,0,0,5,657.5,424.8,423.2,413.1,0,0.85,1.018,-0.322,0.866,-0.8,-0.5,-0.4,5.12,23.896,24.996,125.072,131.976,625.88,-2.184,-31.136,-3.27,2.728,0,0,0,0,0,0,0,276.786,0,-2.694,-0.046,-0.006,38.348,34.488,4.252,5.076,5.046,18.9,50.81,4.406,24.312,30.818,73.23,20.82,122.682
6,1.94,6.258,5.158,15.54,16.91,0.552,6.34,-0.08,2.304,2.268,1.854,0.444,-0.418,-0.404,6.366,9.108,7.768,7.498,-53.482,51.69,418.8,417,18.68,224.1,0.72,14.1,18.726,0,240.534,0,239.904,-4.536,-2.02,3.558,0.66,-0.004,-0.266,15.07,0.89,10.558,-4.02,0,0,0,0,0,57.946,45.504,47.656,48.952,0,-3.1,0,0,-1.3,0,-1.4,0,3.036,0.97,0.334,5.188,0,0,0,624.86,604.58,589.98,0,0,0,3.18,1.434,93.464,106.088,-0.028,404.64,0,0,0,3.8,31.66,7.202,-0.002,-0.002,-0.868,-72.294,-72.292,-0.04,-0.02,0,-143.1,-153.4,-1.072,4.222,19.126,23.18,21.7,21.3,-0.042,13.114,-0.096,16.5,7.62,-0.18,-0.154,-0.2,-0.6,289.7,0,0,30.914,30.112,31.116,-0.958,-0.042,10.32,11.66,36.16,25.4,-0.002,0,0,-0.004,0,-0.012,3.55,0.286,481.984,0,-29.232,-4.352,-15.664,31.458,31.976,131.674,107.576,97.374,124.086,186.602,159.58,-0.644,0,-20.96,286.772,-48.48,-2.37,4.504,-2.94,-0.794,-0.16,17.1,0,-0.746,-0.582,3.852,25.764,0.318,17.132,-1,-0.1,39.66,32.42,30.16,29.14,730.42,-0.02,34.062,42.654,519.64,7.508,0,-0.356,-0.004,21.058,22.598,-0.6,4.154,0,0,15.81,0,414.4,433.8,0,422,426,-0.02,2.72,114.618,92.664,-1.346,-1.374,-2.2,3.578,4.85,0,0,10.052,339.6,-4.1,0,-44.94,476,-1.848,-0.35,0,0,-1.416,-1.084,-1.786,-3.328,623.4,-0.506,51.128,40.832,595.74,591.7,0,0,7.836,662.7,425.4,423.4,425,0,0.186,-0.086,-0.376,1.59,-1,-0.6,-0.4,4.528,25.114,26.68,119.85,150.116,626.016,-2.192,-31.216,-3.2,4.024,0,0,0,0,0,0,0,248.13,0,-2.766,-0.05,-0.236,55.128,48.028,4.23,6.586,5.486,20.58,52.56,3.772,29.656,42.078,73.352,28.54,99.302
7,0.778,5.34,6.078,16.7,19.258,1.632,7.06,-0.03,1.754,1.908,1.078,1.896,-0.378,-0.602,7.39,6.996,8.842,11.762,-53.44,49.55,418.8,417.2,18.04,210.24,0.36,11.94,14.914,0,229.446,0,222.012,-4.536,-1.97,4.614,0.38,-0.006,-0.266,16.656,0.824,11.404,-3.96,0,0,0,0,0,53.408,42.416,44.452,47.198,0,-2.6,0,0,-1.4,0,-1.5,0,3.094,1.94,0.54,8.706,0,0,0,624.98,605.34,590.26,0,0,0,4.82,0.018,123.388,132.568,-0.032,368.064,0,0,0,5,27.54,7.194,-0.002,-0.004,-0.858,-72.354,-72.352,-0.02,-0.04,0,-151,-153.5,-1.048,3.56,20.288,27.04,24.58,22.38,-0.042,11.524,-0.098,14.12,7.1,-0.214,-0.154,-0.2,-0.6,360.7,0,0,36.15,40.324,37.698,-0.962,-0.184,12.72,12.1,46.94,33.76,-0.002,0,0,-0.006,0,-0.012,4.076,0.042,482.112,0,-29.16,-4.448,-15.672,30.3,33.076,104.814,100.456,105.454,122.988,173.22,171.7,-0.636,0,-20.616,285.168,-49.7,-2.38,6.944,-3.14,-0.788,-0.16,14.14,0,-0.748,-0.582,11.216,21.606,0.186,18.858,-1,-0.09,34.74,27.24,25.5,24.22,729.84,-0.04,41.694,51.368,656.02,7.318,0,-0.484,-0.004,11.138,21.098,-0.8,7.726,0,0,19.8,0,415,434,0,410.4,413.8,-0.02,4.57,134.578,95.526,-1.02,-1.112,-2.4,1.24,1.548,0,0,9.34,339.5,-4.2,0,-44.92,475.8,-1.702,-0.35,0,0,-1.422,-1.082,-1.77,-3.326,684,-0.506,45.294,36.168,595.28,591.1,0,0,8.022,638.2,413.4,423,415.1,0,-0.326,-0.15,-0.386,2.01,-1,-0.5,-0.4,4.52,19.816,20.726,127.112,159.616,626.208,-2.168,-31.248,-3.16,6.23,0,0,0,0,0,0,0,331.602,0,-2.716,-0.142,-0.384,57.828,48.848,3.562,6.662,5.642,27.22,51.61,4.004,30.96,38.738,72.95,25.84,108.382
8,1.52,2.258,7.092,10.98,12.084,1.11,8.22,0.234,3.604,2.684,2.206,1.882,-0.416,-0.57,5.41,8.604,9.398,9.654,-52.952,55.15,418.8,417.2,17.92,210.6,0.08,15.06,16.316,0,229.824,0,236.628,-4.41,-1.886,3.91,-0.198,-0.006,-0.288,13.838,0.682,8.988,-3.92,0,0,0,0,0,55.554,42.068,45.21,46.976,0,-2.7,0,0,-1.3,0,-1.4,0,2.028,3.68,1.682,6.716,0,0,0,625.16,604.92,589.66,0,0,0,5.34,0.346,144.548,154.388,-0.026,368.064,0,0,0,3.734,36.16,7.214,-0.002,-0.002,-0.854,-71.694,-71.692,-0.04,-0.02,0,-2.1,-153.8,-1.064,3.382,22.886,29.54,26.6,25.18,-0.042,12.346,-0.096,13.38,6.86,-0.134,-0.156,-0.2,-0.6,360.4,0,0,36.674,41.498,37.446,-1.086,-0.562,17,17.62,49.34,33.16,-0.002,0,0,-0.004,0,-0.01,5.94,0.206,482.568,0,-29.024,-4.368,-15.608,32.08,34.236,120.714,96.996,100.354,141.408,185.558,151.12,-0.64,0,-20.216,284.976,-49.28,-2.35,5.866,-3.04,-0.792,-0.16,17.98,0,-0.748,-0.582,5.11,21.866,0.13,19.204,-1.2,-0.1,25.86,18.98,18.9,17.44,730.02,-0.02,37.658,47.302,524.22,6.47,0,-0.436,-0.004,20.018,13.138,-0.6,6.824,0,0,14.15,0,413.6,434,0,410.8,414,-0.03,6.66,134.878,103.166,-1.192,-0.896,-2.2,1.67,4.398,0,0,12.858,339.6,-4.2,0,-45.34,476.2,-1.7,-0.348,0,0,-1.416,-1.092,-1.758,-3.336,621,-0.51,55.384,42.014,595.74,591.7,0,0,15.43,576.4,413.2,423.6,415.5,0,-0.622,-0.438,-0.54,0.588,-0.8,-0.6,-0.4,4.896,12.928,14.496,119.472,155.036,625.104,-2.176,-31.088,-3.16,6.64,0,0,0,0,0,0,0,311.7,0,-2.688,0.24,0.288,57.428,46.948,5.798,8.956,4.6,27.24,52.47,6.746,25.182,42.998,76.832,22.96,94.602
9,2.62,0.042,7.24,15.26,15.988,0.792,6.62,-0.138,2.676,2.966,1.176,0.914,-0.41,-0.884,7.274,6.068,8.01,9.278,-53.078,57.87,418.6,417.2,17.82,390.78,-0.058,16.18,20.758,0,318.15,0,312.354,-4.536,-1.948,4.94,0.062,-0.004,-0.232,17.248,0.992,12.28,-3.92,0,0,0,0,0,55.17,45.146,45.43,48,0,-2.6,0,0,-1.3,0,-1.5,0,1.49,3.62,2.032,7.208,0,0,0,625.06,605.28,590.08,0,0,0,5.68,-0.352,127.028,135.088,0.034,404.352,0,0,0,4.192,27.68,7.208,-0.002,-0.002,-0.866,-71.854,-71.852,-0.02,-0.04,0,-1.8,-154.8,-0.928,4.102,22.944,27.9,27.84,27.38,-0.042,17.45,-0.102,14.2,7.08,0.294,-0.074,-0.2,-0.6,409.8,0,0,39.042,36.978,39.564,-1.09,-0.996,17.22,20.18,47.66,37.78,-0.002,0,0,-0.004,0,-0.01,5.558,-0.148,482.84,0,-29.16,-4.352,-15.616,34.326,37.776,102.334,99.456,104.334,126.884,175.714,141.58,1.428,0,-19.984,284.998,-50.72,-2.35,5.268,-3.04,-0.794,-0.16,25.53,0,-0.75,-0.586,2.008,31.422,0.122,24.83,-0.8,-0.1,27.08,19.52,21.9,20.78,730.22,-0.02,34.686,44.5,513.26,7.112,0,-0.386,-0.004,19.718,12.238,-0.6,4.096,0,0,16.33,0,413.8,433.8,0,410.4,413.8,-0.02,6.15,133.018,83.786,-1.174,-0.774,-2.2,3.122,6.324,0,0,12.7,339.6,-4.2,0,-45.74,478.2,-1.698,-0.346,0,0,-1.422,-1.098,-1.774,-3.348,717.8,-0.508,41.458,34.902,595.32,591.46,0,0,15.556,717.4,413.2,423.8,415.2,0,-0.638,-0.556,-0.636,0.37,-1,-0.5,-0.4,3.308,9.754,10.588,119.492,150.516,626.368,-2.184,-31.192,-3.19,7.326,0,0,0,0,0,0,0,389.28,0,-3.57,-0.28,-0.03,65.888,51.488,7.914,9.578,0.806,22.74,50.47,8.29,26.578,44.938,92.45,26.76,96.202
10,3.42,0.748,5.746,15.24,17.494,0.346,7.94,-0.094,2.096,2.958,2.838,3.664,-0.416,-0.87,6.152,8.446,9.978,9.116,-53.314,62.67,418.6,417,17.92,410.22,-0.134,18.16,24.398,0,331.128,0,329.742,-4.536,-1.87,4.378,-0.194,-0.004,-0.292,14.944,0.896,20.54,-3.9,0,0,0,0,0,48.28,40.654,38.188,41.298,0,-2.6,0,0,-1.4,0,-1.4,0,1.638,2.28,1.23,15.616,0,0,0,622.38,604.94,589.84,0,0,0,4.38,-0.616,136.148,147.348,0.1,404.784,0,0,0,4.636,26,7.212,-0.002,-0.002,-1.36,-71.514,-71.552,-0.04,-0.02,2.924,-1.9,-152.4,-0.918,3.676,20.928,24.84,26.06,30.52,-0.042,17.378,-0.098,18.02,8.58,0.304,-0.11,-0.2,-0.6,414.1,0,0,42.75,37.634,39.758,-1.096,-1.01,20.78,20.4,48.16,42.98,-0.002,0,0,-0.004,0,-0.01,2.672,-0.08,482.128,0,-29.024,-4.344,-15.576,34.504,38.196,102.214,75.236,86.214,121.81,152.622,139.1,12.14,0,-19.784,285.208,-51.16,-2.33,5.646,-3.04,-0.792,-0.16,34.23,0,-0.746,-0.584,3.326,38.812,0.136,24.654,-1,-0.09,20.92,15.64,16.56,15.88,729.84,-0.04,32.65,41.12,433.6,6.79,0,-0.366,-0.004,14.198,12.458,-0.6,1.472,0,0,15.12,0,413.8,433.2,0,409.6,413.6,-0.02,6.11,131.578,89.186,-0.998,-0.824,-2.2,3.696,5.41,0,0,12.186,339.5,-4.1,0,-45.82,493.8,-1.698,-0.366,0,0,-1.428,-1.082,-1.78,-3.328,730.8,-0.504,35.912,28.218,595.74,591.88,0,0,13.988,708.6,413.2,422.6,415.8,0,-0.688,-0.756,-0.654,0.51,-1,-0.6,-0.4,3.688,9.182,10.352,112.092,138.736,627.576,-2.176,-31.264,-3.15,6.338,0,0,0,0,0,0,0,368.11,0,-8.17,0.23,0.27,72.408,54.688,8.672,6.34,0.874,23.98,52.34,6.228,31.214,40.338,112.292,26.72,93.982
