bmUnit,settlementPeriod,settlementRunType,quantity,average_MW
T_ABRBO-1,1,DF,-0.49,-0.98
T_BDCHW-1,1,DF,-0.111,-0.222
T_BEATO-1,1,DF,-1.2850000000000001,-2.5700000000000003
T_BEATO-2,1,DF,-1.297,-2.594
T_BEATO-3,1,DF,-1.6520000000000001,-3.3040000000000003
T_BEATO-4,1,DF,-1.682,-3.364
T_BEINW-1,1,DF,-0.20800000000000002,-0.41600000000000004
T_BHLAW-1,1,DF,-0.217,-0.434
T_BPGRD-1,1,DF,-22.89,-45.78
T_CARR-1,1,DF,-1.9,-3.8
T_CARR-2,1,DF,-2.6,-5.2
T_CNQPS-1,1,DF,-2.7720000000000002,-5.5440000000000005
T_CNQPS-3,1,DF,-2.142,-4.284
T_CNQPS-4,1,DF,-1.953,-3.906
T_COSO-1,1,DF,-0.901,-1.802
T_CREAW-1,1,DF,-0.23900000000000002,-0.47800000000000004
T_CRGHD-1,1,DF,-0.003,-0.006
T_CRYRW-3,1,DF,-0.088,-0.176
T_DAMC-1,1,DF,-1.9849999999999999,-3.9699999999999998
T_DDGNO-1,1,DF,-0.6980000000000001,-1.3960000000000001
T_DDGNO-2,1,DF,-0.596,-1.192
T_DDGNO-3,1,DF,-0.635,-1.27
T_DDGNO-4,1,DF,-0.65,-1.3
T_DIDCB6,1,DF,-0.2,-0.4
T_DINO-3,1,DF,-0.55,-1.1
T_DINO-5,1,DF,-0.7000000000000001,-1.4000000000000001
T_DUNGW-1,1,DF,-0.315,-0.63
T_EDINW-1,1,DF,-0.035,-0.07
T_FASN-1,1,DF,-0.003,-0.006
T_FASN-2,1,DF,-0.001,-0.002
T_FERGD-1,1,DF,-0.34,-0.68
T_FERGD-2,1,DF,-0.805,-1.61
T_FFES-1,1,DF,-0.011,-0.022
T_FFES-2,1,DF,-0.291,-0.582
T_FFES-3,1,DF,-0.02,-0.04
T_FFES-4,1,DF,-0.02,-0.04
T_FOYE-2,1,DF,-0.9,-1.8
T_FOYED-1,1,DF,-0.791,-1.582
T_GLNDO-1,1,DF,-0.021,-0.042
T_GORDW-1,1,DF,-0.068,-0.136
T_GORDW-2,1,DF,-0.075,-0.15
T_GRAI-7,1,DF,-1.1,-2.2
T_GRIFW-1,1,DF,-0.577,-1.154
T_GRIFW-2,1,DF,-0.5650000000000001,-1.1300000000000001
T_GYMRD-16,1,DF,-0.001,-0.002
T_GYMRD-E11,1,DF,-0.001,-0.002
T_GYMRD-W11,1,DF,-0.002,-0.004
T_HALSW-1,1,DF,-0.122,-0.244
T_HEYM2-D,1,DF,-17.756,-35.512
T_HMGTO-1,1,DF,-0.466,-0.932
T_HMGTO-2,1,DF,-0.5680000000000001,-1.1360000000000001
T_HOWBO-2,1,DF,-2.385,-4.77
T_HOWBO-3,1,DF,-2.292,-4.584
T_HUMRD-1,1,DF,-19.86,-39.72
T_INDQ-1,1,DF,-1.06,-2.12
T_KEAD-1,1,DF,-0.915,-1.83
T_KEADGT-3,1,DF,-0.085,-0.17
T_KILLPG-1,1,DF,-0.383,-0.766
T_KILLPG-2,1,DF,-0.272,-0.544
T_LAGA-1,1,DF,-0.5,-1.0
T_LARKS-1,1,DF,-0.05,-0.1
T_LBAR-1G,1,DF,-0.02,-0.04
T_LNCSW-1,1,DF,-0.34700000000000003,-0.6940000000000001
T_LNCSW-2,1,DF,-0.5730000000000001,-1.1460000000000001
T_MEDP-1,1,DF,-1.7189999999999999,-3.4379999999999997
T_MOWEO-1,1,DF,-0.002,-0.004
T_MOWEO-2,1,DF,-1.146,-2.292
T_MOWEO-3,1,DF,-0.75,-1.5
T_MRWD-1,1,DF,-0.3,-0.6
T_PEMB-51,1,DF,-1.9,-3.8
T_PNYCB-1,1,DF,-0.015,-0.03
T_RCBKO-1,1,DF,-1.302,-2.604
T_SCCL-4,1,DF,-20.03,-40.06
T_SEAB-2,1,DF,-1.642,-3.284
T_SEEL-1,1,DF,-0.182,-0.364
T_SHBA-1,1,DF,-1.911,-3.822
T_SHBA-2,1,DF,-0.261,-0.522
T_SHRSW-2,1,DF,-0.209,-0.418
T_STAY-1,1,DF,-0.3,-0.6
T_STAY-2,1,DF,-1.0,-2.0
T_STAY-3,1,DF,-0.9500000000000001,-1.9000000000000001
T_STLGW-1,1,DF,-0.369,-0.738
T_STLGW-2,1,DF,-0.395,-0.79
T_STLGW-3,1,DF,-0.366,-0.732
T_STRNW-1,1,DF,-0.193,-0.386
T_SUTB-1,1,DF,-0.4,-0.8
T_SVRP-10,1,DF,-0.25,-0.5
T_SVRP-20,1,DF,-0.2,-0.4
T_TKNEW-1,1,DF,-1.5670000000000002,-3.1340000000000003
T_TKNWW-1,1,DF,-1.4140000000000001,-2.8280000000000003
T_TORN-D,1,DF,-27.16,-54.32
