settlementPeriod,T_ABRBO-1,T_ACHRW-1,T_AFTOW-1,T_AKGLW-2,T_AKGLW-3,T_ANSUW-1,T_ARCHW-1,T_BDCHW-1,T_BEATO-1,T_BEATO-2,T_BEATO-3,T_BEATO-4,T_BEINW-1,T_BHLAW-1,T_BLKWW-1,T_BLLA-1,T_BLLA-2,T_BOWLW-1,T_BPGRD-1,T_BRBEO-1,T_CARR-1,T_CARR-2,T_CASKD-1,T_CDCL-1,T_CGTHW-1,T_CLDCW-1,T_CLDNW-1,T_CLDSW-1,T_CNQPS-1,T_CNQPS-2,T_CNQPS-3,T_CNQPS-4,T_COSO-1,T_COUWW-1,T_CREAW-1,T_CRGHD-1,T_CRGHW-1,T_CRYRW-2,T_CRYRW-3,T_DALQW-1,T_DAMC-1,T_DDGNO-1,T_DDGNO-2,T_DDGNO-3,T_DDGNO-4,T_DIDCB5,T_DIDCB6,T_DINO-1,T_DINO-2,T_DINO-3,T_DINO-4,T_DINO-5,T_DINO-6,T_DNLWW-1,T_DOREW-1,T_DOREW-2,T_DOUGW-1,T_DRAXX-1,T_DRAXX-10G,T_DRAXX-12G,T_DRAXX-2,T_DRAXX-3,T_DRAXX-4,T_DRAXX-5,T_DRAXX-6,T_DRAXX-9G,T_DRSLW-1,T_DUNGW-1,T_EAAO-1,T_EAAO-2,T_EDINW-1,T_EECL-1,T_ERRO-1,T_ERRO-2,T_ERRO-3,T_EWHLW-1,T_FALGW-1,T_FASN-1,T_FASN-2,T_FFES-1,T_FFES-2,T_FFES-3,T_FFES-4,T_FINL-1,T_FOYE-1,T_FOYE-2,T_FOYED-1,T_FSDLW-1,T_GANW-11,T_GANW-13,T_GANW-22,T_GANW-24,T_GLNDO-1,T_GLWSW-1,T_GNAPW-1,T_GNFSW-1,T_GNFSW-2,T_GORDW-1,T_GORDW-2,T_GRAI-6,T_GRAI-7,T_GRAI-8,T_GRAI1G,T_GRAI4G,T_GRGBW-1,T_GRGBW-2,T_GRGBW-3,T_GRIFW-1,T_GRIFW-2,T_GYMR-15,T_GYMR-17,T_GYMR-26,T_GYMR-28,T_GYMRD-16,T_GYMRD-2,T_GYMRD-E10,T_GYMRD-E11,T_GYMRD-W10,T_GYMRD-W11,T_HADHW-1,T_HALSW-1,T_HEYM11,T_HEYM12,T_HEYM2-D,T_HEYM27,T_HEYM28,T_HMGTO-1,T_HMGTO-2,T_HOWAO-1,T_HOWAO-2,T_HOWAO-3,T_HOWBO-1,T_HOWBO-2,T_HOWBO-3,T_HRSTW-1,T_HRTL-1,T_HRTL-2,T_HUMR-1,T_HUMRD-1,T_INDQ-1,T_JGPR-1,T_KEAD-1,T_KEAD-2,T_KEADGT-3,T_KENNW-1,T_KILBW-1,T_KILLPG-1,T_KILLPG-2,T_KLGLW-1,T_KPMRW-1,T_KTHLW-1,T_KYPEW-1,T_LAGA-1,T_LARKS-1,T_LARYW-1,T_LARYW-2,T_LARYW-3,T_LARYW-4,T_LBAR-1,T_LBAR-1G,T_LNCSW-1,T_LNCSW-2,T_MEDP-1,T_MIDMW-1,T_MILWW-1,T_MKHLW-1,T_MOWEO-1,T_MOWEO-2,T_MOWEO-3,T_MRWD-1,T_MYGPW-1,T_NANT-1,T_OMNDW-1,T_PEHE-1,T_PEMB-11,T_PEMB-21,T_PEMB-31,T_PEMB-41,T_PEMB-51,T_PNYCB-1,T_PNYCW-1,T_RCBKO-1,T_RCBKO-2,T_RMPNO-1,T_RMPNO-2,T_ROCK-1,T_RREW-1,T_RRWW-1,T_RYHPS-1,T_SAKNW-1,T_SANQW-1,T_SCCL-1,T_SCCL-2,T_SCCL-3,T_SCCL-4,T_SEAB-1,T_SEAB-2,T_SEEL-1,T_SGRWO-1,T_SGRWO-2,T_SGRWO-3,T_SGRWO-4,T_SGRWO-5,T_SGRWO-6,T_SHBA-1,T_SHBA-2,T_SHRSW-1,T_SHRSW-2,T_SIZB-1,T_SIZB-2,T_SLOY-2,T_SLOY-3,T_SOKYW-1,T_SPLN-1,T_STAY-1,T_STAY-2,T_STAY-3,T_STAY-4,T_STLGW-1,T_STLGW-2,T_STLGW-3,T_STRNW-1,T_SUTB-1,T_SVRP-10,T_SVRP-20,T_TDBNW-1,T_THNTO-1,T_THNTO-2,T_TKNEW-1,T_TKNWW-1,T_TORN-1,T_TORN-2,T_TORN-D,T_TSREP-1,T_TWSHW-1,T_USKM-13,T_WBUGT-1,T_WBUGT-4,T_WBUPS-1,T_WBUPS-2,T_WBUPS-3,T_WBUPS-4,T_WBURB-1,T_WBURB-2,T_WBURB-3,T_WBURB-41,T_WBURB-43,T_WDNSO-1,T_WDNSO-2,T_WDRGW-1,T_WHIHW-1,T_WHILW-1,T_WHILW-2,T_WILCT-1,T_WISTW-2,T_WLNYO-2,T_WLNYO-3,T_WLNYO-4,T_WLNYW-1,T_WTMSO-1
1,70.9,11.696,6.33,29.48,18.634,6.682,4.54,-0.166,114.906,123.636,163.922,164.818,49.202,21.962,8.192,34.342,26.972,30.802,-72.32,6.07,436.2,437,13.24,430.38,45.79,21.58,38.218,12.5,224.91,-5.166,340.326,0,-2.154,14.446,27.374,-0.008,36.018,37.498,6.602,9.87,-4.14,18.36,12.908,15.018,15.096,730.4,456.4,-1.5,-265.9,-293.7,0,-18.9,-276.8,8.252,-0.456,-0.386,11.104,0,0,0,644.24,644.76,497.94,0,0,0,9.484,78.31,-2.842,-2.992,31,438.334,0,0,0,9.932,72.64,-0.008,-0.002,-73.634,-73.472,-1.62,-74.26,16.318,0,0,-0.144,10.772,-0.614,-0.64,-0.56,-0.6,98.692,18.964,0,-0.624,-0.492,24.668,0.01,418.7,0,441.9,0,0,-1.932,-1.734,-1.944,28.024,39.966,4.9,6.5,15.16,7.4,-0.002,0,0,-0.006,0,-0.006,8.22,-0.234,501.096,-14.56,-39.32,646.696,0,38.894,23.596,142.292,141.66,138.952,94.114,160.358,128.242,8.122,588.216,588.8,420.998,-56.37,-2.38,5.678,-5.04,873.06,-0.16,16.8,27.288,-0.914,-0.586,37.51,40.47,0.928,0,-1.4,0,-2.042,-1.658,-1.694,-1.658,730.1,-0.1,28.854,29.452,698.36,10.382,52.78,-0.02,32.696,247.38,275.116,850.4,1.992,14.69,31.36,0,436.8,448.6,435.2,432,439.2,-0.56,-2.48,93.478,69.826,0.36,1.298,-3,18.072,26.22,-2.678,4.57,4.178,368.4,309.6,-2.5,-62.84,-3.54,-1.628,-0.282,0,0,67.732,0,49.086,97.31,800.4,536.8,20.054,21.924,599.94,600.98,0,0,2.928,801.1,-0.8,-1,-1.5,-0.7,70.354,73.596,64.408,12.89,-0.6,-0.8,-0.5,11.606,-0.002,-0.002,119.772,119.512,630.56,644.704,-55.08,-1.996,0.626,0,0,0,0,0,0,0,299.62,346.5,345.76,-1,-0.66,114.828,83.928,5.354,1.87,91.422,52.34,44.89,9.26,77.128,139.988,166.434,57.4,71.102
2,74.74,19.33,4.516,43.5,37.438,6.856,3.04,-0.172,115.812,123.3,157.108,164.28,47.642,21.966,6.226,42.506,32.312,25.916,-72.462,10.51,435.8,436.6,12.9,429.48,56.002,23.38,39.136,12.7,226.422,-5.292,341.838,0,-2.252,16.712,29.54,-0.008,41.07,63.168,9.812,9.252,-4.14,21.208,15.688,17.772,17.198,729.4,522.6,-1.4,-274,-221.7,0,-278.2,-275.1,4.532,-0.464,-0.382,8.574,0,0,0,644.06,644.76,401,0,0,0,7.8,78.35,-2.88,-3.036,26.36,437.758,0,0,0,8.798,79.72,-0.008,-0.002,-73.434,-73.292,-1.62,-74.06,16.318,0,-0.8,-1.086,13.776,-0.636,-0.62,-0.58,-0.58,98.706,18.784,0,-0.606,-0.472,33.884,0.01,418.3,0,442,0,0,-1.92,-1.736,-1.936,29.324,49.428,6.12,5.56,4.22,3.3,-0.002,0,0,-0.006,0,-0.006,7.18,-0.24,500.92,-14.544,-39.328,648.096,0,33.434,21.376,180.672,176.68,140.49,118.96,186.358,154.42,3.634,588.272,588.624,642.272,-58.348,-2.36,4.828,-4.64,871.86,-0.16,24.02,42.106,-0.922,-0.59,34.746,28.454,0.638,0,-1.8,0,-2.05,-1.652,-1.758,-1.638,729.7,-0.1,28.636,25.712,706.2,12.522,41.74,-0.15,32.676,198.64,261.176,880,1.634,14.718,38.52,0,436.8,448.2,435.4,432,438.6,0.04,-1.87,93.038,74.288,-0.362,-0.19,-2.8,19.324,29.74,-2.792,6.614,8.7,357.2,387.8,-2.5,-62.66,-3.304,-1.63,-0.288,0,0,67.886,0,49.108,97.982,798.6,537.2,21.644,21.112,600.92,600.56,0,0,2.286,800.2,-0.9,-0.8,-1.6,-0.7,67.024,73.564,63.65,12.91,-0.8,-0.8,-0.6,9.146,-0.002,-0.002,119.13,113.93,630.712,643.624,-55.192,-1.986,0.988,0,0,0,0,0,0,0,320.856,363.54,370.618,-0.136,-0.078,100.048,83.808,7.094,3.454,105.216,59.52,43.75,7.888,92.786,162.088,204.834,67.98,48.202
3,80.94,24.566,5.234,46.98,39.642,9.192,2.76,-0.168,115.792,123.98,164.948,164.87,43.93,21.966,7.508,30.884,27.626,24.214,-72.422,24.29,436,436.8,14.22,429.12,55.238,24.98,40.758,10.88,333.9,-5.166,342.594,0,-2.15,18.116,32.92,-0.008,41.272,76.42,10.32,9.35,-4.13,22.388,17.478,18.378,18.728,728.2,458.8,-1.4,-271.7,-220.2,0,-275.7,-272.7,6.59,-0.46,-0.384,10.138,0,0,0,642.66,644.36,405.142,0,0,0,7.506,78.33,-2.894,-3.052,29.04,438.334,0,0,0,7.554,63.6,-0.008,-0.002,-73.134,-72.992,-1.62,-73.76,16.33,0,-13.4,-0.546,12.76,-0.612,-0.64,-0.58,-0.58,98.682,18.488,0,-0.6,-0.472,38.05,0.01,422.9,0,442,0,0,-1.888,-1.73,-1.922,56.78,79.366,6.04,6.3,6.66,4.32,-0.002,0,0,-0.006,0,-0.004,9.02,-0.24,500.496,-14.512,-39.632,647.712,0,32.374,21.916,188.392,189.72,153.912,130.234,200.024,175.164,4.362,588.12,588.656,760.07,-58.694,-2.34,5.528,-4.74,872.16,-0.16,18.87,49.38,-0.918,-0.592,36.406,36.378,0.744,0,-1.4,0,-1.992,-1.622,-1.678,-1.644,730.52,-0.12,27.368,22.162,709.68,10.48,47.52,0.09,32.696,113.28,277.836,864.6,1.88,14.71,40.94,0,436.8,448,434.6,432.2,438.6,0.04,1.57,100.838,76.506,-0.74,-0.578,-3,13.23,21.174,-2.762,11.374,8.968,380.8,388.3,-2.5,-62.8,-3.176,-1.526,-0.294,0,0,67.852,0,49.1,97.966,798.8,536,23.398,27.788,600.48,600.76,0,0,3.218,776.2,-0.8,-0.8,-1.5,-0.7,68.922,71.694,60.396,12.908,-0.8,-0.7,-0.5,11.39,-0.002,-0.002,120.092,117.416,630.712,643.808,-55.216,-1.996,6.634,0,0,0,0,0,0,0,149.724,288.1,270.214,-0.764,-0.434,102.768,109.728,6.558,6.114,102.334,63.84,44.47,8.474,102.71,185.848,224.194,83.64,46.742
4,58.1,21.928,9.196,48.46,40.426,11.978,4.5,-0.178,115.706,123.934,164.316,161.85,45.982,21.956,4.124,31.552,24.84,21.34,-71.74,18.15,436.4,437,12.9,428.76,50.962,28.96,40.356,21.9,343.98,-5.166,342.342,0,-2.546,14.278,36.806,-0.008,33.318,63.188,9.512,11.48,-4.13,23.87,19.9,21.73,19.988,729.2,472.2,-1.4,-268.4,-263.4,0,-272.5,-269.2,7.576,-0.464,-0.386,11.424,0,0,0,644.88,644.24,416.044,0,0,0,7.488,78.25,-2.928,-3.078,26.94,438.478,0,0,0,7.868,56.3,-0.008,-0.002,-72.694,-72.572,-1.62,-73.3,16.344,0,-153.6,-0.614,11.174,-0.616,-0.64,-0.58,-0.58,98.694,18.43,0,-0.606,-0.476,50.928,0.01,426.5,0,441.9,0,0,-1.924,-1.728,-1.946,69.64,81.408,4.7,5.28,8.82,5.96,-0.002,0,0,-0.006,0,-0.006,6.94,-0.244,500.648,-14.528,-40.288,647.92,0,32.654,20.856,198.512,212.24,173.832,137.206,184.566,166.736,6.664,588.008,588.136,665.172,-58.796,-2.33,5.926,-4.74,871.34,-0.16,17.95,46.246,-0.916,-0.586,37.346,48.28,1.148,0,-1.4,0,-1.968,-1.614,-1.67,-1.626,730.1,-0.1,17.966,16.476,709.9,9.216,48.78,0.64,32.676,99.2,271.256,760.6,1.51,14.682,42.88,0,435.6,448.4,436,432,438.8,0.09,13.84,92.798,76.666,-1.2,-0.548,-2.8,16.176,26.148,-2.74,14.586,8.924,355.5,335.4,-2.5,-63.18,-3.164,-1.478,-0.288,0,0,67.888,0,49.114,98.012,799.6,536.2,21.634,34.038,601.36,600.78,0,0,1.746,775.9,-0.9,-0.8,-1.4,-0.8,68.452,68.062,53.626,12.908,-0.8,-0.8,-0.5,12.494,-0.002,-0.002,120.632,118.07,631.032,642.512,-55.12,-1.984,5.73,0,0,0,0,0,0,0,149.352,250.32,195.332,0.188,0.088,114.528,106.888,6.476,6.694,97.634,72.82,43.99,7.816,97.262,192.268,225.134,85.32,65.562
5,74.34,23.324,14.386,46.16,44.058,13.01,5.62,-0.182,115.828,123.952,163.858,163.664,81.606,21.97,2.39,50.804,30.682,24.11,-71.518,19.912,436.6,437,12.8,428.94,50.782,27.74,40.41,20.66,344.106,-5.166,341.964,0,-2.142,11.668,36.084,-0.008,36.266,36.68,5.32,15.416,-4.15,21.066,18.296,19.588,16.996,728.2,563.8,-1.6,-266.2,-142.1,0,-270.1,-266.8,7.728,-0.456,-0.382,11.218,0,0,0,644.88,644.82,424.636,0,0,0,8.114,78.17,-2.788,-3.076,23.38,439.344,0,0,0,4.63,70.1,-0.008,-0.002,-72.392,-72.25,-1.6,-73.02,16.354,0,-153.1,-0.624,15.088,-0.616,-0.64,-0.56,-0.58,98.748,15.28,0,-0.618,-0.472,60.692,0.01,426.8,0,441.9,0,0,-1.91,-1.72,-1.934,71.016,75.91,4.14,5.18,13.14,11.66,-0.002,0,0,-0.006,0,-0.006,7.18,-0.258,500.824,-14.456,-40.28,649.912,0,38.614,25.216,182.752,218.22,185.392,145.482,180.45,171.094,3.218,588.44,587.816,625.014,-59.016,-2.34,6.006,-5.24,872.88,-0.16,19.62,48.984,-0.914,-0.586,31.376,52.58,1.312,0,-1.8,0,-1.968,-1.618,-1.682,-1.638,729.9,-0.1,15.99,14.424,709.6,7.032,54.02,-0.008,32.696,99.24,271.296,822.8,0.98,14.708,42.52,0,435.8,448.2,435.2,431.6,438.4,0.13,33.08,86.318,79.608,-1.346,-1.218,-2.8,18.144,32.776,-2.83,13.554,11.712,301.6,301.3,-2.6,-62.76,-3.178,-1.476,-0.28,0,0,67.878,0,49.096,98.004,799.2,535.8,16.608,20.818,600.98,600.68,0,0,1.902,775.9,-0.8,-0.9,-1.6,-0.7,66.472,70.998,57.644,12.908,-0.6,-0.8,-0.5,11.986,-0.002,-0.002,116.452,126.692,630.68,643.368,-54.96,-2.004,9.408,0,0,0,0,0,0,0,149.324,221.42,200.62,0.656,0.46,110.768,97.188,7.308,5.204,106.874,67.98,44.39,6.228,99.192,178.088,227.694,78.08,55.162
6,83.86,22.028,8.676,41.04,41.462,13.33,4.26,-0.196,115.806,124.006,164.466,164.798,78.45,21.962,3.588,37.684,23.62,29.106,-72.272,18.814,436,437,13.24,428.94,51.68,36.22,57.254,16.22,344.106,-5.418,341.838,0,-2.246,16.688,37.232,-0.008,37.25,31.266,5.194,21.324,-4.17,18.314,18.466,16.92,16.382,729.2,603.6,-1.5,-269.1,-165.6,0,-273.1,-269.7,7.662,-0.458,-0.38,16.766,0,0,0,640.1,644.74,400.538,0,0,0,8.78,77.612,-2.778,-2.958,26.66,439.198,0,0,0,6.436,81.4,-0.006,-0.002,-72.952,-72.81,-1.6,-73.58,16.312,0,-154.7,-0.616,14.516,-0.612,-0.62,-0.58,-0.58,98.682,21.926,0,-0.626,-0.486,63.648,0.01,419.4,0,441.9,0,0,-1.908,-1.696,-1.938,46.966,52.218,6.62,8.82,17.26,14.1,-0.002,0,0,-0.006,0,-0.006,7.38,-0.264,501.504,-14.52,-40.584,652.672,-0.24,34.814,22.676,190.652,214.44,207.012,144.504,184.414,179.656,5.65,588.592,588.024,624.772,-59.43,-2.38,5.446,-4.74,869.9,-0.16,32.07,47.444,-0.912,-0.582,35,40.724,1.276,0,-1.4,0,-1.98,-1.644,-1.69,-1.634,730.3,-0.1,16.738,13.45,709.66,14.566,59.72,-0.194,32.696,99.24,277.036,680.4,1.404,14.602,40.3,0,435.8,447.4,435.2,431.4,437.6,-0.18,28.27,67.138,58.126,-1.598,-1.642,-3.4,17.99,32.252,-2.738,16.93,14.252,311.4,311.8,-2.6,-63.32,-3.184,-1.49,-0.28,0,0,67.866,0,49.114,97.534,797.6,535.2,19.568,17.31,601.08,600.84,0,0,3.334,787.3,-0.9,-0.8,-1.5,-0.8,69.394,72.97,60.432,12.93,-0.8,-0.8,-0.5,10.696,-0.002,-0.002,114.392,129.656,632.336,643.568,-55.288,-1.994,7.366,0,0,0,0,0,0,0,149.2,213.18,179.158,-0.22,-0.278,104.228,99.448,8.082,11.152,106.426,69.18,44.52,6.688,91.062,168.228,207.574,74.1,51.502
7,81.96,16.934,9.974,26.56,24.614,12.548,6.6,-0.202,115.864,124.02,165.032,165.204,70.76,21.978,7.308,32.796,24.59,25.576,-72.1,21.15,436.2,436.8,12.8,428.94,51.118,56.1,79.69,14.3,344.232,-5.292,341.586,0,-2.24,18.414,36.308,-0.008,41.072,50.32,8.38,23.664,-4.16,19.708,17.312,16.662,16.702,728.2,514.8,-1.4,-266.6,-180.9,0,-270.7,-267.2,8.66,-0.454,-0.372,15.9,0,0,0,641.6,644.78,404.596,0,0,0,9.832,76.712,-2.42,-2.534,23.54,439.342,0,0,0,5.29,94.64,-0.008,-0.002,-72.652,-72.53,-1.58,-73.28,16.322,0,-154.2,-0.612,14.318,-0.616,-0.62,-0.56,-0.58,98.72,19.748,0,-0.604,-0.488,69.766,0.01,425.1,0,442,0,0,-1.916,-1.726,-1.94,45.842,70.104,9.5,9.88,24.58,17.68,-0.002,0,0,-0.006,0,-0.004,9.6,-0.266,501.432,-14.56,-40.496,651.328,-0.288,38.494,24.476,203.392,231.84,212.632,162.152,186.706,170.224,3.196,587.88,587.568,601.09,-59.286,-2.36,6.186,-4.64,866.98,-0.16,31.39,49.3,-0.918,-0.59,51.77,37.842,1.28,0,-1.8,0,-1.906,-1.548,-1.604,-1.544,730.72,-0.12,15.914,14.416,710.2,17.734,55.6,0.408,32.676,99.24,280.616,884,2.144,14.668,39.97,0,436,447.8,435.2,431.2,437.6,0.04,20.48,52.138,43.608,-1.66,-1.694,-2.8,15.872,33.22,-2.792,20.45,15.546,379.5,388.5,-2.6,-63.4,-3.196,-1.478,-0.284,0,0,67.858,0,49.096,97.94,797.6,534.8,20.946,25.062,601.1,600.4,0,0,5.98,865.7,-0.8,-0.8,-1.5,-0.7,68.7,72.322,59.114,12.95,-0.8,-0.8,-0.5,4.49,-0.002,-0.002,111.132,125.67,632.216,643.392,-55.264,-1.996,8.34,0,0,0,0,0,0,0,218.346,298.42,264.152,-0.666,-0.292,112.448,96.048,10.78,14.194,114.112,61.52,43.57,8.168,84.626,151.388,180.334,69.2,57.422
8,53.14,11.324,11.724,49.74,38.314,10.856,7.66,-0.21,114.83,119.376,162.332,156.988,91.3,21.962,10.578,37.954,27.654,19.012,-72.054,23.35,436.6,437.4,11.8,428.58,44.804,53.02,77.35,14.32,343.98,-5.166,341.082,0,-2.242,15.976,36.35,-0.008,41.764,88.35,11.75,22.122,-4.16,21.486,18.586,17.008,18.044,728.2,445.2,-1.5,-263.9,-282.4,0,-267.9,-264.3,7.488,-0.448,-0.37,19.848,0,0,0,644.76,630.94,407.548,0,0,0,16.774,77.17,-2.468,-2.426,22.52,438.48,0,0,0,4.274,102,-0.006,-0.002,-72.312,-72.21,-1.56,-72.92,16.334,0,-152.5,-0.61,15.766,-0.592,-0.62,-0.58,-0.62,98.714,16.782,0,-0.6,-0.566,70.092,0.012,425.6,0,441.9,0,0,-1.924,-1.722,-1.946,66.01,81.53,17.22,18.24,49.76,34.66,-0.002,0,0,-0.006,0,-0.006,11.62,-0.272,501.472,-14.496,-40.368,653.2,-0.296,43.434,27.236,191.532,234.28,236.292,156.7,205.554,178.332,2.488,588.76,587.816,512.504,-58.984,-2.37,4.94,-4.74,866.72,-0.16,24.4,45.782,-0.916,-0.588,46.544,47.364,1.5,0,-1.4,0,-1.924,-1.57,-1.62,-1.566,730.12,-0.12,14.986,17.186,710.4,16.466,57.36,0.58,32.676,99.24,279.176,884.8,0.332,14.632,31.92,0,435.6,447.8,433.8,431.2,437.8,0.05,17.93,59.078,45.386,-1.682,-1.728,-3,14.506,29.508,-3.548,19.63,12.154,353.4,387.9,-2.7,-63.32,-3.188,-1.48,-0.284,0,0,67.872,0,49.116,98.002,798.6,535.4,18.008,22.568,600.54,601.02,0,0,11.65,866.8,-0.9,-0.8,-1.5,-0.8,67.33,73.002,62.028,12.928,-0.8,-0.8,-0.6,7.552,-0.002,-0.002,110.712,128.234,631.28,643.464,-55.12,-1.996,6.322,0,0,0,0,0,0,0,166.224,225.72,196.104,-0.544,-0.404,107.848,84.908,9.478,9.75,170.57,72.04,44.11,10.796,75.82,122.928,175.674,59.46,53.402
9,37.7,11.242,21.164,54.14,50.178,12.236,12.32,-0.214,64.534,57.518,98.22,79.764,83.954,21.966,10.454,48.304,36.994,20.594,-72.414,29.71,436.8,437.6,12.36,428.94,31.964,47.92,70.174,20.02,344.106,-5.292,340.83,0,-2.334,18.642,34.26,-0.008,42.412,73.442,11.498,21.54,-4.31,21.958,19.638,18.952,19.338,727.4,547.6,-1.5,-262.6,-84.7,0,-266.8,-263,6.548,-0.45,-0.364,14.404,0,0,0,644.14,640.44,408.944,0,0,0,14.044,78.052,-1.806,-1.918,22.58,439.342,0,0,0,3.096,64.06,-0.008,-0.002,-72.152,-72.07,-1.6,-72.78,16.34,0,-2.1,-0.636,20.016,-0.616,-0.62,-0.54,-0.56,98.698,33.134,0,-0.576,-0.402,68.758,0.012,424.6,0,441.9,0,0,-1.922,-1.722,-1.952,62.674,77.37,21.36,22.06,52.02,35.96,-0.002,0,0,-0.006,0,-0.006,18.56,-0.272,501.112,-14.488,-39.304,650.416,-1.44,41.294,28.856,188.112,213.62,237.012,139.896,192.574,168.88,5.356,589.456,587.92,651.606,-58.434,-2.4,4.69,-4.74,865.7,-0.16,23.11,43.788,-0.918,-0.586,87.218,69.814,1.048,0,-1.4,0,-1.952,-1.59,-1.644,-1.596,730.5,-0.1,16.324,20.704,710.16,23.654,52.28,0.76,32.696,100.3,268.716,853.4,0.364,14.646,24,0,434.6,447,435,430.4,437.2,0.05,25.17,59.458,44.628,-1.54,-1.672,-2.8,11.386,23.598,-2.808,18.456,10.792,336.2,384.1,-2.5,-63.18,-4.72,-1.478,-0.278,0,0,60.792,0,49.068,97.974,800,536,16.898,17.576,601.3,600.82,0,0,7.472,866.6,-0.9,-0.9,-1.5,-2.9,68.166,71.034,59.884,12.948,-0.8,-0.8,-0.5,12.35,-0.002,-0.002,101.892,114.512,631.48,643.656,-55.224,-1.986,4.766,0,0,0,0,0,0,0,168.176,349.26,244.27,0.184,-0.05,90.268,70.868,14.298,5.218,181.9,87.64,44.55,12.768,64.742,129.928,157.694,51,64.542
10,50.54,14.146,21.866,58.84,68.834,13.202,8.22,-0.206,26.606,50.664,85.574,79.034,75.698,21.97,9.666,45.344,44.082,17.266,-72.434,23.87,436.6,437.6,11.26,428.94,38.234,34.96,56.55,26.5,344.106,-5.166,339.822,0,-3.16,18.95,35.84,-0.008,42.772,85.866,13.194,23.036,-9.07,16.51,16.462,15.964,15.212,728,700.8,-1.4,-260.2,-278.8,0,-261.2,-260.8,5.208,-0.448,-0.366,23.082,0,0,0,645.36,642.46,432.198,0,0,0,24.28,77.892,0.892,-0.412,20.26,437.47,0,0,0,4.318,69.7,-0.008,-0.002,-71.932,-71.83,-1.54,-72.56,16.34,0,-0.3,-0.23,18.552,-0.616,-0.64,-0.5,-0.56,98.732,29.63,0,2.28,0.538,69.75,0.01,425.3,0,441.8,0,0,-1.926,-1.724,-1.954,80.552,81.028,35.26,31.1,63.44,64.66,-0.002,0,0,-0.006,0,-0.006,22.64,-0.266,501.104,-14.456,-34.184,652.824,-6.496,35.994,24.436,172.692,214.1,214.812,130.388,176.086,159.668,10.686,589.256,588.12,779.308,-56.94,-2.41,5.52,-6.54,865.8,-0.16,41.46,46.358,-0.916,-0.588,99.326,80.772,0.874,0,-1.8,0,-1.964,-1.632,-1.468,-1.452,729.92,-0.12,16.456,20.798,710.24,30.544,54.52,1.4,32.676,103.62,176.076,650,3.612,14.798,21.65,0,435,447,435.2,430.6,437.6,-0.43,30.82,59.378,48.046,-1.492,-1.452,-3,11.866,24.298,-2.774,12.386,11.606,376.2,384.1,-3.9,-63.36,-6.266,-1.478,-0.286,0,0,59.984,0,49.076,98,799.8,536.6,20.826,20.512,600.92,600.62,0,0,6.04,849.3,-0.8,-0.8,-1.5,-1.7,66.656,61.87,46.84,46.508,-0.8,-0.8,-0.6,7.888,-0.002,-0.002,89.092,100.092,631.248,644.024,-55.192,-2.006,3.282,0,0,0,0,0,0,0,156.468,350.18,242.748,-0.408,-0.148,79.428,54.508,17.808,6.326,208.658,105.54,44.09,12.932,66.718,160.226,163.694,39.02,82.682
