settlementPeriod,T_ABRBO-1,T_ACHRW-1,T_AFTOW-1,T_AKGLW-2,T_AKGLW-3,T_ANSUW-1,T_ARCHW-1,T_BDCHW-1,T_BEATO-1,T_BEATO-2,T_BEATO-3,T_BEATO-4,T_BEINW-1,T_BHLAW-1,T_BLKWW-1,T_BLLA-1,T_BLLA-2,T_BOWLW-1,T_BPGRD-1,T_BRBEO-1,T_CARR-1,T_CARR-2,T_CASKD-1,T_CDCL-1,T_CGTHW-1,T_CLDCW-1,T_CLDNW-1,T_CLDSW-1,T_CNQPS-1,T_CNQPS-2,T_CNQPS-3,T_CNQPS-4,T_COSO-1,T_COUWW-1,T_CREAW-1,T_CRGHD-1,T_CRGHW-1,T_CRYRW-2,T_CRYRW-3,T_DALQW-1,T_DAMC-1,T_DDGNO-1,T_DDGNO-2,T_DDGNO-3,T_DDGNO-4,T_DIDCB5,T_DIDCB6,T_DINO-1,T_DINO-2,T_DINO-3,T_DINO-4,T_DINO-5,T_DINO-6,T_DNLWW-1,T_DOREW-1,T_DOREW-2,T_DOUGW-1,T_DRAXX-1,T_DRAXX-10G,T_DRAXX-12G,T_DRAXX-2,T_DRAXX-3,T_DRAXX-4,T_DRAXX-5,T_DRAXX-6,T_DRAXX-9G,T_DRSLW-1,T_DUNGW-1,T_EAAO-1,T_EAAO-2,T_EDINW-1,T_EECL-1,T_ERRO-1,T_ERRO-2,T_ERRO-3,T_EWHLW-1,T_FALGW-1,T_FASN-1,T_FASN-2,T_FFES-1,T_FFES-2,T_FFES-3,T_FFES-4,T_FINL-1,T_FOYE-1,T_FOYE-2,T_FOYED-1,T_FSDLW-1,T_GANW-11,T_GANW-13,T_GANW-22,T_GANW-24,T_GLNDO-1,T_GLWSW-1,T_GNAPW-1,T_GNFSW-1,T_GNFSW-2,T_GORDW-1,T_GORDW-2,T_GRAI-6,T_GRAI-7,T_GRAI-8,T_GRAI1G,T_GRAI4G,T_GRGBW-1,T_GRGBW-2,T_GRGBW-3,T_GRIFW-1,T_GRIFW-2,T_GYMR-15,T_GYMR-17,T_GYMR-26,T_GYMR-28,T_GYMRD-16,T_GYMRD-2,T_GYMRD-E10,T_GYMRD-E11,T_GYMRD-W10,T_GYMRD-W11,T_HADHW-1,T_HALSW-1,T_HEYM11,T_HEYM12,T_HEYM2-D,T_HEYM27,T_HEYM28,T_HMGTO-1,T_HMGTO-2,T_HOWAO-1,T_HOWAO-2,T_HOWAO-3,T_HOWBO-1,T_HOWBO-2,T_HOWBO-3,T_HRSTW-1,T_HRTL-1,T_HRTL-2,T_HUMR-1,T_HUMRD-1,T_INDQ-1,T_JGPR-1,T_KEAD-1,T_KEAD-2,T_KEADGT-3,T_KENNW-1,T_KILBW-1,T_KILLPG-1,T_KILLPG-2,T_KLGLW-1,T_KPMRW-1,T_KTHLW-1,T_KYPEW-1,T_LAGA-1,T_LARKS-1,T_LARYW-1,T_LARYW-2,T_LARYW-3,T_LARYW-4,T_LBAR-1,T_LBAR-1G,T_LNCSW-1,T_LNCSW-2,T_MEDP-1,T_MIDMW-1,T_MILWW-1,T_MKHLW-1,T_MOWEO-1,T_MOWEO-2,T_MOWEO-3,T_MRWD-1,T_MYGPW-1,T_NANT-1,T_OMNDW-1,T_PEHE-1,T_PEMB-11,T_PEMB-21,T_PEMB-31,T_PEMB-41,T_PEMB-51,T_PNYCB-1,T_PNYCW-1,T_RCBKO-1,T_RCBKO-2,T_RMPNO-1,T_RMPNO-2,T_ROCK-1,T_RREW-1,T_RRWW-1,T_RYHPS-1,T_SAKNW-1,T_SANQW-1,T_SCCL-1,T_SCCL-2,T_SCCL-3,T_SCCL-4,T_SEAB-1,T_SEAB-2,T_SEEL-1,T_SGRWO-1,T_SGRWO-2,T_SGRWO-3,T_SGRWO-4,T_SGRWO-5,T_SGRWO-6,T_SHBA-1,T_SHBA-2,T_SHRSW-1,T_SHRSW-2,T_SIZB-1,T_SIZB-2,T_SLOY-2,T_SLOY-3,T_SOKYW-1,T_SPLN-1,T_STAY-1,T_STAY-2,T_STAY-3,T_STAY-4,T_STLGW-1,T_STLGW-2,T_STLGW-3,T_STRNW-1,T_SUTB-1,T_SVRP-10,T_SVRP-20,T_TDBNW-1,T_THNTO-1,T_THNTO-2,T_TKNEW-1,T_TKNWW-1,T_TORN-1,T_TORN-2,T_TORN-D,T_TSREP-1,T_TWSHW-1,T_USKM-13,T_WBUGT-1,T_WBUGT-4,T_WBUPS-1,T_WBUPS-2,T_WBUPS-3,T_WBUPS-4,T_WBURB-1,T_WBURB-2,T_WBURB-3,T_WBURB-41,T_WBURB-43,T_WDNSO-1,T_WDNSO-2,T_WDRGW-1,T_WHIHW-1,T_WHILW-1,T_WHILW-2,T_WILCT-1,T_WISTW-2,T_WLNYO-2,T_WLNYO-3,T_WLNYO-4,T_WLNYW-1,T_WTMSO-1
1,92.44,31.888,10.19,62.28,79.492,7.88,5.5,-0.146,115.864,123.994,165.2,165.24,38.402,34.728,18.242,26.854,21.398,45.418,-67.644,163.196,-4.2,-3.6,26.12,-1.08,16.248,104.02,96.964,112.12,-9.072,-5.166,334.908,0,-2.138,12.558,1.846,-0.01,30.404,130.3,13.5,31.62,-4.68,78.556,65.144,79.22,76.658,-7.7,-2.3,-2,-0.4,-125.2,0,-162.5,-232.6,17.516,-0.558,-0.386,27.302,0,0,0,641.64,641.14,596.684,0,0,0,10.428,69.428,168.996,187.968,16.34,241.486,0,0,0,9.926,140.76,-0.006,-0.002,-73.414,-73.272,-1.64,-74.08,16.324,-153.5,0,-0.64,5.21,49.106,48.66,51.32,40.72,-0.042,34.316,-0.01,31.56,13.82,43.454,0.01,-2.4,0,382.8,0,0,69.564,58.964,71.704,71.678,56.788,97.28,101.56,122.32,112,-0.002,0,0,-0.006,0,-0.004,24.04,-0.24,504.84,400.256,-34.048,650.496,-6.752,100.794,94.836,312.012,301.78,319.612,327.506,363.088,386.248,78.592,583.856,590.184,470.702,-59.374,-2.34,5.846,351.36,-1.368,-0.16,39.84,56.684,-1.072,-0.658,81.126,35.356,1.98,2.046,-1.4,0,64.72,56.98,47.22,51.46,-4.1,-0.1,86,99.492,701.08,31.264,23.06,5.94,298.318,283.74,280.578,708.8,23.12,14.662,93.06,0,-2.3,220.2,-0.7,-0.7,-1.9,-0.02,92.83,219.498,222.788,33.996,28.39,-2.2,27.414,37.462,-4.01,43.35,30.078,310.6,310.4,-2.6,-61.56,-3.902,-1.618,-0.286,0,0,48.774,0,49.21,78.586,-3.254,-1.794,112.028,98.332,601.66,598.72,0,0,13.166,337.7,-0.8,-1.7,-0.9,-0.9,59.658,68.454,65.728,55.228,-0.2,-0.9,-0.7,21.942,52.2,52.2,337.192,346.572,628.232,-18.032,-46.744,-1.864,36.736,0,0,0,0,0,0,0,-2.28,0,-4.944,-0.122,-0.256,156.328,133.928,23.128,25.158,35.538,20.92,-6.77,15.114,149.1,178.868,244.654,143.68,181.122
2,92.66,15.7,8.928,62.24,76.48,3.072,4.258,-0.15,115.744,123.764,165.164,165.132,38.612,21.974,32.086,24.994,20.398,52.314,-68.146,177.33,-2.8,-2.2,23.4,-3.06,13.916,76.98,77.194,90.32,-8.442,-5.04,335.286,0,-2.276,17.094,1.842,-0.01,27.57,125.52,13.42,27.016,-4.16,77.688,62.5,78.97,76.026,-4.7,-2.2,-2.6,-49.4,-243,0,-276.2,-273.1,18.3,-0.56,-0.386,24.054,0,0,0,644.08,642.08,598.752,0,0,0,12.728,65.808,177.702,201.048,16.42,347.328,0,0,0,10.684,141.44,-0.008,-0.002,-73.094,-72.932,-1.62,-73.7,16.336,-139.1,0,-0.654,6.592,47.266,49.04,54.26,50.64,-0.042,30.478,-0.01,39.54,15.32,23.588,0.012,-2.4,0,418.1,0,0,75.182,57.988,75.35,74.604,56.56,120.44,122.94,127.22,113.96,-0.002,0,0,-0.006,0,-0.006,15.92,-0.22,504.936,400.8,-33.96,650.024,-6.776,103.254,97.896,312.012,311.36,309.412,322.772,368.524,385.488,81.794,583.16,590.048,519.646,-59.172,-2.41,5.514,415.96,-1.384,-0.16,33.55,46.526,-1.05,-0.654,100.45,24.078,2.222,1.394,-1.6,0,83.56,77.44,63.02,69.34,-2.9,-0.1,109.932,112.852,702.68,22.898,6.34,5.142,298.038,283.6,280.618,847.8,22.014,14.7,92.43,0,-2.2,227.2,-0.7,-0.6,-1.9,0.01,127.11,234.558,203.568,46.162,35.066,-2.4,32.246,41.854,-2.508,38.34,30.02,310.7,310.3,-2.6,-61.48,-3.424,-1.618,-0.292,0,0,48.762,0,49.226,78.582,-3.272,-1.816,103.876,111.688,602.12,597.9,0,0,11.588,445.4,-0.9,-1.7,-0.8,-0.9,57.596,62.664,61.216,50.406,-0.2,-0.9,-0.6,22.104,52.4,52.4,313.852,316.056,629.512,-17.976,-46.64,-1.844,36.548,0,0,0,0,0,0,0,-2.328,0,-4.902,-0.272,-0.098,125.648,148.488,20.886,24.706,46.91,28.88,-6.66,12.57,149.618,278.068,260.054,144.48,183.382
3,92.58,24.036,9.288,62.18,78.62,2.692,4.28,-0.15,115.788,124.016,165.124,165.126,42.024,21.968,38.85,21.718,17.36,51.36,-69.586,203.83,-2.8,-2.2,20.22,-3.24,14.652,66.74,95.368,60.44,-8.442,-5.292,276.066,0,-2.148,14.084,1.816,-0.01,38.328,120.192,12.828,26.982,-4.14,74.944,64.834,78.196,77.688,-2.9,-2.6,-1.5,-273.4,-290.6,0,-277.4,-274.3,21.38,-0.548,-0.382,29.834,0,0,0,631,607.62,563.944,0,0,0,18.93,60.308,183.18,205.328,16.4,424.222,0,0,0,11.528,140.42,-0.006,-0.002,-73.396,-73.254,-1.64,-74.04,16.306,-1.9,0,-0.618,9.328,50.886,56.2,57.46,52.22,-0.042,31.36,-0.01,32.74,14.34,39.638,0.01,-2.4,0,409.2,0,0,70.826,72.444,71.466,72.254,58.03,120.08,120.54,136.32,124.06,-0.002,0,0,-0.006,0,-0.004,22.04,-0.216,505.392,401.024,-34.128,650.32,-6.8,104.194,102.076,327.192,322.32,326.232,338.492,382.694,409.596,61.882,583.784,590.824,586.17,-59.398,-2.24,5.618,360.06,-1.352,-0.16,32.13,35.034,-1.048,-0.65,104.786,19.246,2.71,1.2,-1.4,0,63.98,59.12,54.42,60.08,-2.78,-0.12,106.168,109.602,700.6,19.802,6.58,7.032,298.178,281.7,279.798,779.6,13.746,14.698,86.78,0,-2.2,211.4,-0.6,-0.6,-1.8,-0.04,123.17,259.538,237.088,50.65,43.772,-2.2,25.94,33.868,-2.588,36.64,30.024,310.6,310.3,-2.6,-61.58,-3.15,-1.632,-0.286,0,0,48.75,0,49.24,78.592,-3.254,-1.834,127.706,123.642,601.58,598.9,0,0,9.992,392.8,-0.9,-1.7,-0.8,-0.9,52.406,60.4,55.078,44.568,0,-0.9,-0.7,23.138,54.4,54.4,354.212,378.29,629.552,-18.04,-46.864,-1.874,35.59,0,0,0,0,0,0,0,-2.46,0,-4.878,-0.14,-0.222,127.288,139.628,18.418,24.696,58.18,29.22,-6.69,12.48,153.538,288.548,308.394,116.28,184.302
4,92.6,20.856,11.998,61.72,76.358,4.548,5.88,-0.158,115.886,124.062,165.066,165.178,35.918,21.97,47.124,25.606,21.202,39.668,-69.908,199.05,-2.8,-2.2,20.76,-3.42,13.316,77.02,103.69,88.38,-8.316,-5.04,231.21,0,-2.252,18.184,1.764,-0.01,38.658,108.268,12.872,21.468,-4.16,84.862,76.694,86.158,84.3,-2.9,-3.3,-1.5,-270.2,-154.4,0,-274.4,-271.2,21.788,-0.544,-0.382,21.354,0,0,0,584.04,584.06,545.928,0,0,0,21.854,51.848,165.21,184.706,17.78,424.222,0,0,0,12.742,137.9,-0.006,-0.002,-72.934,-72.812,-1.62,-73.56,16.528,-2.1,0,-0.504,10.024,45.544,47.98,43.98,38.9,-0.042,26.662,-0.01,33.7,14.28,32.13,0.012,-2.5,0,419.9,0,0,57.89,61.25,60.122,78.478,64.414,125.24,126.7,137.48,132.58,-0.002,0,0,-0.004,0,-0.006,36.58,-0.218,504.48,400.136,-33.992,648.192,-6.816,104.094,102.356,367.332,343.26,326.732,353.8,395.8,412.062,73.32,583.488,590.272,485.256,-59.238,-2.18,6.114,350.86,-1.378,-0.16,27.15,30.582,-1.044,-0.652,121.68,23.484,2.944,1.524,-1.4,0,56.7,52.1,46.74,51.9,-2.9,-0.1,116.474,121.99,701.28,19.162,6.82,11.736,298.218,283.66,277.558,487.8,20.57,14.602,70.82,0,-2.2,222.2,-0.7,-0.7,-1.8,-0.1,133.1,252.298,233.688,74.486,45.14,-2.2,18.778,28.484,-2.7,32.396,29.482,310.7,310.3,-2.6,-61.38,-2.972,-1.624,-0.278,0,0,48.78,0,49.196,78.596,-3.248,-1.83,132.142,131.15,601.86,598.36,0,0,13.182,334.1,-0.9,-1.7,-0.9,-0.9,59.39,66.016,56.05,46.506,-0.2,-0.9,-0.7,23.08,54.4,54.4,384.392,383.434,629.456,-18.024,-46.728,-1.852,34.194,0,0,0,0,0,0,0,-2.334,0,-5.076,-0.466,-0.224,113.528,135.408,24.366,25.59,52.434,26.72,-6.45,21.32,156.732,288.728,313.154,131.12,187.702
5,90.64,17.578,8.86,62.38,78.416,5.64,3.82,-0.168,115.77,123.848,165.146,165.198,40.076,62.272,37.736,22.92,19.792,53.376,-69.93,173.71,-2.8,-2.2,20.22,-4.32,15.74,98.4,113.844,99.18,-8.442,-5.04,228.438,0,-3.502,19.39,0.918,-0.01,32.44,120.444,13.196,20.038,-4.08,91.928,78.96,92.422,91.372,-2.8,-2.3,-1.5,-268.9,-245.5,0,-272.9,-269.6,22.506,-0.542,-0.39,20.576,0,0,0,554.44,604.48,595.676,0,0,0,14.986,47.648,181.496,196.268,11.42,355.534,0,0,0,13.75,137.96,-0.008,-0.002,-72.814,-72.692,-1.62,-73.44,16.326,-1.9,0,-0.536,6.068,38.646,37.52,43.4,28.58,-0.042,25.132,-0.01,29.52,14.24,36.728,0.012,-2.4,0,317.4,0,0,60.994,60.272,62.934,62.57,45.552,120.36,118.76,132.56,118.3,-0.002,0,0,-0.004,0,-0.004,37.42,-0.242,504.72,400.904,-33.96,649.384,-6.816,104.194,102.276,386.412,381.58,356.312,373.886,412.236,415.27,78.75,583.696,590.856,470.478,-57.594,-2.19,6.086,350.86,-1.352,-0.16,27.53,26.666,-1.042,-0.652,166.782,22.218,2.524,1.66,-1.8,0,58.72,52.92,50.72,54.98,-2.92,-0.08,113.144,115.426,613.7,21.7,15.54,11.2,298.218,283.66,279.878,644.4,22.854,14.628,84.24,0,-2.3,221.8,-0.7,-0.6,-1.8,0.01,118.83,265.338,242.708,89.39,90.598,-2.4,14.372,20.892,-2.61,22.984,26.812,310.6,310.3,-2.5,-61.46,-2.956,-1.622,-0.286,0,0,47.658,0,49.248,78.582,-3.226,-1.804,138.592,144.884,601.8,598.56,0,0,10.716,334.7,-0.8,-1.7,-0.8,-0.9,66.944,71.376,63.358,42.888,-0.2,-0.9,-0.6,21.57,36.5,36.5,392.932,389.496,629.032,-18.016,-46.616,-1.872,33.086,0,0,0,0,0,0,0,-2.126,0,-4.896,0.126,-0.104,138.368,149.648,16.782,22.932,54.462,24.8,-6.14,17.564,152.72,291.488,266.694,121.34,187.762
6,92.12,17.54,10.464,62.5,79.45,6.042,5.2,-0.17,111.542,114.306,155.798,156.146,21.14,77.574,38.078,31.604,23.242,51.946,-70.298,185.272,-2.8,-2.2,20.12,-4.32,12.272,116.92,133.056,96.32,-8.442,-5.04,233.1,0,-2.226,19.61,1.702,-0.01,27.782,131.932,13.588,17.804,-4.06,96.74,80.228,97.888,94.15,-3.3,-2.2,-1.5,-267.2,-254.6,0,-271.4,-267.8,21.28,-0.55,-0.394,19.216,0,0,0,529.04,616.82,571.604,0,0,0,29.948,33.39,210.932,224.688,16.54,240.624,0,0,0,10.884,139.16,-0.008,-0.002,-72.676,-72.554,-1.6,-73.28,16.33,-2,0,-0.54,6.498,46.046,43.14,47.3,36.04,-0.042,26.892,-0.01,28.82,13.3,30.158,0.012,-2.4,0,236.7,0,0,64.514,73.27,66.274,53.832,40.362,117.52,118.46,138.5,132.7,-0.002,0,0,-0.006,0,-0.004,39.34,-0.23,503.472,400.496,-34.016,652.344,-6.824,104.154,102.316,389.952,394.32,385.872,382.664,416.376,416.974,72.844,583.488,590.216,470.072,-58.102,-2.19,5.758,350.76,-1.42,-0.16,31.69,26.832,-1.042,-0.652,141.83,22.46,2.376,1.77,-1.4,0,69.4,63.58,54.48,58.76,-2.88,-0.12,112.57,111.32,343.68,18.748,6.34,5.306,293.258,267.22,275.938,849.8,21.898,14.662,86.65,0,-2.2,222,-0.6,-0.6,-1.8,-0.11,96.99,262.338,243.548,73.08,70.58,-2.2,9.69,14.334,-2.676,35.3,29.28,310.7,310.3,-2.6,-61.64,-2.944,-1.626,-0.288,0,0,48.786,0,49.208,78.63,-3.212,-1.808,137.102,142.298,601.54,598.58,0,0,14.606,334.9,-0.9,-1.7,-0.9,-0.9,66.392,73.534,66.666,41.786,-0.4,-1,-0.7,20.334,44.8,44.8,397.012,392.49,629.64,-19.648,-46.584,-1.862,33.02,0,0,0,0,0,0,0,-1.812,0,-4.89,-0.388,-0.11,137.968,160.028,18.762,24.758,39.09,21.36,-4.15,21.678,151.76,280.688,295.014,132.34,189.662
7,64.34,15.13,14.858,62.44,79.028,5.52,6.76,-0.18,83.142,87.576,115.506,118.158,12.954,54.208,40.372,36.114,28.506,46.654,-70.496,211.69,-2.8,-2.2,19.02,36,7.656,133.4,152.428,100.68,-8.568,-5.166,323.568,0,-2.364,19.104,1.846,-0.01,27.502,124.88,13.62,20.08,-4.09,96.636,80.228,97.99,93.062,-2.8,-2.3,-1.6,-266.5,-254.4,0,-270.7,-195,20.054,14.912,-0.388,26.596,0,0,0,534.88,636.66,588.144,0,0,0,32.494,26.548,234.51,254.908,20.1,383.904,0,0,0,14.886,142.38,-0.006,-0.002,-72.63,-72.508,-1.6,-73.24,16.328,-2,0,-0.522,3.97,51.704,51.98,56.1,43.44,-0.042,27.172,-0.01,37.92,17.08,33.51,14.16,-2.5,0,393.3,0,0,78.006,80.254,77.562,62.678,45.168,130.68,130.42,137.34,132.28,-0.002,0,0,-0.004,0,-0.006,43.5,-0.242,503.208,400.64,-34.064,651.68,-6.8,104.154,102.296,386.012,393.1,387.572,383.024,415.482,410.044,78.094,583.648,591.288,470.462,-59.678,-2.21,5.022,350.97,-1.402,-0.17,38.99,28.074,-1.026,-0.638,104.536,24.518,1.882,1.976,-1.6,0,79.52,72.88,56.96,60.16,-2.9,-0.1,113.504,113.164,525.84,26.844,6.88,9.61,193.738,208.28,226.558,599.4,22.96,14.632,70.69,0,-2.5,218.6,-0.7,-0.7,-1.8,-0.02,94.58,265.638,251.528,64.624,50.224,-2.4,6.988,8.814,-2.668,42.198,30.06,310.6,310.3,-2.6,-61.52,-2.904,-1.628,-0.292,0,0,48.774,0,49.22,78.604,-3.212,-1.81,138.58,143.478,602.06,598.28,0,0,21.612,334.8,-0.9,-1.7,-0.8,-0.9,55.72,67.9,65.458,39.948,-0.4,-0.9,-0.7,21.284,50.9,50.9,396.452,385.616,630.224,-20.912,-46.624,-1.904,34.988,0,0,0,0,0,0,0,-3.332,0,-4.954,-0.068,-0.246,122.268,152.808,27.574,25.456,39.73,19.42,-4.27,27.806,155.292,305.128,283.934,116.48,188.842
8,86.44,24.06,17.822,62.48,81.356,4.152,7.68,-0.138,90.962,99.576,124.292,128.01,0.526,22.572,39.418,32.514,24.222,52.432,-70.274,209.606,-2.6,-2.2,20.66,90.54,9.5,150.14,152.74,100.76,-8.442,-5.166,229.446,0,-2.176,18.394,1.806,-0.01,26.204,124.79,13.61,23.79,-4.06,96.616,80.236,97.998,93.814,-3.2,-2.2,-1.5,-263.4,-282.1,0,-267.6,-263.8,22.368,72.94,43.498,34.414,0,0,0,562.9,590.54,547.746,0,0,0,35.042,23.828,216.898,241.508,18.5,320.83,0,0,0,23.788,142.32,-0.006,-0.002,-72.23,-72.128,-1.6,-72.88,16.344,-2,0,-0.532,3.644,54.988,55.58,60.8,52.6,-0.042,25.504,-0.012,36.16,13.94,25.836,24.782,-2.4,0,288.7,0,0,72.224,79.418,72.728,72.222,59.562,126.34,127.78,136.72,133.54,-0.002,0,0,-0.006,0,-0.004,28.56,9.772,503.992,400.888,-33.976,652.936,-6.76,104.174,102.296,391.412,393.04,387.432,381.25,419.372,422.386,65.4,583.784,591.408,470.476,-59.504,-2.21,5.054,353.26,-1.392,-0.16,40.97,34.378,-1.028,-0.642,101.988,26.49,2.544,2.028,-1.4,0,74.02,70.18,61.36,65.56,-3.4,-0.1,113.216,123.29,388.16,33.552,9.76,8.426,208.838,237.74,248.898,456.2,17.876,14.78,77.07,0,-2.2,223.4,-0.7,-0.6,-1.9,-0.08,100.12,266.678,251.808,59.924,35.058,-2.2,13.06,13.162,-2.68,44.118,30.088,310.7,310.4,-2.6,-61.3,-2.906,-1.63,-0.284,0,0,48.786,0,49.21,78.548,-3.218,-1.806,138.34,146.99,601.82,598.34,0,0,21.56,338.8,-0.9,-1.7,-0.8,-0.9,37.55,51.396,48.998,37.568,-0.4,-0.9,-0.6,21.486,44.9,44.9,392.112,378.194,629.472,-20.88,-46.288,-1.884,36.006,0,0,0,0,0,0,0,-2.212,0,-4.862,0.212,-0.138,142.168,167.308,35.002,25.626,51.522,15.04,-5.06,33.986,158.158,305.828,311.774,142.54,189.922
9,91.24,25.32,18.586,62.44,79.102,7.324,8.94,7.032,84.124,78.314,124.18,117.002,0.594,33.584,33.196,23.186,16.022,54.03,-70.326,209.846,-2.8,-2,19.58,88.2,4.748,152.64,153.104,80.14,-8.442,-5.418,322.056,0,-2.26,18.45,1.838,-0.01,33.442,129.738,13.622,21.662,-4.04,96.516,80.242,97.628,93.434,-4.1,-3.2,-1.7,-261.5,-210.4,0,-209.5,-261.9,22.028,71.28,59.446,22.132,0,0,0,636.02,643.08,597.528,0,0,0,49.876,17.49,207.724,232.048,12.38,419.47,0,0,0,22.988,140.52,-0.006,-0.002,-71.992,-71.89,-1.58,-72.62,16.354,-2,0,-0.558,2.608,46.304,42.9,50.42,41.64,-0.042,20.274,-0.002,24.72,11.26,24.878,21.53,-2.4,0,308.1,0,0,64.746,69.028,65.808,51.544,35.65,123.74,122.66,133.2,128.16,-0.002,0,0,-0.006,0,-0.004,34.92,16.632,503.552,400.296,-33.84,651.176,-6.744,104.194,102.336,393.752,395.16,389.872,385.572,420.342,423.72,60.774,583.792,591.32,470.478,-59.14,-2.2,4.836,364.76,-1.352,-0.16,36.44,38.606,-1.054,-0.656,133.282,22.706,2.516,1.826,-1.6,0,67,61.98,47.8,51.36,-2.9,-0.1,108.51,114.174,352.26,28.224,4.22,5.054,233.518,246.3,255.878,450.2,9.564,14.602,72.53,0,-2.2,219.8,-1.3,-0.6,-2.5,0.02,85.31,264.278,249.228,63.282,42.94,-2.4,14.73,12.142,-2.662,44.01,30.062,310.7,310.3,-2.5,-62.16,-3.242,-2.572,-0.286,0,0,48.768,0,49.226,78.596,-3.212,-1.824,138.046,143.334,601.64,598.1,0,0,24.932,354.4,-0.9,-1.7,-0.9,-0.9,44.102,57.192,43.512,46.128,-0.4,-1,-0.7,22.738,46.6,46.6,395.592,387.852,629.312,-18.664,-44.288,-1.904,36.616,0,0,0,0,0,0,0,-2.288,0,-4.892,-0.512,-0.108,152.368,163.288,39.01,25.62,58.636,15.02,-3.88,35.214,157.882,301.188,302.234,144.58,188.682
10,71.82,17.12,17.318,62.5,77.904,5.77,9.4,10.946,55.62,55.228,111.342,104.722,1.548,26.202,27.344,14.454,13.484,53.878,-70.886,209.866,-2.8,-2.2,20.66,87.84,2.526,159.16,144.174,88.76,-8.442,-2.898,335.79,0,-2.27,18.884,1.416,-0.01,38.77,113.634,13.406,19.388,-4.06,96.72,80.232,97.388,93.892,0.2,-1.4,-1.6,-262,-162.1,0,-1.8,-127.1,17.028,71.22,59.02,19.444,0,0,0,642.68,634.12,597.502,0,0,0,44.242,15.708,229.216,247.028,12.02,423.646,0,0,0,16.51,138.66,-0.006,-0.002,-2.004,-71.586,-1.6,-72.7,16.328,-1.9,0,-0.528,2.166,41.586,40.66,41.46,30.92,-0.042,19.636,0,23.72,9.74,43.632,26.396,-2.4,0,309.5,0,0,49.454,64.742,51.15,18.118,16.368,133.86,138.86,139,136.36,-0.002,0,0,-0.004,0,-0.004,35.1,16.286,503.576,400.4,-33.904,651.504,-6.736,104.154,102.276,395.112,396.46,391.192,387.09,420.696,423.608,56.538,584.112,591.464,470.294,-59.462,-2.2,4.674,350.86,-1.374,-0.16,33.55,47.664,-1.046,-0.654,143.922,23.088,1.966,2.09,-1.4,0,59.74,56.46,33.18,35.26,-3.4,-0.1,105.852,105.91,355.12,34.516,1.78,10.34,182.678,219.6,252.498,462,6.618,14.636,67.19,0,-2.2,220.6,-2.5,-1.2,-5.8,-0.1,89.65,267.278,248.188,61.224,60.02,-2.2,10.924,9.418,-2.714,36.326,30.072,310.7,310.4,-2.5,-62.3,-4.656,-2.918,-0.28,0,0,48.806,0,49.236,78.572,-3.224,-1.856,138.64,146.308,601.7,598.5,0,0,25.766,404.2,-0.8,-3.3,-2.8,-0.9,45.756,59.494,45.798,46.648,-0.4,-0.8,-0.7,19.17,36.4,36.4,396.872,394.156,629.872,-18.728,-44.44,-1.904,36.852,0,0,0,0,0,0,0,-2.452,0,-5.2,-0.248,-0.2,157.588,175.328,39.356,24.964,37.7,14.96,-4,38.184,156.736,310.428,294.394,129.84,186.722
