bmUnit,settlementPeriod,settlementRunType,quantity,average_MW
T_BDCHW-1,1,DF,-0.073,-0.146
T_BPGRD-1,1,DF,-33.822,-67.644
T_CARR-1,1,DF,-2.1,-4.2
T_CARR-2,1,DF,-1.8,-3.6
T_CDCL-1,1,DF,-0.54,-1.08
T_CNQPS-1,1,DF,-4.536,-9.072
T_CNQPS-2,1,DF,-2.583,-5.166
T_COSO-1,1,DF,-1.069,-2.138
T_CRGHD-1,1,DF,-0.005,-0.01
T_DAMC-1,1,DF,-2.34,-4.68
T_DIDCB5,1,DF,-3.85,-7.7
T_DIDCB6,1,DF,-1.15,-2.3
T_DINO-1,1,DF,-1.0,-2.0
T_DINO-2,1,DF,-0.2,-0.4
T_DINO-3,1,DF,-62.6,-125.2
T_DINO-5,1,DF,-81.25,-162.5
T_DINO-6,1,DF,-116.3,-232.6
T_DOREW-1,1,DF,-0.279,-0.558
T_DOREW-2,1,DF,-0.193,-0.386
T_FASN-1,1,DF,-0.003,-0.006
T_FASN-2,1,DF,-0.001,-0.002
T_FFES-1,1,DF,-36.707,-73.414
T_FFES-2,1,DF,-36.636,-73.272
T_FFES-3,1,DF,-0.8200000000000001,-1.6400000000000001
T_FFES-4,1,DF,-37.04,-74.08
T_FOYE-1,1,DF,-76.75,-153.5
T_FOYED-1,1,DF,-0.32,-0.64
T_GLNDO-1,1,DF,-0.021,-0.042
T_GNAPW-1,1,DF,-0.005,-0.01
T_GRAI-6,1,DF,-1.2,-2.4
T_GYMRD-16,1,DF,-0.001,-0.002
T_GYMRD-E11,1,DF,-0.003,-0.006
T_GYMRD-W11,1,DF,-0.002,-0.004
T_HALSW-1,1,DF,-0.12,-0.24
T_HEYM2-D,1,DF,-17.024,-34.048
T_HEYM28,1,DF,-3.376,-6.752
T_HUMRD-1,1,DF,-29.687,-59.374
T_INDQ-1,1,DF,-1.17,-2.34
T_KEAD-2,1,DF,-0.684,-1.368
T_KEADGT-3,1,DF,-0.08,-0.16
T_KILLPG-1,1,DF,-0.536,-1.072
T_KILLPG-2,1,DF,-0.329,-0.658
T_LAGA-1,1,DF,-0.7000000000000001,-1.4000000000000001
T_LBAR-1,1,DF,-2.05,-4.1
T_LBAR-1G,1,DF,-0.05,-0.1
T_PEMB-11,1,DF,-1.15,-2.3
T_PEMB-31,1,DF,-0.35000000000000003,-0.7000000000000001
T_PEMB-41,1,DF,-0.35000000000000003,-0.7000000000000001
T_PEMB-51,1,DF,-0.9500000000000001,-1.9000000000000001
T_PNYCB-1,1,DF,-0.01,-0.02
T_ROCK-1,1,DF,-1.1,-2.2
T_RYHPS-1,1,DF,-2.005,-4.01
T_SCCL-3,1,DF,-1.3,-2.6
T_SCCL-4,1,DF,-30.78,-61.56
T_SEAB-1,1,DF,-1.951,-3.902
T_SEAB-2,1,DF,-0.809,-1.618
T_SEEL-1,1,DF,-0.14300000000000002,-0.28600000000000003
T_SHBA-1,1,DF,-1.627,-3.254
T_SHBA-2,1,DF,-0.897,-1.794
T_STAY-1,1,DF,-0.4,-0.8
T_STAY-2,1,DF,-0.85,-1.7
T_STAY-3,1,DF,-0.45,-0.9
T_STAY-4,1,DF,-0.45,-0.9
T_SUTB-1,1,DF,-0.1,-0.2
T_SVRP-10,1,DF,-0.45,-0.9
T_SVRP-20,1,DF,-0.35000000000000003,-0.7000000000000001
T_TORN-2,1,DF,-9.016,-18.032
T_TORN-D,1,DF,-23.372,-46.744
T_TSREP-1,1,DF,-0.932,-1.864
T_WBURB-1,1,DF,-1.1400000000000001,-2.2800000000000002
T_WBURB-3,1,DF,-2.472,-4.944
T_WBURB-41,1,DF,-0.061,-0.122
T_WBURB-43,1,DF,-0.128,-0.256
T_WILCT-1,1,DF,-3.385,-6.77
T_BDCHW-1,2,DF,-0.075,-0.15
T_BPGRD-1,2,DF,-34.073,-68.146
T_CARR-1,2,DF,-1.4,-2.8
T_CARR-2,2,DF,-1.1,-2.2
T_CDCL-1,2,DF,-1.53,-3.06
T_CNQPS-1,2,DF,-4.221,-8.442
T_CNQPS-2,2,DF,-2.52,-5.04
T_COSO-1,2,DF,-1.138,-2.276
T_CRGHD-1,2,DF,-0.005,-0.01
T_DAMC-1,2,DF,-2.08,-4.16
T_DIDCB5,2,DF,-2.35,-4.7
T_DIDCB6,2,DF,-1.1,-2.2
T_DINO-1,2,DF,-1.3,-2.6
T_DINO-2,2,DF,-24.7,-49.4
T_DINO-3,2,DF,-121.5,-243.0
T_DINO-5,2,DF,-138.1,-276.2
T_DINO-6,2,DF,-136.55,-273.1
T_DOREW-1,2,DF,-0.28,-0.56
T_DOREW-2,2,DF,-0.193,-0.386
T_FASN-1,2,DF,-0.004,-0.008
T_FASN-2,2,DF,-0.001,-0.002
T_FFES-1,2,DF,-36.547,-73.094
T_FFES-2,2,DF,-36.466,-72.932
T_FFES-3,2,DF,-0.81,-1.62
T_FFES-4,2,DF,-36.85,-73.7
T_FOYE-1,2,DF,-69.55,-139.1
T_FOYED-1,2,DF,-0.327,-0.654
T_GLNDO-1,2,DF,-0.021,-0.042
T_GNAPW-1,2,DF,-0.005,-0.01
T_GRAI-6,2,DF,-1.2,-2.4
T_GYMRD-16,2,DF,-0.001,-0.002
T_GYMRD-E11,2,DF,-0.003,-0.006
T_GYMRD-W11,2,DF,-0.003,-0.006
T_HALSW-1,2,DF,-0.11,-0.22
T_HEYM2-D,2,DF,-16.98,-33.96
T_HEYM28,2,DF,-3.388,-6.776
T_HUMRD-1,2,DF,-29.586,-59.172
T_INDQ-1,2,DF,-1.205,-2.41
T_KEAD-2,2,DF,-0.6920000000000001,-1.3840000000000001
T_KEADGT-3,2,DF,-0.08,-0.16
T_KILLPG-1,2,DF,-0.525,-1.05
T_KILLPG-2,2,DF,-0.327,-0.654
T_LAGA-1,2,DF,-0.8,-1.6
T_LBAR-1,2,DF,-1.45,-2.9
T_LBAR-1G,2,DF,-0.05,-0.1
T_PEMB-11,2,DF,-1.1,-2.2
T_PEMB-31,2,DF,-0.35000000000000003,-0.7000000000000001
T_PEMB-41,2,DF,-0.3,-0.6
T_PEMB-51,2,DF,-0.9500000000000001,-1.9000000000000001
T_ROCK-1,2,DF,-1.2,-2.4
T_RYHPS-1,2,DF,-1.254,-2.508
T_SCCL-3,2,DF,-1.3,-2.6
T_SCCL-4,2,DF,-30.74,-61.48
T_SEAB-1,2,DF,-1.712,-3.424
T_SEAB-2,2,DF,-0.809,-1.618
T_SEEL-1,2,DF,-0.146,-0.292
T_SHBA-1,2,DF,-1.6360000000000001,-3.2720000000000002
T_SHBA-2,2,DF,-0.908,-1.816
T_STAY-1,2,DF,-0.45,-0.9
T_STAY-2,2,DF,-0.85,-1.7
T_STAY-3,2,DF,-0.4,-0.8
T_STAY-4,2,DF,-0.45,-0.9
T_SUTB-1,2,DF,-0.1,-0.2
T_SVRP-10,2,DF,-0.45,-0.9
T_SVRP-20,2,DF,-0.3,-0.6
T_TORN-2,2,DF,-8.988,-17.976
T_TORN-D,2,DF,-23.32,-46.64
T_TSREP-1,2,DF,-0.922,-1.844
T_WBURB-1,2,DF,-1.164,-2.328
T_WBURB-3,2,DF,-2.451,-4.902
T_WBURB-41,2,DF,-0.136,-0.272
T_WBURB-43,2,DF,-0.049,-0.098
T_WILCT-1,2,DF,-3.33,-6.66
T_BDCHW-1,3,DF,-0.075,-0.15
T_BPGRD-1,3,DF,-34.793,-69.586
T_CARR-1,3,DF,-1.4,-2.8
T_CARR-2,3,DF,-1.1,-2.2
T_CDCL-1,3,DF,-1.62,-3.24
T_CNQPS-1,3,DF,-4.221,-8.442
T_CNQPS-2,3,DF,-2.646,-5.292
T_COSO-1,3,DF,-1.074,-2.148
T_CRGHD-1,3,DF,-0.005,-0.01
T_DAMC-1,3,DF,-2.07,-4.14
T_DIDCB5,3,DF,-1.45,-2.9
T_DIDCB6,3,DF,-1.3,-2.6
T_DINO-1,3,DF,-0.75,-1.5
T_DINO-2,3,DF,-136.7,-273.4
T_DINO-3,3,DF,-145.3,-290.6
T_DINO-5,3,DF,-138.7,-277.4
T_DINO-6,3,DF,-137.15,-274.3
T_DOREW-1,3,DF,-0.274,-0.548
T_DOREW-2,3,DF,-0.191,-0.382
T_FASN-1,3,DF,-0.003,-0.006
T_FASN-2,3,DF,-0.001,-0.002
T_FFES-1,3,DF,-36.698,-73.396
T_FFES-2,3,DF,-36.627,-73.254
T_FFES-3,3,DF,-0.8200000000000001,-1.6400000000000001
T_FFES-4,3,DF,-37.02,-74.04
T_FOYE-1,3,DF,-0.9500000000000001,-1.9000000000000001
T_FOYED-1,3,DF,-0.309,-0.618
T_GLNDO-1,3,DF,-0.021,-0.042
T_GNAPW-1,3,DF,-0.005,-0.01
T_GRAI-6,3,DF,-1.2,-2.4
T_GYMRD-16,3,DF,-0.001,-0.002
T_GYMRD-E11,3,DF,-0.003,-0.006
T_GYMRD-W11,3,DF,-0.002,-0.004
T_HALSW-1,3,DF,-0.108,-0.216
T_HEYM2-D,3,DF,-17.064,-34.128
T_HEYM28,3,DF,-3.4,-6.8
T_HUMRD-1,3,DF,-29.699,-59.398
T_INDQ-1,3,DF,-1.12,-2.24
T_KEAD-2,3,DF,-0.676,-1.352
T_KEADGT-3,3,DF,-0.08,-0.16
T_KILLPG-1,3,DF,-0.524,-1.048
T_KILLPG-2,3,DF,-0.325,-0.65
T_LAGA-1,3,DF,-0.7000000000000001,-1.4000000000000001
T_LBAR-1,3,DF,-1.3900000000000001,-2.7800000000000002
T_LBAR-1G,3,DF,-0.06,-0.12
T_PEMB-11,3,DF,-1.1,-2.2
T_PEMB-31,3,DF,-0.3,-0.6
T_PEMB-41,3,DF,-0.3,-0.6
T_PEMB-51,3,DF,-0.9,-1.8
T_PNYCB-1,3,DF,-0.02,-0.04
T_ROCK-1,3,DF,-1.1,-2.2
T_RYHPS-1,3,DF,-1.294,-2.588
T_SCCL-3,3,DF,-1.3,-2.6
T_SCCL-4,3,DF,-30.79,-61.58
T_SEAB-1,3,DF,-1.5750000000000002,-3.1500000000000004
T_SEAB-2,3,DF,-0.8160000000000001,-1.6320000000000001
T_SEEL-1,3,DF,-0.14300000000000002,-0.28600000000000003
T_SHBA-1,3,DF,-1.627,-3.254
T_SHBA-2,3,DF,-0.917,-1.834
T_STAY-1,3,DF,-0.45,-0.9
T_STAY-2,3,DF,-0.85,-1.7
T_STAY-3,3,DF,-0.4,-0.8
T_STAY-4,3,DF,-0.45,-0.9
T_SVRP-10,3,DF,-0.45,-0.9
T_SVRP-20,3,DF,-0.35000000000000003,-0.7000000000000001
T_TORN-2,3,DF,-9.02,-18.04
T_TORN-D,3,DF,-23.432,-46.864
T_TSREP-1,3,DF,-0.937,-1.874
T_WBURB-1,3,DF,-1.23,-2.46
T_WBURB-3,3,DF,-2.439,-4.878
T_WBURB-41,3,DF,-0.07,-0.14
T_WBURB-43,3,DF,-0.111,-0.222
T_WILCT-1,3,DF,-3.345,-6.69
T_BDCHW-1,4,DF,-0.079,-0.158
T_BPGRD-1,4,DF,-34.954,-69.908
T_CARR-1,4,DF,-1.4,-2.8
T_CARR-2,4,DF,-1.1,-2.2
T_CDCL-1,4,DF,-1.71,-3.42
T_CNQPS-1,4,DF,-4.158,-8.316
T_CNQPS-2,4,DF,-2.52,-5.04
T_COSO-1,4,DF,-1.126,-2.252
T_CRGHD-1,4,DF,-0.005,-0.01
T_DAMC-1,4,DF,-2.08,-4.16
T_DIDCB5,4,DF,-1.45,-2.9
T_DIDCB6,4,DF,-1.65,-3.3
T_DINO-1,4,DF,-0.75,-1.5
T_DINO-2,4,DF,-135.1,-270.2
T_DINO-3,4,DF,-77.2,-154.4
T_DINO-5,4,DF,-137.2,-274.4
T_DINO-6,4,DF,-135.6,-271.2
T_DOREW-1,4,DF,-0.272,-0.544
T_DOREW-2,4,DF,-0.191,-0.382
T_FASN-1,4,DF,-0.003,-0.006
T_FASN-2,4,DF,-0.001,-0.002
T_FFES-1,4,DF,-36.467,-72.934
T_FFES-2,4,DF,-36.406,-72.812
T_FFES-3,4,DF,-0.81,-1.62
T_FFES-4,4,DF,-36.78,-73.56
T_FOYE-1,4,DF,-1.05,-2.1
T_FOYED-1,4,DF,-0.252,-0.504
T_GLNDO-1,4,DF,-0.021,-0.042
T_GNAPW-1,4,DF,-0.005,-0.01
T_GRAI-6,4,DF,-1.25,-2.5
T_GYMRD-16,4,DF,-0.001,-0.002
T_GYMRD-E11,4,DF,-0.002,-0.004
T_GYMRD-W11,4,DF,-0.003,-0.006
T_HALSW-1,4,DF,-0.109,-0.218
T_HEYM2-D,4,DF,-16.996,-33.992
T_HEYM28,4,DF,-3.408,-6.816
T_HUMRD-1,4,DF,-29.619,-59.238
T_INDQ-1,4,DF,-1.09,-2.18
T_KEAD-2,4,DF,-0.6890000000000001,-1.3780000000000001
T_KEADGT-3,4,DF,-0.08,-0.16
T_KILLPG-1,4,DF,-0.522,-1.044
T_KILLPG-2,4,DF,-0.326,-0.652
T_LAGA-1,4,DF,-0.7000000000000001,-1.4000000000000001
T_LBAR-1,4,DF,-1.45,-2.9
T_LBAR-1G,4,DF,-0.05,-0.1
T_PEMB-11,4,DF,-1.1,-2.2
T_PEMB-31,4,DF,-0.35000000000000003,-0.7000000000000001
T_PEMB-41,4,DF,-0.35000000000000003,-0.7000000000000001
T_PEMB-51,4,DF,-0.9,-1.8
T_PNYCB-1,4,DF,-0.05,-0.1
T_ROCK-1,4,DF,-1.1,-2.2
T_RYHPS-1,4,DF,-1.35,-2.7
T_SCCL-3,4,DF,-1.3,-2.6
T_SCCL-4,4,DF,-30.69,-61.38
T_SEAB-1,4,DF,-1.486,-2.972
T_SEAB-2,4,DF,-0.812,-1.624
T_SEEL-1,4,DF,-0.139,-0.278
T_SHBA-1,4,DF,-1.624,-3.248
T_SHBA-2,4,DF,-0.915,-1.83
T_STAY-1,4,DF,-0.45,-0.9
T_STAY-2,4,DF,-0.85,-1.7
T_STAY-3,4,DF,-0.45,-0.9
T_STAY-4,4,DF,-0.45,-0.9
T_SUTB-1,4,DF,-0.1,-0.2
T_SVRP-10,4,DF,-0.45,-0.9
T_SVRP-20,4,DF,-0.35000000000000003,-0.7000000000000001
T_TORN-2,4,DF,-9.012,-18.024
T_TORN-D,4,DF,-23.364,-46.728
T_TSREP-1,4,DF,-0.926,-1.852
T_WBURB-1,4,DF,-1.167,-2.334
T_WBURB-3,4,DF,-2.5380000000000003,-5.0760000000000005
T_WBURB-41,4,DF,-0.233,-0.466
T_WBURB-43,4,DF,-0.112,-0.224
T_WILCT-1,4,DF,-3.225,-6.45
T_BDCHW-1,5,DF,-0.084,-0.168
T_BPGRD-1,5,DF,-34.965,-69.93
T_CARR-1,5,DF,-1.4,-2.8
T_CARR-2,5,DF,-1.1,-2.2
T_CDCL-1,5,DF,-2.16,-4.32
T_CNQPS-1,5,DF,-4.221,-8.442
T_CNQPS-2,5,DF,-2.52,-5.04
T_COSO-1,5,DF,-1.751,-3.502
T_CRGHD-1,5,DF,-0.005,-0.01
T_DAMC-1,5,DF,-2.04,-4.08
T_DIDCB5,5,DF,-1.4,-2.8
T_DIDCB6,5,DF,-1.15,-2.3
T_DINO-1,5,DF,-0.75,-1.5
T_DINO-2,5,DF,-134.45,-268.9
T_DINO-3,5,DF,-122.75,-245.5
T_DINO-5,5,DF,-136.45,-272.9
T_DINO-6,5,DF,-134.8,-269.6
T_DOREW-1,5,DF,-0.271,-0.542
T_DOREW-2,5,DF,-0.195,-0.39
T_FASN-1,5,DF,-0.004,-0.008
T_FASN-2,5,DF,-0.001,-0.002
T_FFES-1,5,DF,-36.407,-72.814
T_FFES-2,5,DF,-36.346,-72.692
T_FFES-3,5,DF,-0.81,-1.62
T_FFES-4,5,DF,-36.72,-73.44
T_FOYE-1,5,DF,-0.9500000000000001,-1.9000000000000001
T_FOYED-1,5,DF,-0.268,-0.536
T_GLNDO-1,5,DF,-0.021,-0.042
T_GNAPW-1,5,DF,-0.005,-0.01
T_GRAI-6,5,DF,-1.2,-2.4
T_GYMRD-16,5,DF,-0.001,-0.002
T_GYMRD-E11,5,DF,-0.002,-0.004
T_GYMRD-W11,5,DF,-0.002,-0.004
T_HALSW-1,5,DF,-0.121,-0.242
T_HEYM2-D,5,DF,-16.98,-33.96
T_HEYM28,5,DF,-3.408,-6.816
