bmUnit,settlementPeriod,settlementRunType,quantity,average_MW
T_BDCHW-1,1,DF,-0.083,-0.166
T_BPGRD-1,1,DF,-36.16,-72.32
T_CNQPS-2,1,DF,-2.583,-5.166
T_COSO-1,1,DF,-1.077,-2.154
T_CRGHD-1,1,DF,-0.004,-0.008
T_DAMC-1,1,DF,-2.07,-4.14
T_DINO-1,1,DF,-0.75,-1.5
T_DINO-2,1,DF,-132.95,-265.9
T_DINO-3,1,DF,-146.85,-293.7
T_DINO-5,1,DF,-9.45,-18.9
T_DINO-6,1,DF,-138.4,-276.8
T_DOREW-1,1,DF,-0.228,-0.456
T_DOREW-2,1,DF,-0.193,-0.386
T_EAAO-1,1,DF,-1.421,-2.842
T_EAAO-2,1,DF,-1.496,-2.992
T_FASN-1,1,DF,-0.004,-0.008
T_FASN-2,1,DF,-0.001,-0.002
T_FFES-1,1,DF,-36.817,-73.634
T_FFES-2,1,DF,-36.736,-73.472
T_FFES-3,1,DF,-0.81,-1.62
T_FFES-4,1,DF,-37.13,-74.26
T_FOYED-1,1,DF,-0.07200000000000001,-0.14400000000000002
T_GANW-11,1,DF,-0.307,-0.614
T_GANW-13,1,DF,-0.32,-0.64
T_GANW-22,1,DF,-0.28,-0.56
T_GANW-24,1,DF,-0.3,-0.6
T_GNFSW-1,1,DF,-0.312,-0.624
T_GNFSW-2,1,DF,-0.246,-0.492
T_GRGBW-1,1,DF,-0.966,-1.932
T_GRGBW-2,1,DF,-0.867,-1.734
T_GRGBW-3,1,DF,-0.972,-1.944
T_GYMRD-16,1,DF,-0.001,-0.002
T_GYMRD-E11,1,DF,-0.003,-0.006
T_GYMRD-W11,1,DF,-0.003,-0.006
T_HALSW-1,1,DF,-0.117,-0.234
T_HEYM12,1,DF,-7.28,-14.56
T_HEYM2-D,1,DF,-19.66,-39.32
T_HUMRD-1,1,DF,-28.185,-56.37
T_INDQ-1,1,DF,-1.19,-2.38
T_KEAD-1,1,DF,-2.52,-5.04
T_KEADGT-3,1,DF,-0.08,-0.16
T_KILLPG-1,1,DF,-0.457,-0.914
T_KILLPG-2,1,DF,-0.293,-0.586
T_LAGA-1,1,DF,-0.7000000000000001,-1.4000000000000001
T_LARYW-1,1,DF,-1.021,-2.042
T_LARYW-2,1,DF,-0.8290000000000001,-1.6580000000000001
T_LARYW-3,1,DF,-0.847,-1.694
T_LARYW-4,1,DF,-0.8290000000000001,-1.6580000000000001
T_LBAR-1G,1,DF,-0.05,-0.1
T_MKHLW-1,1,DF,-0.01,-0.02
T_PNYCB-1,1,DF,-0.28,-0.56
T_PNYCW-1,1,DF,-1.24,-2.48
T_ROCK-1,1,DF,-1.5,-3.0
T_RYHPS-1,1,DF,-1.339,-2.678
T_SCCL-3,1,DF,-1.25,-2.5
T_SCCL-4,1,DF,-31.42,-62.84
T_SEAB-1,1,DF,-1.77,-3.54
T_SEAB-2,1,DF,-0.8140000000000001,-1.6280000000000001
T_SEEL-1,1,DF,-0.14100000000000001,-0.28200000000000003
T_STAY-1,1,DF,-0.4,-0.8
T_STAY-2,1,DF,-0.5,-1.0
T_STAY-3,1,DF,-0.75,-1.5
T_STAY-4,1,DF,-0.35000000000000003,-0.7000000000000001
T_SUTB-1,1,DF,-0.3,-0.6
T_SVRP-10,1,DF,-0.4,-0.8
T_SVRP-20,1,DF,-0.25,-0.5
T_THNTO-1,1,DF,-0.001,-0.002
T_THNTO-2,1,DF,-0.001,-0.002
T_TORN-D,1,DF,-27.54,-55.08
T_TSREP-1,1,DF,-0.998,-1.996
T_WBURB-41,1,DF,-0.5,-1.0
T_WBURB-43,1,DF,-0.33,-0.66
T_BDCHW-1,2,DF,-0.08600000000000001,-0.17200000000000001
T_BPGRD-1,2,DF,-36.231,-72.462
T_CNQPS-2,2,DF,-2.646,-5.292
T_COSO-1,2,DF,-1.126,-2.252
T_CRGHD-1,2,DF,-0.004,-0.008
T_DAMC-1,2,DF,-2.07,-4.14
T_DINO-1,2,DF,-0.7000000000000001,-1.4000000000000001
T_DINO-2,2,DF,-137.0,-274.0
T_DINO-3,2,DF,-110.85,-221.7
T_DINO-5,2,DF,-139.1,-278.2
T_DINO-6,2,DF,-137.55,-275.1
T_DOREW-1,2,DF,-0.232,-0.464
T_DOREW-2,2,DF,-0.191,-0.382
T_EAAO-1,2,DF,-1.44,-2.88
T_EAAO-2,2,DF,-1.518,-3.036
T_FASN-1,2,DF,-0.004,-0.008
T_FASN-2,2,DF,-0.001,-0.002
T_FFES-1,2,DF,-36.717,-73.434
T_FFES-2,2,DF,-36.646,-73.292
T_FFES-3,2,DF,-0.81,-1.62
T_FFES-4,2,DF,-37.03,-74.06
T_FOYE-2,2,DF,-0.4,-0.8
T_FOYED-1,2,DF,-0.543,-1.086
T_GANW-11,2,DF,-0.318,-0.636
T_GANW-13,2,DF,-0.31,-0.62
T_GANW-22,2,DF,-0.29,-0.58
T_GANW-24,2,DF,-0.29,-0.58
T_GNFSW-1,2,DF,-0.303,-0.606
T_GNFSW-2,2,DF,-0.23600000000000002,-0.47200000000000003
T_GRGBW-1,2,DF,-0.96,-1.92
T_GRGBW-2,2,DF,-0.868,-1.736
T_GRGBW-3,2,DF,-0.968,-1.936
T_GYMRD-16,2,DF,-0.001,-0.002
T_GYMRD-E11,2,DF,-0.003,-0.006
T_GYMRD-W11,2,DF,-0.003,-0.006
T_HALSW-1,2,DF,-0.12,-0.24
T_HEYM12,2,DF,-7.272,-14.544
T_HEYM2-D,2,DF,-19.664,-39.328
T_HUMRD-1,2,DF,-29.174,-58.348
T_INDQ-1,2,DF,-1.18,-2.36
T_KEAD-1,2,DF,-2.32,-4.64
T_KEADGT-3,2,DF,-0.08,-0.16
T_KILLPG-1,2,DF,-0.461,-0.922
T_KILLPG-2,2,DF,-0.295,-0.59
T_LAGA-1,2,DF,-0.9,-1.8
T_LARYW-1,2,DF,-1.025,-2.05
T_LARYW-2,2,DF,-0.8260000000000001,-1.6520000000000001
T_LARYW-3,2,DF,-0.879,-1.758
T_LARYW-4,2,DF,-0.8190000000000001,-1.6380000000000001
T_LBAR-1G,2,DF,-0.05,-0.1
T_MKHLW-1,2,DF,-0.075,-0.15
T_PNYCW-1,2,DF,-0.935,-1.87
T_RMPNO-1,2,DF,-0.181,-0.362
T_RMPNO-2,2,DF,-0.095,-0.19
T_ROCK-1,2,DF,-1.4,-2.8
T_RYHPS-1,2,DF,-1.396,-2.792
T_SCCL-3,2,DF,-1.25,-2.5
T_SCCL-4,2,DF,-31.33,-62.66
T_SEAB-1,2,DF,-1.6520000000000001,-3.3040000000000003
T_SEAB-2,2,DF,-0.8150000000000001,-1.6300000000000001
T_SEEL-1,2,DF,-0.14400000000000002,-0.28800000000000003
T_STAY-1,2,DF,-0.45,-0.9
T_STAY-2,2,DF,-0.4,-0.8
T_STAY-3,2,DF,-0.8,-1.6
T_STAY-4,2,DF,-0.35000000000000003,-0.7000000000000001
T_SUTB-1,2,DF,-0.4,-0.8
T_SVRP-10,2,DF,-0.4,-0.8
T_SVRP-20,2,DF,-0.3,-0.6
T_THNTO-1,2,DF,-0.001,-0.002
T_THNTO-2,2,DF,-0.001,-0.002
T_TORN-D,2,DF,-27.596,-55.192
T_TSREP-1,2,DF,-0.993,-1.986
T_WBURB-41,2,DF,-0.068,-0.136
T_WBURB-43,2,DF,-0.039,-0.078
T_BDCHW-1,3,DF,-0.084,-0.168
T_BPGRD-1,3,DF,-36.211,-72.422
T_CNQPS-2,3,DF,-2.583,-5.166
T_COSO-1,3,DF,-1.075,-2.15
T_CRGHD-1,3,DF,-0.004,-0.008
T_DAMC-1,3,DF,-2.065,-4.13
T_DINO-1,3,DF,-0.7000000000000001,-1.4000000000000001
T_DINO-2,3,DF,-135.85,-271.7
T_DINO-3,3,DF,-110.1,-220.2
T_DINO-5,3,DF,-137.85,-275.7
T_DINO-6,3,DF,-136.35,-272.7
T_DOREW-1,3,DF,-0.23,-0.46
T_DOREW-2,3,DF,-0.192,-0.384
T_EAAO-1,3,DF,-1.447,-2.894
T_EAAO-2,3,DF,-1.526,-3.052
T_FASN-1,3,DF,-0.004,-0.008
T_FASN-2,3,DF,-0.001,-0.002
T_FFES-1,3,DF,-36.567,-73.134
T_FFES-2,3,DF,-36.496,-72.992
T_FFES-3,3,DF,-0.81,-1.62
T_FFES-4,3,DF,-36.88,-73.76
T_FOYE-2,3,DF,-6.7,-13.4
T_FOYED-1,3,DF,-0.273,-0.546
T_GANW-11,3,DF,-0.306,-0.612
T_GANW-13,3,DF,-0.32,-0.64
T_GANW-22,3,DF,-0.29,-0.58
T_GANW-24,3,DF,-0.29,-0.58
T_GNFSW-1,3,DF,-0.3,-0.6
T_GNFSW-2,3,DF,-0.23600000000000002,-0.47200000000000003
T_GRGBW-1,3,DF,-0.9440000000000001,-1.8880000000000001
T_GRGBW-2,3,DF,-0.865,-1.73
T_GRGBW-3,3,DF,-0.961,-1.922
T_GYMRD-16,3,DF,-0.001,-0.002
T_GYMRD-E11,3,DF,-0.003,-0.006
T_GYMRD-W11,3,DF,-0.002,-0.004
T_HALSW-1,3,DF,-0.12,-0.24
T_HEYM12,3,DF,-7.256,-14.512
T_HEYM2-D,3,DF,-19.816,-39.632
T_HUMRD-1,3,DF,-29.347,-58.694
T_INDQ-1,3,DF,-1.17,-2.34
T_KEAD-1,3,DF,-2.37,-4.74
T_KEADGT-3,3,DF,-0.08,-0.16
T_KILLPG-1,3,DF,-0.459,-0.918
T_KILLPG-2,3,DF,-0.296,-0.592
T_LAGA-1,3,DF,-0.7000000000000001,-1.4000000000000001
T_LARYW-1,3,DF,-0.996,-1.992
T_LARYW-2,3,DF,-0.811,-1.622
T_LARYW-3,3,DF,-0.839,-1.678
T_LARYW-4,3,DF,-0.8220000000000001,-1.6440000000000001
T_LBAR-1G,3,DF,-0.06,-0.12
T_RMPNO-1,3,DF,-0.37,-0.74
T_RMPNO-2,3,DF,-0.289,-0.578
T_ROCK-1,3,DF,-1.5,-3.0
T_RYHPS-1,3,DF,-1.381,-2.762
T_SCCL-3,3,DF,-1.25,-2.5
T_SCCL-4,3,DF,-31.4,-62.8
T_SEAB-1,3,DF,-1.588,-3.176
T_SEAB-2,3,DF,-0.763,-1.526
T_SEEL-1,3,DF,-0.147,-0.294
T_STAY-1,3,DF,-0.4,-0.8
T_STAY-2,3,DF,-0.4,-0.8
T_STAY-3,3,DF,-0.75,-1.5
T_STAY-4,3,DF,-0.35000000000000003,-0.7000000000000001
T_SUTB-1,3,DF,-0.4,-0.8
T_SVRP-10,3,DF,-0.35000000000000003,-0.7000000000000001
T_SVRP-20,3,DF,-0.25,-0.5
T_THNTO-1,3,DF,-0.001,-0.002
T_THNTO-2,3,DF,-0.001,-0.002
T_TORN-D,3,DF,-27.608,-55.216
T_TSREP-1,3,DF,-0.998,-1.996
T_WBURB-41,3,DF,-0.382,-0.764
T_WBURB-43,3,DF,-0.217,-0.434
T_BDCHW-1,4,DF,-0.089,-0.178
T_BPGRD-1,4,DF,-35.87,-71.74
T_CNQPS-2,4,DF,-2.583,-5.166
T_COSO-1,4,DF,-1.2730000000000001,-2.5460000000000003
T_CRGHD-1,4,DF,-0.004,-0.008
T_DAMC-1,4,DF,-2.065,-4.13
T_DINO-1,4,DF,-0.7000000000000001,-1.4000000000000001
T_DINO-2,4,DF,-134.2,-268.4
T_DINO-3,4,DF,-131.7,-263.4
T_DINO-5,4,DF,-136.25,-272.5
T_DINO-6,4,DF,-134.6,-269.2
T_DOREW-1,4,DF,-0.232,-0.464
T_DOREW-2,4,DF,-0.193,-0.386
T_EAAO-1,4,DF,-1.464,-2.928
T_EAAO-2,4,DF,-1.5390000000000001,-3.0780000000000003
T_FASN-1,4,DF,-0.004,-0.008
T_FASN-2,4,DF,-0.001,-0.002
T_FFES-1,4,DF,-36.347,-72.694
T_FFES-2,4,DF,-36.286,-72.572
T_FFES-3,4,DF,-0.81,-1.62
T_FFES-4,4,DF,-36.65,-73.3
T_FOYE-2,4,DF,-76.8,-153.6
T_FOYED-1,4,DF,-0.307,-0.614
T_GANW-11,4,DF,-0.308,-0.616
T_GANW-13,4,DF,-0.32,-0.64
T_GANW-22,4,DF,-0.29,-0.58
T_GANW-24,4,DF,-0.29,-0.58
T_GNFSW-1,4,DF,-0.303,-0.606
T_GNFSW-2,4,DF,-0.23800000000000002,-0.47600000000000003
T_GRGBW-1,4,DF,-0.962,-1.924
T_GRGBW-2,4,DF,-0.864,-1.728
T_GRGBW-3,4,DF,-0.973,-1.946
T_GYMRD-16,4,DF,-0.001,-0.002
T_GYMRD-E11,4,DF,-0.003,-0.006
T_GYMRD-W11,4,DF,-0.003,-0.006
T_HALSW-1,4,DF,-0.122,-0.244
T_HEYM12,4,DF,-7.264,-14.528
T_HEYM2-D,4,DF,-20.144,-40.288
T_HUMRD-1,4,DF,-29.398,-58.796
T_INDQ-1,4,DF,-1.165,-2.33
T_KEAD-1,4,DF,-2.37,-4.74
T_KEADGT-3,4,DF,-0.08,-0.16
T_KILLPG-1,4,DF,-0.458,-0.916
T_KILLPG-2,4,DF,-0.293,-0.586
T_LAGA-1,4,DF,-0.7000000000000001,-1.4000000000000001
T_LARYW-1,4,DF,-0.984,-1.968
T_LARYW-2,4,DF,-0.807,-1.614
T_LARYW-3,4,DF,-0.835,-1.67
T_LARYW-4,4,DF,-0.8130000000000001,-1.6260000000000001
T_LBAR-1G,4,DF,-0.05,-0.1
T_RMPNO-1,4,DF,-0.6,-1.2
T_RMPNO-2,4,DF,-0.274,-0.548
T_ROCK-1,4,DF,-1.4,-2.8
T_RYHPS-1,4,DF,-1.37,-2.74
T_SCCL-3,4,DF,-1.25,-2.5
T_SCCL-4,4,DF,-31.59,-63.18
T_SEAB-1,4,DF,-1.5819999999999999,-3.1639999999999997
T_SEAB-2,4,DF,-0.739,-1.478
T_SEEL-1,4,DF,-0.14400000000000002,-0.28800000000000003
T_STAY-1,4,DF,-0.45,-0.9
T_STAY-2,4,DF,-0.4,-0.8
T_STAY-3,4,DF,-0.7000000000000001,-1.4000000000000001
T_STAY-4,4,DF,-0.4,-0.8
T_SUTB-1,4,DF,-0.4,-0.8
T_SVRP-10,4,DF,-0.4,-0.8
T_SVRP-20,4,DF,-0.25,-0.5
T_THNTO-1,4,DF,-0.001,-0.002
T_THNTO-2,4,DF,-0.001,-0.002
T_TORN-D,4,DF,-27.56,-55.12
T_TSREP-1,4,DF,-0.992,-1.984
T_BDCHW-1,5,DF,-0.091,-0.182
T_BPGRD-1,5,DF,-35.759,-71.518
T_CNQPS-2,5,DF,-2.583,-5.166
T_COSO-1,5,DF,-1.071,-2.142
T_CRGHD-1,5,DF,-0.004,-0.008
T_DAMC-1,5,DF,-2.075,-4.15
T_DINO-1,5,DF,-0.8,-1.6
T_DINO-2,5,DF,-133.1,-266.2
T_DINO-3,5,DF,-71.05,-142.1
T_DINO-5,5,DF,-135.05,-270.1
T_DINO-6,5,DF,-133.4,-266.8
T_DOREW-1,5,DF,-0.228,-0.456
