settlementPeriod,T_ABRBO-1,T_ACHRW-1,T_AFTOW-1,T_AKGLW-2,T_AKGLW-3,T_ANSUW-1,T_ARCHW-1,T_BDCHW-1,T_BEATO-1,T_BEATO-2,T_BEATO-3,T_BEATO-4,T_BEINW-1,T_BHLAW-1,T_BLKWW-1,T_BLLA-1,T_BLLA-2,T_BOWLW-1,T_BPGRD-1,T_BRBEO-1,T_CARR-1,T_CARR-2,T_CASKD-1,T_CDCL-1,T_CGTHW-1,T_CLDCW-1,T_CLDNW-1,T_CLDSW-1,T_CNQPS-1,T_CNQPS-2,T_CNQPS-3,T_CNQPS-4,T_COSO-1,T_COUWW-1,T_CREAW-1,T_CRGHD-1,T_CRGHW-1,T_CRYRW-2,T_CRYRW-3,T_DALQW-1,T_DAMC-1,T_DBAWO-1,T_DBAWO-2,T_DBAWO-3,T_DBAWO-4,T_DBAWO-5,T_DDGNO-1,T_DDGNO-2,T_DDGNO-3,T_DDGNO-4,T_DIDCB5,T_DIDCB6,T_DINO-1,T_DINO-2,T_DINO-3,T_DINO-4,T_DINO-5,T_DINO-6,T_DNLWW-1,T_DOREW-1,T_DOREW-2,T_DOUGW-1,T_DRAXX-1,T_DRAXX-10G,T_DRAXX-12G,T_DRAXX-2,T_DRAXX-3,T_DRAXX-4,T_DRAXX-5,T_DRAXX-6,T_DRAXX-9G,T_DRSLW-1,T_DUNGW-1,T_EAAO-1,T_EAAO-2,T_EDINW-1,T_EECL-1,T_ERRO-1,T_ERRO-2,T_ERRO-3,T_EWHLW-1,T_FALGW-1,T_FASN-1,T_FASN-2,T_FERGD-1,T_FERGD-2,T_FFES-1,T_FFES-2,T_FFES-3,T_FFES-4,T_FINL-1,T_FOYE-1,T_FOYE-2,T_FOYED-1,T_FSDLW-1,T_GANW-11,T_GANW-13,T_GANW-22,T_GANW-24,T_GLNDO-1,T_GLWSW-1,T_GNAPW-1,T_GNFSW-1,T_GNFSW-2,T_GORDW-1,T_GORDW-2,T_GRAI-6,T_GRAI-7,T_GRAI-8,T_GRAI1G,T_GRAI4G,T_GRGBW-1,T_GRGBW-2,T_GRGBW-3,T_GRIFW-1,T_GRIFW-2,T_GYMR-15,T_GYMR-17,T_GYMR-26,T_GYMR-28,T_GYMRD-16,T_GYMRD-2,T_GYMRD-E10,T_GYMRD-E11,T_GYMRD-W10,T_GYMRD-W11,T_HADHW-1,T_HALSW-1,T_HEYM11,T_HEYM12,T_HEYM2-D,T_HEYM27,T_HEYM28,T_HMGTO-1,T_HMGTO-2,T_HOWAO-1,T_HOWAO-2,T_HOWAO-3,T_HOWBO-1,T_HOWBO-2,T_HOWBO-3,T_HRSTW-1,T_HRTL-1,T_HRTL-2,T_HUMR-1,T_HUMRD-1,T_INDQ-1,T_JGPR-1,T_KEAD-1,T_KEAD-2,T_KEADGT-3,T_KENNW-1,T_KILBW-1,T_KILLPG-1,T_KILLPG-2,T_KLGLW-1,T_KPMRW-1,T_KTHLW-1,T_KYPEW-1,T_LAGA-1,T_LARKS-1,T_LARYW-1,T_LARYW-2,T_LARYW-3,T_LARYW-4,T_LBAR-1,T_LBAR-1G,T_LNCSW-1,T_LNCSW-2,T_MEDP-1,T_MIDMW-1,T_MILWW-1,T_MKHLW-1,T_MOWEO-1,T_MOWEO-2,T_MOWEO-3,T_MRWD-1,T_MYGPW-1,T_NANT-1,T_NNGAO-1,T_OMNDW-1,T_PEHE-1,T_PEMB-11,T_PEMB-21,T_PEMB-31,T_PEMB-41,T_PEMB-51,T_PNYCB-1,T_PNYCW-1,T_RCBKO-1,T_RCBKO-2,T_RMPNO-1,T_RMPNO-2,T_ROCK-1,T_RREW-1,T_RRWW-1,T_RYHPS-1,T_SAKNW-1,T_SANQW-1,T_SCCL-1,T_SCCL-2,T_SCCL-3,T_SCCL-4,T_SEAB-1,T_SEAB-2,T_SEEL-1,T_SGRWO-1,T_SGRWO-2,T_SGRWO-3,T_SGRWO-4,T_SGRWO-5,T_SGRWO-6,T_SHBA-1,T_SHBA-2,T_SHRSW-1,T_SHRSW-2,T_SIZB-1,T_SIZB-2,T_SLOY-2,T_SLOY-3,T_SOKYW-1,T_SPLN-1,T_STAY-1,T_STAY-2,T_STAY-3,T_STAY-4,T_STLGW-1,T_STLGW-2,T_STLGW-3,T_STRNW-1,T_SUTB-1,T_SVRP-10,T_SVRP-20,T_TDBNW-1,T_THNTO-1,T_THNTO-2,T_TKNEW-1,T_TKNWW-1,T_TORN-1,T_TORN-2,T_TORN-D,T_TSREP-1,T_TWSHW-1,T_USKM-13,T_WBUGT-1,T_WBUGT-4,T_WBUPS-1,T_WBUPS-2,T_WBUPS-3,T_WBUPS-4,T_WBURB-1,T_WBURB-2,T_WBURB-3,T_WBURB-41,T_WBURB-43,T_WDNSO-1,T_WDNSO-2,T_WDRGW-1,T_WHIHW-1,T_WHILW-1,T_WHILW-2,T_WILCT-1,T_WISTW-2,T_WLNYO-2,T_WLNYO-3,T_WLNYO-4,T_WLNYW-1,T_WTMSO-1
1,-0.98,2.506,5.926,0.64,0.358,0.472,12.3,-0.222,-2.57,-2.594,-3.304,-3.364,-0.416,-0.434,12.876,0.844,0.694,5.472,-45.78,61.15,-3.8,-5.2,11.8,323.64,0.058,20.54,15.198,12.42,-5.544,0,-4.284,-3.906,-1.802,0.32,-0.478,-0.006,4.018,0.136,-0.176,8.198,-3.97,0,0,0,0,0,-1.396,-1.192,-1.27,-1.3,0,-0.4,0,0,-1.1,0,-1.4,0,2.94,2.16,3.112,5.298,0,0,0,0,595.56,490.82,0,0,0,2.88,-0.63,216.054,166.728,-0.07,330.622,0,0,0,1.42,0,-0.006,-0.002,-0.68,-1.61,-0.022,-0.582,-0.04,-0.04,0,1.8,-1.8,-1.582,1.34,21.804,51.56,23.58,46.84,-0.042,5.67,4.102,19.22,12.02,-0.136,-0.15,0,-2.2,387.5,0,0,37.33,79.684,36.468,-1.154,-1.13,37.12,0,48.66,0,-0.002,0,0,-0.002,0,-0.004,0,-0.244,491.784,534.096,-35.512,641.184,0,-0.932,-1.136,1.926,25.974,25.554,9.69,-4.77,-4.584,10.748,574.128,572.728,515.4,-39.72,-2.12,6.642,-1.83,800.12,-0.17,16.99,0,-0.766,-0.544,29.408,12.438,0.172,14.84,-1,-0.1,82.88,69.42,64.3,61,375.84,-0.04,-0.694,-1.146,-3.438,2.238,0,1.64,-0.004,-2.292,-1.5,-0.6,4.182,0,0,10.44,0,404.6,417.2,0,410.2,-3.8,-0.03,46.72,-2.604,1.716,193.918,197.748,0,1.504,5.552,0,21.594,14.158,33.4,340.7,0,-40.06,521,-3.284,-0.364,0,0,27.318,14.072,25.236,24.938,-3.822,-0.522,0.37,-0.418,593.34,592.94,0,0,8.384,402.4,-0.6,-2,-1.9,0,-0.738,-0.79,-0.732,-0.386,-0.8,-0.5,-0.4,6.626,26.504,26.402,-3.134,-2.828,629.664,642.432,-54.32,-1.33,10.534,0,0,0,0,0,0,0,0.038,0,-2.14,-0.038,-0.06,12.448,14.588,9.252,12.964,17.91,7.1,-21.66,2.272,17.154,59.118,30.83,8.12,-0.472
2,-0.982,1.938,4.628,1.94,1.542,0.38,10.12,-0.22,-2.516,-2.402,-3.302,-3.364,-0.384,-0.552,12.578,1.086,1.018,7.698,-46.618,53.51,-2.2,-3.6,11.7,348.3,-0.1,23.92,15.36,12.62,-5.544,0,-4.41,-3.906,-1.868,0.488,-0.294,-0.006,2.962,0.136,-0.144,4.13,-3.94,0,0,0,0,0,0.08,0.018,0.056,-0.386,0,-0.5,0,0,-1.2,0,-1.4,0,2.406,1.54,2.382,3.014,0,0,0,0,593.3,488.04,0,0,0,3.06,-0.664,153.75,149.368,-0.088,316.224,0,0,0,3.328,0,-0.006,-0.002,-0.67,-1.142,-0.964,-0.042,-0.02,-0.02,0,-1.9,-1.2,-1.598,0.872,62.328,61.44,68.54,55.06,-0.042,2.7,2.942,31.24,17.44,-0.16,-0.156,0,-2.2,221.6,0,0,149.846,134.332,141.452,-1.114,-1.086,36.8,0,39.44,0,-0.002,0,0,-0.004,0,-0.004,0,-0.24,492.856,534.4,-35.648,642.488,0,-0.812,-0.984,0.344,16.394,10.674,6.834,-3.866,-4.644,18.56,574.264,573.224,282.742,-40.28,-2.15,6.67,-1.64,598.72,-0.16,10.69,0.076,-0.77,-0.548,20.446,6.918,0.222,10.916,-1,-0.1,60.68,49.22,39.16,39.18,375.02,-0.02,4.42,2.924,-3.496,3.754,0,0.44,-0.004,-1.808,-1.142,-0.4,5.142,0,0,18.53,0,359.8,351.8,0,399.8,-3.9,-0.02,42.94,-2.664,-2.282,192.896,190.128,0,2.208,5.098,0,17.986,15.34,-5.3,340.7,0,-39.44,473,-1.786,-0.346,0,0,20.38,10.98,19.404,18.818,-3.012,-0.496,10.53,7.824,593.28,593.32,0,0,10.516,490.2,-0.6,-1.5,-1.1,0,-0.758,-0.74,-0.578,-0.388,-0.8,-0.5,-0.4,4.984,23.718,24.596,-3.11,-2.734,630.4,644.16,-54.44,-1.342,9,0,0,0,0,0,0,0,0.04,0,-2.14,-0.04,-0.06,20.788,21.108,9.174,6.77,19.948,12,-22.26,3.824,34.496,105.318,56.172,17.7,-1.964
3,-1.018,1.996,6.544,3.02,1.404,0.364,7.8,-0.218,-2.388,-2.208,-3.29,-3.356,-0.386,-0.924,10.776,0.484,0.668,10.48,-46.894,35.17,-2.2,-3.2,12.46,359.46,0.002,20.34,16.192,11.94,-5.292,0,-4.41,-3.906,-1.694,1.266,-0.596,-0.006,1.852,1.842,0.356,5.864,-3.9,0,0,0,0,0,13.844,16.262,14.176,11.02,0,-0.5,0,0,-1.2,0,-1.4,0,1.362,0.58,1.344,2.296,0,0,0,0,608.38,489.24,0,0,0,1.84,-0.644,69.294,63.868,-0.08,335.518,0,0,0,4.91,0,-0.006,-0.002,-0.326,-1.018,-72.628,-0.022,-0.04,-0.04,0,-35,-1.9,-0.928,1.722,70.226,79.92,84.6,85.84,-0.042,3.756,2.388,74.12,38.68,0.054,-0.14,0,-2.1,-4.4,0,0,156.62,137.868,149.074,-1.106,-1.074,18.62,0,19.6,0,-0.002,0,0,-0.002,0,-0.006,0,-0.238,492.168,533.88,-35.576,639.312,0,1.278,1.008,-1.052,8.034,10.614,0.914,-1.064,-4.622,21.36,573.664,573.296,314.01,-42.3,-2.17,5.826,-1.84,562.16,-0.16,11.17,0,-0.768,-0.548,23.25,9.304,0.128,10.18,-1,-0.11,85.82,75.16,55.5,55.62,375.64,-0.04,9.124,7.786,-3.426,4.094,0,0.48,-0.004,0.1,-1.102,-0.6,7.99,0,0,23.56,0,412.8,420.6,0,409.6,-4.2,-0.02,48.84,3.594,8.008,190.338,196.726,0,4.192,4.836,0,15.962,12.678,-5.4,340.7,0,-39.22,523.8,-1.686,-0.34,0,0,15.658,9.472,16.126,14.524,-3.016,-0.494,22.932,20.368,593.12,593.52,0,0,11.966,476.2,-0.5,-1.6,-0.8,0,-0.714,-0.736,-0.686,-0.388,-0.8,-0.6,-0.4,5.134,57.418,55.162,-3.022,-2.708,629.416,642.408,-54.32,-1.36,7.676,0,0,0,0,0,0,0,0.038,0,-2.142,-0.038,-0.058,22.488,29.468,9.322,8.29,19.048,17.34,-21.43,4.962,73.004,133.958,105.89,36.58,15.402
4,-0.616,3.456,6.228,3.64,2.714,0.294,8.98,-0.218,-1.402,-1.32,-2.942,-3.25,-0.38,-0.928,12.294,2.068,1.454,15.138,-46.31,14.25,-2.2,-2.6,12.24,289.8,0.1,20.24,15.868,10.56,-4.662,0,-4.284,-3.906,-1.806,1.238,-0.55,-0.006,0.382,2.836,0.284,7.226,-3.9,0,0,0,0,0,27.398,23.434,24.898,21.28,0,-0.5,0,0,-1.2,0,-1.4,0,2.956,0.178,0.398,1.714,0,0,0,0,607.74,487.7,0,0,0,2.16,-0.63,25.29,35.328,-0.08,346.32,0,0,0,4.516,0,-0.006,-0.002,-0.29,-1.004,-73.108,-4.526,-0.02,-1.3,0,-153.8,-28.2,-1.058,1.83,70.346,82.2,84.5,86.6,-0.042,6.834,2.898,99.74,60.42,-0.256,-0.154,0,-2.2,-4.3,0,0,155.566,139.658,148.204,-1.094,-1.08,12.26,0,18.42,0,-0.002,0,0,-0.004,0,-0.006,0,-0.24,494.472,534.44,-35.512,638.16,0,7.874,7.596,2.042,17.214,30.054,2.794,-0.812,-3.17,27.22,573.808,572.936,325.63,-42.5,-2.17,6.336,-1.84,562.1,-0.16,7.75,0,-0.77,-0.548,22.598,9.658,0.128,13.532,-1,-0.1,144.58,131.24,124.88,123.48,375.44,-0.04,10.254,9.404,-3.456,3.574,0,1.18,-0.004,2.658,-0.048,-0.6,5.646,0,0,42.29,0,350.2,418.6,0,404.6,-5.6,-0.02,37.53,11.958,12.346,178.194,185.668,0,5.848,4.76,0,11.892,9.592,-5.4,340.7,0,-39.04,475,-1.688,-0.336,0,0,16.372,11.564,19.176,15.494,-3.006,-0.494,31.252,27.658,592.9,593.2,0,0,10.844,393.8,-0.6,-1.6,-0.8,0,-0.652,-0.704,-0.66,-0.388,-0.8,-0.5,-0.3,8.416,118.778,111.58,-0.698,5.054,629.792,644.352,-54.432,-1.342,9.738,0,0,0,0,0,0,0,0.038,0,-2.04,-0.038,-0.06,34.768,41.348,8.158,7.744,13.248,9.28,-21.09,5.048,101.44,132.218,126.11,60.68,42.722
5,-0.308,3.504,6.934,5,2.764,0.584,9.56,-0.216,-1.72,-2.014,-3.026,-3.15,-0.382,-0.91,6.91,6.188,3.19,25.56,-46.454,18.27,-2.2,-2.4,12.14,294.3,-0.12,19,17.126,12.02,-4.788,0,-4.41,-3.906,-1.814,0.894,-0.324,-0.006,0.078,1.592,0.448,6.848,-3.88,0,0,0,0,0,58.828,46.576,50.678,45.296,0,-0.5,0,0,-1.2,0,-1.5,0,2.186,-0.012,-0.148,2.874,0,0,0,0,609.08,485.82,0,0,0,2.2,-0.62,158.664,172.588,-0.08,282.528,0,0,0,6.182,0,-0.006,-0.002,-0.002,-1.05,-73.112,-73.07,-0.04,-72.58,0,-152.3,-153.6,-1.158,0.656,71.806,84.78,84.62,86.54,-0.042,5.528,2.648,99.72,59.32,-0.296,-0.15,0,-2.2,-3.7,0,0,154.458,149.812,147.686,-1.084,-1.066,34.92,0,41.82,0,-0.002,0,0,-0.002,0,-0.008,0,-0.24,494.192,533.864,-35.384,636.872,0,21.432,17.536,22.854,29.414,57.374,21.136,1.572,0.822,27.22,573.736,572.72,245.622,-42.86,-2.16,7.202,-1.74,561.88,-0.16,7.11,0,-0.772,-0.55,24.372,8.826,0.082,15.724,-1,-0.1,153.52,141.9,149.2,147.46,375.42,-0.02,12.894,11.886,-3.494,3.264,0,2.04,-0.004,3.578,1.218,-0.4,5.904,0,0,46.43,0,327.6,360.4,0,395.8,-5.4,-0.03,26.64,23.498,16.044,194.774,193.87,0,5.62,4.73,0,8.87,8.952,-5.4,340.7,0,-39.04,474.8,-1.696,-0.336,0,0,25.016,13.09,23.708,24.008,-3.002,-0.49,65.424,48.372,593.14,593.12,0,0,10.228,536.5,-0.5,-1.6,-0.8,0,-0.628,-0.668,-0.65,-0.388,-0.8,-0.5,-0.4,5.956,140.166,137.1,5.01,15.516,630.184,641.584,-54.336,-1.352,9.232,0,0,0,0,0,0,0,0.038,0,-2.14,-0.038,-0.06,51.748,54.288,7.46,9.3,10.804,5.36,-23.71,6.74,96.8,98.078,119.852,65.98,55.662
6,0.148,1.55,8.644,5.56,3.792,0.266,9.92,-0.218,-1.302,-1.482,-3.176,-3.036,-0.382,-0.858,10.37,9.364,4.734,29.034,-46.7,57.75,-2.2,-2.6,11.8,292.68,-0.136,27.46,23.218,16.8,-5.67,0,-4.284,-3.78,-1.694,0.694,-0.32,-0.006,0.024,2.108,0.312,5.03,-3.87,0,0,0,0,0,73.624,46.424,53.666,60.484,0,-0.6,0,0,-1.1,0,-1.4,0,1.676,0.478,0.286,3.286,0,0,0,0,632.68,484.22,0,0,0,1.64,-0.598,275.454,275.628,-0.092,240.48,0,0,0,6.508,0,-0.006,-0.002,-0.002,-0.958,-73.052,-73.05,-0.02,-73.76,0,-152.6,-153.8,-1.17,0.172,73.326,85.44,85.94,86.46,-0.042,2.462,1.524,99.72,56.7,-0.288,-0.15,0,-2.2,-2.4,0,0,155.636,151.72,147.75,-1.094,-1.038,45.72,0,38.86,0,-0.002,0,0,-0.002,0,-0.008,0,-0.24,494.576,533.672,-35.408,638.624,0,26.808,25.136,22.754,22.954,25.734,29.718,7.212,4.52,23.72,574.536,573.296,190.626,-43.06,-2.17,7.726,-1.84,562.1,-0.16,6.38,0,-0.768,-0.548,29.318,6.786,0.072,13.618,-1,-0.11,156.54,145.12,154,151.8,375.64,-0.04,26.638,31.692,-3.544,2.92,0,2.88,-0.004,2.218,0.858,-0.6,5.7,0,0,38.34,0,240.4,241,0,262,-5.5,-0.02,29.67,50.938,30.164,195.182,194.442,0,2.504,4.966,0,6.89,6.69,-5.4,340.6,0,-39.06,475,-1.694,-0.368,0,0,26.738,13.032,28.65,27.438,-2.988,-0.494,88.042,67.29,593.58,592.88,0,0,11.106,422.6,-0.6,-1.6,-0.8,0,-0.63,-0.676,-0.644,-0.388,-1,-0.6,-0.4,3.688,139.994,136.5,16.432,27.236,630.952,641.232,-54.344,-1.352,10.948,0,0,0,0,0,0,0,0.04,0,-2.14,-0.04,-0.06,40.288,40.528,9.4,7.338,12.828,4.2,-29.69,6.56,74.812,115.518,101.03,56.02,58.202
7,0.152,1.17,9.766,7.32,5.27,0.452,6.38,-0.218,-1.062,-1.754,-2.69,-3.044,-0.384,-0.806,9.738,7.516,4.562,24.736,-45.988,99.37,-2.2,-2.4,11.36,301.14,-0.136,39.78,39.938,14.74,-4.662,0,-4.41,-3.906,-1.796,1.262,-0.316,-0.006,1.132,2.122,0.438,4.688,-3.86,0,0,0,0,0,75.53,57.894,60.69,65.202,0,-0.5,0,0,-1.2,0,-1.4,0,1.328,0.252,-0.004,3.436,0,0,0,0,640.94,492.26,0,0,0,0.458,-0.59,218.584,230.948,-0.088,240.48,0,0,0,4.956,0,-0.006,-0.002,-0.002,-1.104,-72.394,-72.372,-0.04,-73.08,0,-151.4,-152.7,-1.184,0.608,73.466,85.6,85.9,86.56,-0.042,3.696,1.53,99.72,57.1,-0.282,-0.15,0,-2.1,-2.3,0,0,156.368,151.922,148.658,-1.096,-0.716,64.92,0,54.4,0,-0.002,0,0,-0.004,0,-0.008,0,-0.236,493.04,533.08,-35.296,635.328,0,34.134,28.216,25.534,42.894,30.44,47.894,11.246,7.44,18.18,574.048,573.608,134.226,-42.82,-2.16,8.39,-1.84,502.82,-0.16,10.03,0,-0.77,-0.548,20.804,9.908,0.156,11.024,-1,-0.1,156.52,145.14,154.2,152.12,375.44,-0.04,31.004,38.264,-3.452,3.264,0,2.2,-0.004,2.158,0.782,-0.4,8.116,0,0,31.21,0,234.2,236,0,286.8,-5.5,-0.02,41.71,75.478,52.182,194.57,193.392,0,3.726,5.368,0,6.57,6.098,-5.4,340.7,0,-38.76,474.8,-1.69,-0.346,0,0,27.066,12.29,27.06,28.202,-2.976,-0.49,67.908,76.612,593.2,592.58,0,0,9.35,387.6,-0.5,-1.6,-0.8,0,-0.634,-0.682,-0.606,-0.38,-1,-0.5,-0.4,4.506,139.478,136.024,19.752,39.536,628.48,638.416,-53.992,-1.362,12.286,0,0,0,0,0,0,0,0.038,0,-2.14,-0.038,-0.06,51.688,55.928,7.118,6.598,15,11.4,-27.04,4.074,78.31,112.558,114.332,48.72,82.662
8,-0.996,1.074,6.702,7.86,5.864,0.386,5.98,-0.216,-0.822,-1.114,-2.45,-2.812,-0.382,-0.688,12.882,9.864,5.172,24.408,-46.262,127.49,-2.2,-2.6,11.48,294.66,-0.134,36.34,34.194,12.06,-4.662,0,-4.41,-3.78,-1.918,0.918,-0.316,-0.006,0.372,4.208,0.832,8.358,-3.87,0,0,0,0,0,74.994,59.504,59.342,63.142,0,-0.6,0,0,-1.2,0,-1.4,0,1.912,-0.034,-0.506,6.324,0,0,0,0,636,486.24,0,0,0,0.98,-0.588,184.076,327.688,-0.082,240.336,0,0,0,3.298,0,-0.006,-0.002,-0.002,-0.994,-72.712,-72.67,-0.02,-73.38,0,-152.3,-153.5,-1.182,-0.006,73.364,85.78,85.94,86.52,-0.042,6.9,2.654,99.74,57.08,-0.28,-0.15,0,-2.2,-2.4,0,0,156.532,151.724,149.004,-1.084,-0.892,81.66,0,94.6,0,-0.002,0,-0.002,-0.004,0,-0.008,0,-0.24,493.712,532.424,-35.448,639.624,0,38.936,34.316,30.434,69.274,79.292,42.576,9.052,3.512,22.08,575.336,574.472,160.624,-43.06,-2.18,8.192,-1.74,400.68,-0.16,25.67,0,-0.77,-0.548,24.218,18.494,0.112,21.814,-1,-0.11,156.5,145.08,154.3,152.02,375.44,-0.04,49.204,68.594,-3.43,6.124,0,0.84,-0.004,4.338,4.858,-0.6,8.86,0,0,35.4,0,220,220.2,0,249.6,-9.4,-0.02,4.27,78.058,62.484,194.416,186.108,0,2.728,6.056,0,12.17,8.432,-5.4,340.6,0,-39.02,475,-1.696,-0.342,0,0,27.86,10.446,24.4,22.668,-2.966,-0.47,66.728,63.66,592.94,592.9,0,0,10.146,333.6,-0.6,-1.7,-0.8,0,-0.644,-0.612,-0.614,-0.378,-1,-0.6,-0.4,5.2,140.132,135.902,24.892,50.236,630.368,639.704,-54.264,-1.372,15.796,0,0,0,0,0,0,0,0.038,0,-2.14,-0.038,-0.06,68.288,73.328,8.49,7.532,26.11,15.2,-19.8,5.134,71.51,120.038,110.15,49.38,92.902
9,-0.962,1.032,7.06,6.34,5.122,0.468,6.78,-0.216,1.004,0.858,-1.938,-2.374,-0.398,-0.582,10.728,11.67,7.076,23.466,-46.434,123.39,-2.2,-2.4,13,295.92,-0.134,25.54,28.854,22.98,-4.662,0,-4.284,-3.906,-1.8,1.488,-0.314,-0.006,0.014,9.654,1.446,8.972,-3.88,0,0,0,0,0,71.152,58.87,58.864,60.24,0,-0.8,0,0,-1.2,0,-1.4,0,1.164,-0.004,-0.428,7.614,0,0,0,0,632.44,487.9,0,0,0,0.88,-0.586,318.064,313.128,-0.06,240.336,0,0,0,2.37,0,-0.006,-0.002,-0.002,-1.002,-72.47,-72.468,-0.04,-73.16,0,-152.1,-153.2,-1.188,-0.012,73.388,85.68,85.88,86.48,-0.042,13.704,3.554,99.72,59.38,-0.278,-0.15,0,-2.2,-2.3,0,0,156.144,151.462,148.498,-1.032,-0.774,124.3,0,128.82,0,-0.002,0,0,-0.004,0,-0.008,0,-0.236,492.36,532.424,-35.4,636.464,0,39.732,34.876,37.914,86.334,60.914,53.88,10.934,-1.314,22,575.136,575.064,159.828,-43.28,-2.2,7.776,-1.84,383.32,-0.16,36.24,0,-0.764,-0.546,22.02,22.746,0.086,28.876,-1,-0.1,156.56,145.18,154.38,152.18,375.62,-0.02,61.054,92.822,-3.432,10.45,0,3.24,-0.004,8.598,7.838,-0.6,7.552,0,0,30.51,0,220,220.2,0,292,3,-0.02,21.68,101.938,73.726,178.898,160.824,0,1.106,6.718,0,23.822,11.882,-5.5,340.6,0,-39.3,475.4,-1.706,-0.344,0,0,24.82,8.854,21.546,22.822,-2.932,-0.46,42.91,66.61,594.08,593.14,0,0,7.34,334.5,-0.5,-1.6,-0.8,0,-0.382,0.404,-0.544,-0.376,-1,-0.5,-0.4,4.518,139.914,136.354,32.152,73.276,630,639.544,-54.248,-1.39,15.906,0,0,0,0,0,0,0,0.038,0,-2.14,-0.038,-0.06,66.288,64.948,7.69,6.93,21.93,12.3,-18.74,3.64,62.672,95.858,89.442,45.62,91.882
10,-0.978,2.708,4.098,5.82,2.9,0.33,9.02,-0.216,1.776,1.222,-1.116,-1.956,-0.376,-0.768,11.398,12.762,7.848,19.85,-46.462,159.21,-2.2,-2.4,12.9,264.96,-0.136,30.1,24.458,28.26,-4.536,0,-4.41,-3.906,-1.758,1.432,-0.316,-0.006,0.61,8.4,1.14,10.548,-3.87,0,0,0,0,0,59.016,51.388,50.794,52.65,0,-0.8,0,0,-1.2,0,-1.5,0,1.576,-0.082,-0.412,9.25,0,0,0,0,482.92,491.9,0,0,0,1.62,-0.588,248.46,250.288,-0.072,240.192,0,0,0,3.448,0,-0.006,-0.002,-0.002,-1.132,-72.13,-72.108,-0.02,-72.8,0,-151.6,-152.7,-1.186,0.23,73.386,85.7,85.98,86.44,-0.042,19.092,3.466,99.7,60.62,-0.292,-0.15,0,-2.2,-2.4,0,0,156.224,151.874,148.032,-0.662,-0.546,133.44,0,127.68,0,-0.002,0,0,-0.002,0,-0.008,0,-0.24,492.488,532.112,-35.352,638.488,0,49.842,36.236,45.314,96.914,85.894,68.034,18.084,3.81,15.42,575.056,574.464,165.24,-43.02,-2.19,7.66,-1.84,383.2,-0.16,31.54,0,-0.758,-0.546,28.86,19.56,0.274,29.984,-1,-0.11,156.46,145.08,154.3,152.08,375.44,-0.04,80.912,106.266,-3.452,5.158,0,2.14,-0.004,8.918,9.078,-0.4,6.074,0,0,21.6,0,219.8,220.2,0,240.6,9.6,-0.03,0.03,138.418,105.306,164.988,117.888,0,-0.028,7.35,0,21.178,15.564,-5.4,340.7,0,-39.02,475.2,-2.05,-0.344,0,0,24.046,9.228,18.618,22.072,-2.932,-0.452,32.482,33.77,594.54,593.56,0,0,5.898,335.2,-0.5,-2.6,-1.8,0,0.212,0.878,-0.314,-0.376,-1,-0.6,-0.4,5.53,138.924,136.024,38.792,42.916,628.888,638,-54.152,-1.37,12.172,0,0,0,0,0,0,0,0.038,0,-2.138,-0.038,-0.062,54.328,57.928,5.234,7.944,17.43,11.2,-18.16,3.628,68.97,93.058,0.128,47.5,91.502
