bmUnit,settlementPeriod,settlementRunType,quantity,average_MW
T_BPGRD-1,1,DF,-21.616,-43.232
T_CARR-1,1,DF,-0.1,-0.2
T_CNQPS-1,1,DF,-2.961,-5.922
T_CNQPS-4,1,DF,-2.52,-5.04
T_COSO-1,1,DF,-1.134,-2.268
T_CRGHD-1,1,DF,-0.002,-0.004
T_DAMC-1,1,DF,-2.22,-4.44
T_DIDCB6,1,DF,-0.1,-0.2
T_DINO-3,1,DF,-0.7000000000000001,-1.4000000000000001
T_DINO-5,1,DF,-0.7000000000000001,-1.4000000000000001
T_EWHLW-1,1,DF,-0.082,-0.164
T_FASN-1,1,DF,-0.003,-0.006
T_FASN-2,1,DF,-0.001,-0.002
T_FERGD-1,1,DF,-0.246,-0.492
T_FERGD-2,1,DF,-0.778,-1.556
T_FFES-1,1,DF,-0.134,-0.268
T_FFES-3,1,DF,-0.02,-0.04
T_FFES-4,1,DF,-17.95,-35.9
T_FOYE-1,1,DF,-0.9500000000000001,-1.9000000000000001
T_FOYE-2,1,DF,-1.0,-2.0
T_FOYED-1,1,DF,-0.459,-0.918
T_GLNDO-1,1,DF,-0.021,-0.042
T_GNAPW-1,1,DF,-0.049,-0.098
T_GRAI-7,1,DF,-0.25,-0.5
T_GYMRD-16,1,DF,-0.001,-0.002
T_GYMRD-E11,1,DF,-0.002,-0.004
T_GYMRD-W11,1,DF,-0.004,-0.008
T_HEYM2-D,1,DF,-13.252,-26.504
T_HEYM28,1,DF,-2.6,-5.2
T_HRSTW-1,1,DF,-0.41400000000000003,-0.8280000000000001
T_HUMRD-1,1,DF,-24.84,-49.68
T_INDQ-1,1,DF,-1.06,-2.12
T_KEAD-1,1,DF,-0.67,-1.34
T_KEADGT-3,1,DF,-0.08,-0.16
T_KILLPG-1,1,DF,-0.365,-0.73
T_KILLPG-2,1,DF,-0.257,-0.514
T_LAGA-1,1,DF,-0.6,-1.2
T_LARKS-1,1,DF,-0.05,-0.1
T_LBAR-1G,1,DF,-0.01,-0.02
T_MEDP-1,1,DF,-2.1,-4.2
T_MOWEO-1,1,DF,-0.002,-0.004
T_MRWD-1,1,DF,-0.3,-0.6
T_PNYCB-1,1,DF,-0.01,-0.02
T_ROCK-1,1,DF,-0.4,-0.8
