new_hour_0based,source_hour_0based,source_native_row
0,0,4368
1,1,4369
2,2,4370
3,3,4371
4,4,4372
5,5,4373
6,6,4374
7,7,4375
8,8,4376
9,9,4377
10,10,4378
11,11,4379
12,12,4380
13,13,4381
14,14,4382
15,15,4383
16,16,4384
17,17,4385
18,18,4386
19,19,4387
20,20,4388
21,21,4389
22,22,4390
23,23,4391
24,24,4392
25,25,4393
26,26,4394
27,27,4395
28,28,4396
29,29,4397
30,30,4398
31,31,4399
32,32,4400
33,33,4401
34,34,4402
35,35,4403
36,36,4404
37,37,4405
38,38,4406
39,39,4407
40,40,4408
41,41,4409
42,42,4410
43,43,4411
44,44,4412
45,45,4413
46,46,4414
47,47,4415
48,115,4483
49,113,4481
50,103,4471
51,48,4416
52,61,4429
53,66,4434
54,105,4473
55,77,4445
56,69,4437
57,93,4461
58,79,4447
59,106,4474
60,72,4440
61,64,4432
62,90,4458
63,52,4420
64,54,4422
65,96,4464
66,75,4443
67,65,4433
68,94,4462
69,74,4442
70,49,4417
71,70,4438
72,84,4452
73,110,4478
74,102,4470
75,50,4418
76,109,4477
77,67,4435
78,108,4476
79,119,4487
80,111,4479
81,83,4451
82,116,4484
83,97,4465
84,80,4448
85,92,4460
86,58,4426
87,57,4425
88,104,4472
89,56,4424
90,78,4446
91,91,4459
92,100,4468
93,63,4431
94,88,4456
95,85,4453
96,112,4480
97,62,4430
98,87,4455
99,95,4463
100,68,4436
101,86,4454
102,114,4482
103,82,4450
104,98,4466
105,81,4449
106,51,4419
107,107,4475
108,118,4486
109,117,4485
110,71,4439
111,59,4427
112,55,4423
113,53,4421
114,101,4469
115,73,4441
116,76,4444
117,99,4467
118,60,4428
119,89,4457
120,120,4488
121,121,4489
122,122,4490
123,123,4491
124,124,4492
125,125,4493
126,126,4494
127,127,4495
128,128,4496
129,129,4497
130,130,4498
131,131,4499
132,132,4500
133,133,4501
134,134,4502
135,135,4503
136,136,4504
137,137,4505
138,138,4506
139,139,4507
140,140,4508
141,141,4509
142,142,4510
143,143,4511
144,144,4512
145,145,4513
146,146,4514
147,147,4515
148,148,4516
149,149,4517
150,150,4518
151,151,4519
152,152,4520
153,153,4521
154,154,4522
155,155,4523
156,156,4524
157,157,4525
158,158,4526
159,159,4527
160,160,4528
161,161,4529
162,162,4530
163,163,4531
164,164,4532
165,165,4533
166,166,4534
167,167,4535
