new_hour_0based,source_hour_0based,source_native_row
0,0,4368
1,1,4369
2,2,4370
3,3,4371
4,4,4372
5,5,4373
6,6,4374
7,7,4375
8,8,4376
9,9,4377
10,10,4378
11,11,4379
12,12,4380
13,13,4381
14,14,4382
15,15,4383
16,16,4384
17,17,4385
18,18,4386
19,19,4387
20,20,4388
21,21,4389
22,22,4390
23,23,4391
24,24,4392
25,25,4393
26,26,4394
27,27,4395
28,28,4396
29,29,4397
30,30,4398
31,31,4399
32,32,4400
33,33,4401
34,34,4402
35,35,4403
36,36,4404
37,37,4405
38,38,4406
39,39,4407
40,40,4408
41,41,4409
42,42,4410
43,43,4411
44,44,4412
45,45,4413
46,46,4414
47,47,4415
48,115,4483
49,51,4419
50,104,4472
51,97,4465
52,105,4473
53,61,4429
54,76,4444
55,81,4449
56,88,4456
57,117,4485
58,78,4446
59,83,4451
60,57,4425
61,56,4424
62,66,4434
63,64,4432
64,113,4481
65,116,4484
66,82,4450
67,84,4452
68,118,4486
69,54,4422
70,91,4459
71,94,4462
72,58,4426
73,62,4430
74,102,4470
75,63,4431
76,96,4464
77,101,4469
78,100,4468
79,90,4458
80,110,4478
81,103,4471
82,106,4474
83,74,4442
84,93,4461
85,98,4466
86,69,4437
87,109,4477
88,55,4423
89,95,4463
90,99,4467
91,114,4482
92,107,4475
93,79,4447
94,111,4479
95,77,4445
96,68,4436
97,87,4455
98,108,4476
99,72,4440
100,92,4460
101,67,4435
102,75,4443
103,80,4448
104,85,4453
105,49,4417
106,52,4420
107,119,4487
108,48,4416
109,65,4433
110,60,4428
111,70,4438
112,53,4421
113,59,4427
114,50,4418
115,73,4441
116,112,4480
117,71,4439
118,86,4454
119,89,4457
120,120,4488
121,121,4489
122,122,4490
123,123,4491
124,124,4492
125,125,4493
126,126,4494
127,127,4495
128,128,4496
129,129,4497
130,130,4498
131,131,4499
132,132,4500
133,133,4501
134,134,4502
135,135,4503
136,136,4504
137,137,4505
138,138,4506
139,139,4507
140,140,4508
141,141,4509
142,142,4510
143,143,4511
144,144,4512
145,145,4513
146,146,4514
147,147,4515
148,148,4516
149,149,4517
150,150,4518
151,151,4519
152,152,4520
153,153,4521
154,154,4522
155,155,4523
156,156,4524
157,157,4525
158,158,4526
159,159,4527
160,160,4528
161,161,4529
162,162,4530
163,163,4531
164,164,4532
165,165,4533
166,166,4534
167,167,4535
